,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
12781,12875,Accel_Log,,,,0.057,-0.925,-0.243,,,,,,,,,,34300587695,,2016-01-09 16:37:03.536,,21
12782,12876,Accel_Log,,,,0.059,-0.94,-0.237,,,,,,,,,,34304322644,,2016-01-09 16:37:03.577,,21
12783,12877,Gyro_Log,,,,0.915,0.183,0.610,,,,,,,,,,34150221913,,2016-01-09 16:37:03.577,,21
12784,12878,Accel_Log,,,,0.063,-0.946,-0.233,,,,,,,,,,34350326965,,2016-01-09 16:37:03.617,,21
12785,12879,Gyro_Log,,,,0.976,0.732,1.098,,,,,,,,,,34155697382,,2016-01-09 16:37:03.617,,21
12786,12880,Accel_Log,,,,0.058,-0.946,-0.231,,,,,,,,,,34355299414,,2016-01-09 16:37:03.656,,21
12787,12881,Gyro_Log,,,,1.524,1.28,2.378,,,,,,,,,,34200167644,,2016-01-09 16:37:03.656,,21
12788,12882,Accel_Log,,,,0.062,-0.943,-0.230,,,,,,,,,,34401176499,,2016-01-09 16:37:03.696,,21
12789,12883,Gyro_Log,,,,0.671,0.427,4.146,,,,,,,,,,34203679050,,2016-01-09 16:37:03.696,,21
12790,12884,Accel_Log,,,,0.052,-0.943,-0.231,,,,,,,,,,34403149988,,2016-01-09 16:37:03.736,,21
12791,12885,Gyro_Log,,,,0.671,-0.244,5.671,,,,,,,,,,34250128685,,2016-01-09 16:37:03.736,,21
12792,12886,Accel_Log,,,,0.053,-0.933,-0.238,,,,,,,,,,34548621811,,2016-01-09 16:37:03.775,,21
12793,12887,Gyro_Log,,,,1.829,0.061,6.829,,,,,,,,,,34351745925,,2016-01-09 16:37:03.775,,21
12794,12888,Accel_Log,,,,0.054,-0.935,-0.229,,,,,,,,,,34552356134,,2016-01-09 16:37:03.815,,21
12795,12889,Gyro_Log,,,,2.988,0.793,6.951,,,,,,,,,,34355463738,,2016-01-09 16:37:03.816,,21
12796,12890,Accel_Log,,,,0.046,-0.94,-0.225,,,,,,,,,,34598537227,,2016-01-09 16:37:03.856,,21
12797,12891,Gyro_Log,,,,4.207,0.671,6.402,,,,,,,,,,34401807591,,2016-01-09 16:37:03.856,,21
12798,12892,Accel_Log,,,,0.028,-0.945,-0.216,,,,,,,,,,34602071238,,2016-01-09 16:37:03.895,,21
12799,12893,Gyro_Log,,,,5.061,0.976,6.098,,,,,,,,,,34404617175,,2016-01-09 16:37:03.895,,21
12800,12894,Accel_Log,,,,0.016,-0.949,-0.198,,,,,,,,,,34648533581,,2016-01-09 16:37:03.935,,21
12801,12895,Gyro_Log,,,,5.732,1.098,5.793,,,,,,,,,,34451866289,,2016-01-09 16:37:03.935,,21
12802,12896,Accel_Log,,,,0.007,-0.947,-0.193,,,,,,,,,,34652607853,,2016-01-09 16:37:03.974,,21
12803,12897,Gyro_Log,,,,5.976,0.61,6.037,,,,,,,,,,34456285509,,2016-01-09 16:37:03.974,,21
12804,12898,Accel_Log,,,,0.002,-0.952,-0.192,,,,,,,,,,34698461498,,2016-01-09 16:37:04.014,,21
12805,12899,Gyro_Log,,,,6.463,0.549,5.549,,,,,,,,,,34501025144,,2016-01-09 16:37:04.014,,21
12806,12900,Accel_Log,,,,0.002,-0.958,-0.183,,,,,,,,,,34700442435,,2016-01-09 16:37:04.053,,21
12807,12901,Gyro_Log,,,,6.646,-0.183,4.634,,,,,,,,,,34503167957,,2016-01-09 16:37:04.055,,21
12808,12902,Accel_Log,,,,-0.004,-0.954,-0.177,,,,,,,,,,34748441915,,2016-01-09 16:37:04.094,,21
12809,12903,Gyro_Log,,,,6.524,-0.976,3.780,,,,,,,,,,34599960040,,2016-01-09 16:37:04.094,,21
12810,12904,Accel_Log,,,,-0.011,-0.948,-0.163,,,,,,,,,,34799511550,,2016-01-09 16:37:04.134,,21
12811,12905,Gyro_Log,,,,7.134,-0.366,2.439,,,,,,,,,,34601951862,,2016-01-09 16:37:04.134,,21
12812,12906,Accel_Log,,,,-0.013,-0.947,-0.164,,,,,,,,,,34801689519,,2016-01-09 16:37:04.174,,21
12813,12907,Gyro_Log,,,,6.890,-0.427,1.098,,,,,,,,,,34649912852,,2016-01-09 16:37:04.174,,21
12814,12908,Accel_Log,,,,-0.014,-0.962,-0.157,,,,,,,,,,34849400925,,2016-01-09 16:37:04.213,,21
12815,12909,Gyro_Log,,,,6.341,-0.915,-0.244,,,,,,,,,,34700148060,,2016-01-09 16:37:04.213,,21
