,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
14446,14540,Accel_Log,,,,-0.040,-0.948,0.207,,,,,,,,,,30042099415,,2016-01-09 16:39:48.207,,22
14447,14541,Accel_Log,,,,-0.037,-0.961,0.209,,,,,,,,,,30045486602,,2016-01-09 16:39:48.246,,22
14448,14542,Gyro_Log,,,,3.415,1.098,-0.183,,,,,,,,,,29883817904,,2016-01-09 16:39:48.246,,22
14449,14543,Accel_Log,,,,-0.036,-0.953,0.207,,,,,,,,,,30081354779,,2016-01-09 16:39:48.286,,22
14450,14544,Gyro_Log,,,,0.244,-0.915,0.122,,,,,,,,,,29888094727,,2016-01-09 16:39:48.287,,22
14451,14545,Accel_Log,,,,-0.037,-0.953,0.217,,,,,,,,,,30083372488,,2016-01-09 16:39:48.327,,22
14452,14546,Gyro_Log,,,,-0.305,-1.402,0.061,,,,,,,,,,30030132904,,2016-01-09 16:39:48.327,,22
14453,14547,Accel_Log,,,,-0.036,-0.954,0.204,,,,,,,,,,30226877332,,2016-01-09 16:39:48.367,,22
14454,14548,Gyro_Log,,,,0.000,0.366,0.122,,,,,,,,,,30033674102,,2016-01-09 16:39:48.367,,22
14455,14549,Accel_Log,,,,-0.043,-0.959,0.207,,,,,,,,,,30228969675,,2016-01-09 16:39:48.406,,22
14456,14550,Gyro_Log,,,,-0.549,1.646,0.549,,,,,,,,,,30078793321,,2016-01-09 16:39:48.408,,22
14457,14551,Accel_Log,,,,-0.035,-0.952,0.212,,,,,,,,,,30274709675,,2016-01-09 16:39:48.446,,22
14458,14552,Gyro_Log,,,,-2.073,1.89,0.244,,,,,,,,,,30082489831,,2016-01-09 16:39:48.446,,22
14459,14553,Accel_Log,,,,-0.040,-0.955,0.210,,,,,,,,,,30277860769,,2016-01-09 16:39:48.485,,22
14460,14554,Gyro_Log,,,,-3.841,1.89,-0.183,,,,,,,,,,30127649675,,2016-01-09 16:39:48.485,,22
14461,14555,Accel_Log,,,,-0.037,-0.957,0.201,,,,,,,,,,30323999571,,2016-01-09 16:39:48.525,,22
