,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
24700,24794,Accel_Log,,,,-0.881,-0.389,0.454,,,,,,,,,,70370591952,,2016-01-09 17:02:16.677,,30
24701,24795,Gyro_Log,,,,-16.22,55.366,1.159,,,,,,,,,,70177317056,,2016-01-09 17:02:16.677,,30
24702,24796,Accel_Log,,,,-0.931,-0.413,0.459,,,,,,,,,,70410919764,,2016-01-09 17:02:16.716,,30
24703,24797,Gyro_Log,,,,-8.049,53.476,-1.22,,,,,,,,,,70221823202,,2016-01-09 17:02:16.716,,30
24704,24798,Accel_Log,,,,-0.991,-0.373,0.46,,,,,,,,,,70429072837,,2016-01-09 17:02:16.756,,30
24705,24799,Gyro_Log,,,,-8.598,48.232,2.683,,,,,,,,,,70237913462,,2016-01-09 17:02:16.756,,30
24706,24800,Accel_Log,,,,-0.981,-0.353,0.46,,,,,,,,,,70457346483,,2016-01-09 17:02:16.795,,30
24707,24801,Gyro_Log,,,,-9.024,46.341,3.963,,,,,,,,,,70266739972,,2016-01-09 17:02:16.795,,30
24708,24802,Accel_Log,,,,-1.073,-0.366,0.459,,,,,,,,,,70467326795,,2016-01-09 17:02:16.835,,30
24709,24803,Gyro_Log,,,,-4.329,37.561,4.329,,,,,,,,,,70269765077,,2016-01-09 17:02:16.836,,30
24710,24804,Accel_Log,,,,-1.041,-0.312,0.462,,,,,,,,,,70502580024,,2016-01-09 17:02:16.876,,30
24711,24805,Gyro_Log,,,,-9.878,24.512,6.402,,,,,,,,,,70306251951,,2016-01-09 17:02:16.876,,30
24712,24806,Accel_Log,,,,-0.938,-0.335,0.457,,,,,,,,,,70506619660,,2016-01-09 17:02:16.915,,30
24713,24807,Gyro_Log,,,,-4.756,28.598,-5.915,,,,,,,,,,70309354660,,2016-01-09 17:02:16.915,,30
24714,24808,Accel_Log,,,,-1.018,-0.397,0.458,,,,,,,,,,70552560597,,2016-01-09 17:02:16.955,,30
24715,24809,Gyro_Log,,,,-0.976,30.976,-11.829,,,,,,,,,,70356247941,,2016-01-09 17:02:16.955,,30
24716,24810,Accel_Log,,,,-0.979,-0.405,0.458,,,,,,,,,,70556513618,,2016-01-09 17:02:16.995,,30
24717,24811,Gyro_Log,,,,-9.207,35.244,-6.585,,,,,,,,,,70359233618,,2016-01-09 17:02:16.995,,30
24718,24812,Accel_Log,,,,-1.005,-0.429,0.465,,,,,,,,,,70602538670,,2016-01-09 17:02:17.034,,30
24719,24813,Gyro_Log,,,,-2.805,42.927,-6.707,,,,,,,,,,70406238097,,2016-01-09 17:02:17.034,,30
24720,24814,Accel_Log,,,,-1.029,-0.46,0.463,,,,,,,,,,70606596899,,2016-01-09 17:02:17.074,,30
24721,24815,Gyro_Log,,,,-2.256,40.732,3.476,,,,,,,,,,70409324868,,2016-01-09 17:02:17.075,,30
24722,24816,Accel_Log,,,,-0.962,-0.377,0.462,,,,,,,,,,70652568461,,2016-01-09 17:02:17.115,,30
24723,24817,Gyro_Log,,,,2.012,50.244,13.902,,,,,,,,,,70456272315,,2016-01-09 17:02:17.115,,30
24724,24818,Accel_Log,,,,-1.005,-0.346,0.464,,,,,,,,,,70656542367,,2016-01-09 17:02:17.154,,30
24725,24819,Gyro_Log,,,,4.512,36.707,6.585,,,,,,,,,,70462241690,,2016-01-09 17:02:17.154,,30
24726,24820,Accel_Log,,,,-0.997,-0.398,0.466,,,,,,,,,,70701335129,,2016-01-09 17:02:17.194,,30
24727,24821,Gyro_Log,,,,4.207,33.598,-2.988,,,,,,,,,,70552031325,,2016-01-09 17:02:17.194,,30
24728,24822,Accel_Log,,,,-0.991,-0.417,0.466,,,,,,,,,,70762923671,,2016-01-09 17:02:17.233,,30
24729,24823,Gyro_Log,,,,6.768,36.646,-2.5,,,,,,,,,,70572727942,,2016-01-09 17:02:17.233,,30
24730,24824,Accel_Log,,,,-1.098,-0.456,0.465,,,,,,,,,,70779722109,,2016-01-09 17:02:17.273,,30
24731,24825,Gyro_Log,,,,-2.744,8.78,4.634,,,,,,,,,,70606579087,,2016-01-09 17:02:17.273,,30
