,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
158638,158732,Accelerometer,,,,-0.133,-0.976,-0.155,,,,,,,,,,0.0,,2016-02-11 12:37:47.143,,72
158639,158733,Accelerometer,,,,-0.137,-0.983,-0.159,,,,,,,,,,0.02,,2016-02-11 12:37:47.143,,72
158640,158734,Accelerometer,,,,-0.139,-0.979,-0.156,,,,,,,,,,0.04,,2016-02-11 12:37:47.144,,72
158641,158735,Accelerometer,,,,-0.138,-0.981,-0.155,,,,,,,,,,0.06,,2016-02-11 12:37:47.144,,72
158642,158736,Accelerometer,,,,-0.138,-0.981,-0.155,,,,,,,,,,0.08,,2016-02-11 12:37:47.144,,72
158643,158737,Accelerometer,,,,-0.137,-0.98,-0.16,,,,,,,,,,0.1,,2016-02-11 12:37:47.144,,72
158644,158738,Accelerometer,,,,-0.136,-0.981,-0.16,,,,,,,,,,0.12,,2016-02-11 12:37:47.144,,72
158645,158739,Accelerometer,,,,-0.136,-0.982,-0.159,,,,,,,,,,0.14,,2016-02-11 12:37:47.145,,72
158646,158740,Accelerometer,,,,-0.138,-0.981,-0.157,,,,,,,,,,0.16,,2016-02-11 12:37:47.145,,72
158647,158741,Accelerometer,,,,-0.14,-0.978,-0.156,,,,,,,,,,0.18,,2016-02-11 12:37:47.145,,72
158648,158742,Accelerometer,,,,-0.14,-0.979,-0.158,,,,,,,,,,0.2,,2016-02-11 12:37:47.145,,72
158649,158743,Accelerometer,,,,-0.135,-0.98,-0.164,,,,,,,,,,0.22,,2016-02-11 12:37:47.146,,72
158650,158744,Accelerometer,,,,-0.135,-0.981,-0.16,,,,,,,,,,0.24,,2016-02-11 12:37:47.146,,72
158651,158745,Accelerometer,,,,-0.137,-0.981,-0.164,,,,,,,,,,0.26,,2016-02-11 12:37:47.146,,72
158652,158746,Accelerometer,,,,-0.139,-0.979,-0.162,,,,,,,,,,0.28,,2016-02-11 12:37:47.146,,72
