,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
147418,147512,Accelerometer,,,,-0.552,0.266,-0.872,,,,,,,,,,0.0,,2016-02-11 12:31:36.297,,71
147419,147513,Accelerometer,,,,-0.455,-0.968,-0.038,,,,,,,,,,0.02,,2016-02-11 12:31:36.298,,71
147420,147514,Accelerometer,,,,-0.446,-0.98,0.005,,,,,,,,,,0.04,,2016-02-11 12:31:36.299,,71
147421,147515,Accelerometer,,,,-0.499,-1.016,0.098,,,,,,,,,,0.06,,2016-02-11 12:31:36.299,,71
147422,147516,Accelerometer,,,,-0.516,-1.012,0.055,,,,,,,,,,0.08,,2016-02-11 12:31:36.299,,71
147423,147517,Accelerometer,,,,-0.479,-0.951,-0.008,,,,,,,,,,0.1,,2016-02-11 12:31:36.300,,71
147424,147518,Accelerometer,,,,-0.447,-0.904,-0.038,,,,,,,,,,0.12,,2016-02-11 12:31:36.300,,71
147425,147519,Accelerometer,,,,-0.454,-0.9,0.034,,,,,,,,,,0.14,,2016-02-11 12:31:36.300,,71
147426,147520,Accelerometer,,,,-0.487,-0.933,0.122,,,,,,,,,,0.16,,2016-02-11 12:31:36.300,,71
147427,147521,Accelerometer,,,,-0.478,-0.906,0.032,,,,,,,,,,0.18,,2016-02-11 12:31:36.301,,71
147428,147522,Accelerometer,,,,-0.451,-0.835,0.029,,,,,,,,,,0.2,,2016-02-11 12:31:36.301,,71
147429,147523,Accelerometer,,,,-0.445,-0.865,0.038,,,,,,,,,,0.22,,2016-02-11 12:31:36.301,,71
147430,147524,Accelerometer,,,,-0.464,-0.937,-0.021,,,,,,,,,,0.24,,2016-02-11 12:31:36.301,,71
147431,147525,Accelerometer,,,,-0.456,-0.956,-0.084,,,,,,,,,,0.26,,2016-02-11 12:31:36.302,,71
147432,147526,Accelerometer,,,,-0.458,-0.967,-0.064,,,,,,,,,,0.28,,2016-02-11 12:31:36.302,,71
147433,147527,Accelerometer,,,,-0.484,-0.996,-0.046,,,,,,,,,,0.3,,2016-02-11 12:31:36.303,,71
