,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
125696,125790,Accelerometer,,,,-0.161,-0.995,0.044,,,,,,,,,,0.0,,2016-02-11 12:10:29.533,,65
125697,125791,Accelerometer,,,,-0.167,-1.002,0.041,,,,,,,,,,0.02,,2016-02-11 12:10:29.533,,65
125698,125792,Accelerometer,,,,-0.17,-0.995,0.043,,,,,,,,,,0.04,,2016-02-11 12:10:29.534,,65
125699,125793,Accelerometer,,,,-0.168,-0.992,0.048,,,,,,,,,,0.06,,2016-02-11 12:10:29.534,,65
125700,125794,Accelerometer,,,,-0.165,-0.995,0.048,,,,,,,,,,0.08,,2016-02-11 12:10:29.534,,65
125701,125795,Accelerometer,,,,-0.165,-0.991,0.054,,,,,,,,,,0.1,,2016-02-11 12:10:29.534,,65
125702,125796,Accelerometer,,,,-0.168,-0.987,0.056,,,,,,,,,,0.12,,2016-02-11 12:10:29.535,,65
125703,125797,Accelerometer,,,,-0.173,-0.985,0.047,,,,,,,,,,0.14,,2016-02-11 12:10:29.536,,65
125704,125798,Accelerometer,,,,-0.172,-0.985,0.046,,,,,,,,,,0.16,,2016-02-11 12:10:29.536,,65
125705,125799,Accelerometer,,,,-0.166,-0.988,0.048,,,,,,,,,,0.18,,2016-02-11 12:10:29.536,,65
125706,125800,Accelerometer,,,,-0.169,-0.983,0.042,,,,,,,,,,0.2,,2016-02-11 12:10:29.537,,65
125707,125801,Accelerometer,,,,-0.172,-0.985,0.053,,,,,,,,,,0.22,,2016-02-11 12:10:29.537,,65
125708,125802,Accelerometer,,,,-0.163,-0.982,0.041,,,,,,,,,,0.24,,2016-02-11 12:10:29.537,,65
125709,125803,Accelerometer,,,,-0.163,-0.984,0.041,,,,,,,,,,0.26,,2016-02-11 12:10:29.537,,65
125710,125804,Accelerometer,,,,-0.167,-0.991,0.04,,,,,,,,,,0.28,,2016-02-11 12:10:29.537,,65
125711,125805,Accelerometer,,,,-0.167,-0.994,0.042,,,,,,,,,,0.3,,2016-02-11 12:10:29.538,,65
125712,125806,Accelerometer,,,,-0.163,-0.994,0.048,,,,,,,,,,0.32,,2016-02-11 12:10:29.538,,65
125713,125807,Accelerometer,,,,-0.154,-0.997,0.037,,,,,,,,,,0.34,,2016-02-11 12:10:29.538,,65
125714,125808,Accelerometer,,,,-0.154,-0.996,0.04,,,,,,,,,,0.36,,2016-02-11 12:10:29.538,,65
125715,125809,Accelerometer,,,,-0.158,-0.996,0.034,,,,,,,,,,0.38,,2016-02-11 12:10:29.539,,65
125716,125810,Accelerometer,,,,-0.157,-0.993,0.036,,,,,,,,,,0.4,,2016-02-11 12:10:29.539,,65
