,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
115103,115197,Accelerometer,,,,0.001,-0.077,1.015,,,,,,,,,,0.0,,2016-02-11 12:04:23.486,,63
115104,115198,Accelerometer,,,,0.006,-0.065,1.018,,,,,,,,,,0.02,,2016-02-11 12:04:23.486,,63
115105,115199,Accelerometer,,,,0.009,-0.06,1.016,,,,,,,,,,0.04,,2016-02-11 12:04:23.487,,63
115106,115200,Accelerometer,,,,0.023,-0.057,1.019,,,,,,,,,,0.06,,2016-02-11 12:04:23.487,,63
115107,115201,Accelerometer,,,,0.014,-0.064,1.027,,,,,,,,,,0.08,,2016-02-11 12:04:23.487,,63
115108,115202,Accelerometer,,,,0.01,-0.07,1.027,,,,,,,,,,0.1,,2016-02-11 12:04:23.487,,63
115109,115203,Accelerometer,,,,0.009,-0.074,1.024,,,,,,,,,,0.12,,2016-02-11 12:04:23.488,,63
115110,115204,Accelerometer,,,,0.012,-0.073,1.015,,,,,,,,,,0.14,,2016-02-11 12:04:23.488,,63
115111,115205,Accelerometer,,,,0.015,-0.072,1.013,,,,,,,,,,0.16,,2016-02-11 12:04:23.488,,63
115112,115206,Accelerometer,,,,0.01,-0.068,1.009,,,,,,,,,,0.18,,2016-02-11 12:04:23.488,,63
115113,115207,Accelerometer,,,,0.003,-0.072,1.022,,,,,,,,,,0.2,,2016-02-11 12:04:23.488,,63
115114,115208,Accelerometer,,,,0.005,-0.08,1.015,,,,,,,,,,0.22,,2016-02-11 12:04:23.489,,63
115115,115209,Accelerometer,,,,0.009,-0.085,1.02,,,,,,,,,,0.24,,2016-02-11 12:04:23.489,,63
115116,115210,Accelerometer,,,,0.015,-0.083,1.024,,,,,,,,,,0.26,,2016-02-11 12:04:23.489,,63
115117,115211,Accelerometer,,,,0.019,-0.071,1.026,,,,,,,,,,0.28,,2016-02-11 12:04:23.489,,63
115118,115212,Accelerometer,,,,0.014,-0.062,1.026,,,,,,,,,,0.3,,2016-02-11 12:04:23.490,,63
115119,115213,Accelerometer,,,,0.019,-0.052,1.02,,,,,,,,,,0.32,,2016-02-11 12:04:23.490,,63
115120,115214,Accelerometer,,,,0.024,-0.05,1.023,,,,,,,,,,0.34,,2016-02-11 12:04:23.490,,63
115121,115215,Accelerometer,,,,0.014,-0.045,1.015,,,,,,,,,,0.36,,2016-02-11 12:04:23.490,,63
115122,115216,Accelerometer,,,,0.01,-0.044,1.02,,,,,,,,,,0.38,,2016-02-11 12:04:23.490,,63
115123,115217,Accelerometer,,,,0.017,-0.054,1.027,,,,,,,,,,0.4,,2016-02-11 12:04:23.491,,63
115124,115218,Accelerometer,,,,0.023,-0.062,1.021,,,,,,,,,,0.42,,2016-02-11 12:04:23.491,,63
115125,115219,Accelerometer,,,,0.022,-0.055,1.018,,,,,,,,,,0.44,,2016-02-11 12:04:23.491,,63
115126,115220,Accelerometer,,,,0.021,-0.054,1.018,,,,,,,,,,0.46,,2016-02-11 12:04:23.491,,63
115127,115221,Accelerometer,,,,0.03,-0.061,1.022,,,,,,,,,,0.48,,2016-02-11 12:04:23.491,,63
115128,115222,Accelerometer,,,,0.033,-0.061,1.023,,,,,,,,,,0.5,,2016-02-11 12:04:23.492,,63
115129,115223,Accelerometer,,,,0.038,-0.059,1.017,,,,,,,,,,0.52,,2016-02-11 12:04:23.492,,63
115130,115224,Accelerometer,,,,0.048,-0.057,1.008,,,,,,,,,,0.54,,2016-02-11 12:04:23.492,,63
115131,115225,Accelerometer,,,,0.068,-0.053,1.016,,,,,,,,,,0.56,,2016-02-11 12:04:23.492,,63
115132,115226,Accelerometer,,,,0.05,-0.064,1.006,,,,,,,,,,0.58,,2016-02-11 12:04:23.492,,63
115133,115227,Accelerometer,,,,0.038,-0.085,1.003,,,,,,,,,,0.6,,2016-02-11 12:04:23.494,,63
115134,115228,Accelerometer,,,,0.027,-0.113,1.011,,,,,,,,,,0.62,,2016-02-11 12:04:23.494,,63
115135,115229,Accelerometer,,,,0.035,-0.12,0.998,,,,,,,,,,0.64,,2016-02-11 12:04:23.494,,63
115136,115230,Accelerometer,,,,0.003,-0.1,1.0,,,,,,,,,,0.66,,2016-02-11 12:04:23.494,,63
115137,115231,Accelerometer,,,,-0.049,-0.071,1.035,,,,,,,,,,0.68,,2016-02-11 12:04:23.495,,63
115138,115232,Accelerometer,,,,-0.065,-0.077,1.042,,,,,,,,,,0.7,,2016-02-11 12:04:23.495,,63
115139,115233,Accelerometer,,,,-0.014,-0.095,1.031,,,,,,,,,,0.72,,2016-02-11 12:04:23.495,,63
115140,115234,Accelerometer,,,,0.017,-0.104,1.035,,,,,,,,,,0.74,,2016-02-11 12:04:23.496,,63
115141,115235,Accelerometer,,,,-0.012,-0.109,1.042,,,,,,,,,,0.76,,2016-02-11 12:04:23.496,,63
