,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
128728,128822,Accelerometer,,,,0.025,0.0,1.017,,,,,,,,,,0.0,,2016-02-11 12:14:53.470,,66
128729,128823,Accelerometer,,,,0.026,-0.001,1.024,,,,,,,,,,0.02,,2016-02-11 12:14:53.470,,66
128730,128824,Accelerometer,,,,0.029,0.002,1.021,,,,,,,,,,0.04,,2016-02-11 12:14:53.471,,66
128731,128825,Accelerometer,,,,0.028,-0.001,1.022,,,,,,,,,,0.06,,2016-02-11 12:14:53.471,,66
128732,128826,Accelerometer,,,,0.027,-0.0,1.022,,,,,,,,,,0.08,,2016-02-11 12:14:53.471,,66
128733,128827,Accelerometer,,,,0.031,0.001,1.024,,,,,,,,,,0.1,,2016-02-11 12:14:53.471,,66
128734,128828,Accelerometer,,,,0.031,0.004,1.023,,,,,,,,,,0.12,,2016-02-11 12:14:53.471,,66
128735,128829,Accelerometer,,,,0.026,0.002,1.025,,,,,,,,,,0.14,,2016-02-11 12:14:53.472,,66
128736,128830,Accelerometer,,,,0.019,-0.001,1.026,,,,,,,,,,0.16,,2016-02-11 12:14:53.472,,66
128737,128831,Accelerometer,,,,0.021,-0.001,1.021,,,,,,,,,,0.18,,2016-02-11 12:14:53.472,,66
128738,128832,Accelerometer,,,,0.024,0.001,1.024,,,,,,,,,,0.2,,2016-02-11 12:14:53.472,,66
128739,128833,Accelerometer,,,,0.031,-0.002,1.025,,,,,,,,,,0.22,,2016-02-11 12:14:53.472,,66
128740,128834,Accelerometer,,,,0.039,0.0,1.017,,,,,,,,,,0.24,,2016-02-11 12:14:53.473,,66
128741,128835,Accelerometer,,,,0.035,0.005,1.002,,,,,,,,,,0.26,,2016-02-11 12:14:53.473,,66
128742,128836,Accelerometer,,,,0.026,0.0,1.031,,,,,,,,,,0.28,,2016-02-11 12:14:53.473,,66
128743,128837,Accelerometer,,,,0.022,0.0,1.028,,,,,,,,,,0.3,,2016-02-11 12:14:53.473,,66
128744,128838,Accelerometer,,,,0.029,0.001,1.023,,,,,,,,,,0.32,,2016-02-11 12:14:53.474,,66
128745,128839,Accelerometer,,,,0.026,-0.001,1.029,,,,,,,,,,0.34,,2016-02-11 12:14:53.474,,66
128746,128840,Accelerometer,,,,0.032,-0.004,1.03,,,,,,,,,,0.36,,2016-02-11 12:14:53.474,,66
128747,128841,Accelerometer,,,,0.029,-0.007,1.031,,,,,,,,,,0.38,,2016-02-11 12:14:53.475,,66
128748,128842,Accelerometer,,,,0.025,-0.007,1.026,,,,,,,,,,0.4,,2016-02-11 12:14:53.475,,66
128749,128843,Accelerometer,,,,0.028,0.0,1.019,,,,,,,,,,0.42,,2016-02-11 12:14:53.475,,66
