,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
31927,32021,Accel_Log,,,,0.367,-0.863,-0.011,,,,,,,,,,21849982388,,2016-01-09 17:21:05.558,,36
31928,32022,Accel_Log,,,,0.370,-0.873,-0.016,,,,,,,,,,21853381710,,2016-01-09 17:21:05.597,,36
31929,32023,Gyro_Log,,,,-0.854,1.341,-1.524,,,,,,,,,,21656369418,,2016-01-09 17:21:05.597,,36
31930,32024,Accel_Log,,,,0.367,-0.875,-0.014,,,,,,,,,,21899375669,,2016-01-09 17:21:05.637,,36
31931,32025,Gyro_Log,,,,-1.951,1.402,-1.707,,,,,,,,,,21702611450,,2016-01-09 17:21:05.637,,36
31932,32026,Accel_Log,,,,0.371,-0.868,-0.013,,,,,,,,,,21903984367,,2016-01-09 17:21:05.677,,36
31933,32027,Gyro_Log,,,,-2.195,0.732,-1.951,,,,,,,,,,21706811397,,2016-01-09 17:21:05.677,,36
31934,32028,Accel_Log,,,,0.369,-0.864,-0.015,,,,,,,,,,21950605461,,2016-01-09 17:21:05.716,,36
31935,32029,Gyro_Log,,,,-1.220,0.244,-2.012,,,,,,,,,,21752695981,,2016-01-09 17:21:05.716,,36
31936,32030,Accel_Log,,,,0.367,-0.865,-0.021,,,,,,,,,,21953118690,,2016-01-09 17:21:05.756,,36
31937,32031,Gyro_Log,,,,-1.463,0.061,-2.256,,,,,,,,,,21754876658,,2016-01-09 17:21:05.757,,36
31938,32032,Accel_Log,,,,0.373,-0.865,-0.022,,,,,,,,,,21999029107,,2016-01-09 17:21:05.797,,36
31939,32033,Gyro_Log,,,,-2.500,0.549,-2.561,,,,,,,,,,21801314419,,2016-01-09 17:21:05.797,,36
31940,32034,Accel_Log,,,,0.378,-0.861,-0.020,,,,,,,,,,22001893638,,2016-01-09 17:21:05.836,,36
31941,32035,Gyro_Log,,,,-3.049,-0.122,-2.561,,,,,,,,,,21803779418,,2016-01-09 17:21:05.836,,36
31942,32036,Accel_Log,,,,0.377,-0.86,-0.018,,,,,,,,,,22049065825,,2016-01-09 17:21:05.876,,36
31943,32037,Gyro_Log,,,,-3.659,-1.159,-2.500,,,,,,,,,,21852208429,,2016-01-09 17:21:05.876,,36
31944,32038,Accel_Log,,,,0.376,-0.848,-0.009,,,,,,,,,,22053668012,,2016-01-09 17:21:05.915,,36
31945,32039,Gyro_Log,,,,-4.451,-1.402,-2.683,,,,,,,,,,21856204626,,2016-01-09 17:21:05.915,,36
31946,32040,Accel_Log,,,,0.375,-0.821,-0.010,,,,,,,,,,22099521346,,2016-01-09 17:21:05.955,,36
31947,32041,Gyro_Log,,,,-4.207,-1.341,-3.780,,,,,,,,,,21902636398,,2016-01-09 17:21:05.955,,36
31948,32042,Accel_Log,,,,0.385,-0.807,-0.011,,,,,,,,,,22103048846,,2016-01-09 17:21:05.994,,36
31949,32043,Gyro_Log,,,,-4.207,-2.683,-4.085,,,,,,,,,,22049685929,,2016-01-09 17:21:05.996,,36
31950,32044,Accel_Log,,,,0.378,-0.836,0.004,,,,,,,,,,22251294002,,2016-01-09 17:21:06.035,,36
