,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
20600,20694,Accel_Log,,,,0.738,-0.258,0.530,,,,,,,,,,47799986388,,2016-01-09 16:55:19.343,,27
20601,20695,Accel_Log,,,,0.746,-0.255,0.535,,,,,,,,,,47849291596,,2016-01-09 16:55:19.383,,27
20602,20696,Gyro_Log,,,,-3.232,-1.159,-0.366,,,,,,,,,,47652516961,,2016-01-09 16:55:19.383,,27
20603,20697,Accel_Log,,,,0.748,-0.265,0.539,,,,,,,,,,47899214721,,2016-01-09 16:55:19.422,,27
20604,20698,Gyro_Log,,,,-1.280,-0.488,-0.488,,,,,,,,,,47702268888,,2016-01-09 16:55:19.422,,27
20605,20699,Accel_Log,,,,0.746,-0.259,0.532,,,,,,,,,,47949127169,,2016-01-09 16:55:19.462,,27
20606,20700,Gyro_Log,,,,-0.671,-0.61,-0.244,,,,,,,,,,47752178367,,2016-01-09 16:55:19.462,,27
20607,20701,Accel_Log,,,,0.747,-0.256,0.534,,,,,,,,,,47999136596,,2016-01-09 16:55:19.501,,27
20608,20702,Gyro_Log,,,,-1.768,-0.061,-0.305,,,,,,,,,,47801721701,,2016-01-09 16:55:19.501,,27
20609,20703,Accel_Log,,,,0.748,-0.257,0.538,,,,,,,,,,48049533159,,2016-01-09 16:55:19.541,,27
20610,20704,Gyro_Log,,,,-1.220,0.366,-0.427,,,,,,,,,,47852064774,,2016-01-09 16:55:19.542,,27
20611,20705,Accel_Log,,,,0.746,-0.258,0.536,,,,,,,,,,48099486544,,2016-01-09 16:55:19.582,,27
20612,20706,Gyro_Log,,,,-0.427,1.098,-0.305,,,,,,,,,,47902330503,,2016-01-09 16:55:19.582,,27
20613,20707,Accel_Log,,,,0.747,-0.257,0.534,,,,,,,,,,48149414357,,2016-01-09 16:55:19.622,,27
20614,20708,Gyro_Log,,,,-0.854,-0.183,-0.366,,,,,,,,,,47951961649,,2016-01-09 16:55:19.622,,27
20615,20709,Accel_Log,,,,0.744,-0.259,0.531,,,,,,,,,,48199470815,,2016-01-09 16:55:19.661,,27
20616,20710,Gyro_Log,,,,-0.793,-0.305,-0.366,,,,,,,,,,48002095399,,2016-01-09 16:55:19.661,,27
20617,20711,Accel_Log,,,,0.748,-0.261,0.533,,,,,,,,,,48249507430,,2016-01-09 16:55:19.701,,27
20618,20712,Gyro_Log,,,,-0.671,0.183,-0.305,,,,,,,,,,48052301961,,2016-01-09 16:55:19.701,,27
20619,20713,Accel_Log,,,,0.747,-0.26,0.534,,,,,,,,,,48299149409,,2016-01-09 16:55:19.740,,27
20620,20714,Gyro_Log,,,,-1.098,0.915,0.061,,,,,,,,,,48102637742,,2016-01-09 16:55:19.740,,27
20621,20715,Accel_Log,,,,0.746,-0.256,0.537,,,,,,,,,,48349561388,,2016-01-09 16:55:19.780,,27
20622,20716,Gyro_Log,,,,-1.220,1.159,-0.061,,,,,,,,,,48152784513,,2016-01-09 16:55:19.781,,27
20623,20717,Accel_Log,,,,0.752,-0.252,0.539,,,,,,,,,,48399125190,,2016-01-09 16:55:19.821,,27
20624,20718,Gyro_Log,,,,-1.524,1.159,-0.427,,,,,,,,,,48201433159,,2016-01-09 16:55:19.821,,27
20625,20719,Accel_Log,,,,0.750,-0.256,0.538,,,,,,,,,,48449396752,,2016-01-09 16:55:19.860,,27
20626,20720,Gyro_Log,,,,-0.671,1.768,-0.366,,,,,,,,,,48252524096,,2016-01-09 16:55:19.860,,27
20627,20721,Accel_Log,,,,0.739,-0.259,0.542,,,,,,,,,,48499147273,,2016-01-09 16:55:19.900,,27
20628,20722,Gyro_Log,,,,-0.244,1.707,-0.305,,,,,,,,,,48301267586,,2016-01-09 16:55:19.900,,27
20629,20723,Accel_Log,,,,0.740,-0.259,0.537,,,,,,,,,,48699012169,,2016-01-09 16:55:19.939,,27
20630,20724,Gyro_Log,,,,-0.366,2.195,-0.061,,,,,,,,,,48501698315,,2016-01-09 16:55:19.939,,27
20631,20725,Accel_Log,,,,0.736,-0.257,0.524,,,,,,,,,,48749183419,,2016-01-09 16:55:19.979,,27
20632,20726,Gyro_Log,,,,-0.732,2.683,0.732,,,,,,,,,,48551648992,,2016-01-09 16:55:19.979,,27
20633,20727,Accel_Log,,,,0.726,-0.262,0.519,,,,,,,,,,48799309461,,2016-01-09 16:55:20.019,,27
20634,20728,Gyro_Log,,,,-1.646,1.341,0.427,,,,,,,,,,48602820763,,2016-01-09 16:55:20.019,,27
