,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
104487,104581,Accelerometer,,,,-0.805,-0.28,0.681,,,,,,,,,,0.0,,2016-02-11 11:53:34.022,,60
104488,104582,Accelerometer,,,,-0.79,-0.276,0.675,,,,,,,,,,0.02,,2016-02-11 11:53:34.022,,60
104489,104583,Accelerometer,,,,-0.768,-0.264,0.663,,,,,,,,,,0.04,,2016-02-11 11:53:34.023,,60
104490,104584,Accelerometer,,,,-0.782,-0.248,0.67,,,,,,,,,,0.06,,2016-02-11 11:53:34.023,,60
104491,104585,Accelerometer,,,,-0.793,-0.248,0.677,,,,,,,,,,0.08,,2016-02-11 11:53:34.023,,60
104492,104586,Accelerometer,,,,-0.78,-0.247,0.661,,,,,,,,,,0.1,,2016-02-11 11:53:34.023,,60
104493,104587,Accelerometer,,,,-0.772,-0.246,0.658,,,,,,,,,,0.12,,2016-02-11 11:53:34.024,,60
104494,104588,Accelerometer,,,,-0.792,-0.257,0.663,,,,,,,,,,0.14,,2016-02-11 11:53:34.024,,60
104495,104589,Accelerometer,,,,-0.817,-0.272,0.66,,,,,,,,,,0.16,,2016-02-11 11:53:34.024,,60
104496,104590,Accelerometer,,,,-0.826,-0.296,0.659,,,,,,,,,,0.18,,2016-02-11 11:53:34.024,,60
104497,104591,Accelerometer,,,,-0.822,-0.321,0.65,,,,,,,,,,0.2,,2016-02-11 11:53:34.025,,60
104498,104592,Accelerometer,,,,-0.788,-0.332,0.64,,,,,,,,,,0.22,,2016-02-11 11:53:34.025,,60
104499,104593,Accelerometer,,,,-0.755,-0.323,0.653,,,,,,,,,,0.24,,2016-02-11 11:53:34.025,,60
104500,104594,Accelerometer,,,,-0.768,-0.317,0.666,,,,,,,,,,0.26,,2016-02-11 11:53:34.025,,60
104501,104595,Accelerometer,,,,-0.782,-0.29,0.642,,,,,,,,,,0.28,,2016-02-11 11:53:34.026,,60
104502,104596,Accelerometer,,,,-0.764,-0.289,0.638,,,,,,,,,,0.3,,2016-02-11 11:53:34.026,,60
104503,104597,Accelerometer,,,,-0.777,-0.295,0.651,,,,,,,,,,0.32,,2016-02-11 11:53:34.026,,60
104504,104598,Accelerometer,,,,-0.805,-0.303,0.667,,,,,,,,,,0.34,,2016-02-11 11:53:34.026,,60
104505,104599,Accelerometer,,,,-0.804,-0.308,0.674,,,,,,,,,,0.36,,2016-02-11 11:53:34.026,,60
104506,104600,Accelerometer,,,,-0.79,-0.306,0.682,,,,,,,,,,0.38,,2016-02-11 11:53:34.027,,60
104507,104601,Accelerometer,,,,-0.767,-0.306,0.682,,,,,,,,,,0.4,,2016-02-11 11:53:34.027,,60
104508,104602,Accelerometer,,,,-0.75,-0.287,0.693,,,,,,,,,,0.42,,2016-02-11 11:53:34.028,,60
104509,104603,Accelerometer,,,,-0.75,-0.25,0.692,,,,,,,,,,0.44,,2016-02-11 11:53:34.029,,60
104510,104604,Accelerometer,,,,-0.766,-0.248,0.701,,,,,,,,,,0.46,,2016-02-11 11:53:34.029,,60
104511,104605,Accelerometer,,,,-0.777,-0.254,0.701,,,,,,,,,,0.48,,2016-02-11 11:53:34.029,,60
104512,104606,Accelerometer,,,,-0.784,-0.258,0.686,,,,,,,,,,0.5,,2016-02-11 11:53:34.029,,60
104513,104607,Accelerometer,,,,-0.809,-0.264,0.676,,,,,,,,,,0.52,,2016-02-11 11:53:34.030,,60
104514,104608,Accelerometer,,,,-0.824,-0.267,0.677,,,,,,,,,,0.54,,2016-02-11 11:53:34.030,,60
104515,104609,Accelerometer,,,,-0.816,-0.266,0.678,,,,,,,,,,0.56,,2016-02-11 11:53:34.030,,60
104516,104610,Accelerometer,,,,-0.803,-0.267,0.655,,,,,,,,,,0.58,,2016-02-11 11:53:34.030,,60
104517,104611,Accelerometer,,,,-0.78,-0.257,0.64,,,,,,,,,,0.6,,2016-02-11 11:53:34.030,,60
104518,104612,Accelerometer,,,,-0.775,-0.255,0.652,,,,,,,,,,0.62,,2016-02-11 11:53:34.031,,60
104519,104613,Accelerometer,,,,-0.784,-0.266,0.668,,,,,,,,,,0.64,,2016-02-11 11:53:34.031,,60
104520,104614,Accelerometer,,,,-0.834,-0.271,0.673,,,,,,,,,,0.66,,2016-02-11 11:53:34.031,,60
104521,104615,Accelerometer,,,,-0.825,-0.257,0.667,,,,,,,,,,0.68,,2016-02-11 11:53:34.031,,60
104522,104616,Accelerometer,,,,-0.805,-0.246,0.654,,,,,,,,,,0.7,,2016-02-11 11:53:34.031,,60
104523,104617,Accelerometer,,,,-0.791,-0.25,0.655,,,,,,,,,,0.72,,2016-02-11 11:53:34.032,,60
104524,104618,Accelerometer,,,,-0.784,-0.267,0.661,,,,,,,,,,0.74,,2016-02-11 11:53:34.032,,60
