,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
91270,91364,Accelerometer,,,,-0.1,-0.107,-1.015,,,,,,,,,,0.0,,2016-02-11 11:14:16.980,,58
91271,91365,Accelerometer,,,,-0.101,-0.102,-1.027,,,,,,,,,,0.02,,2016-02-11 11:14:16.981,,58
91272,91366,Accelerometer,,,,-0.098,-0.092,-1.022,,,,,,,,,,0.04,,2016-02-11 11:14:16.981,,58
91273,91367,Accelerometer,,,,-0.094,-0.093,-1.013,,,,,,,,,,0.06,,2016-02-11 11:14:16.981,,58
91274,91368,Accelerometer,,,,-0.097,-0.097,-1.015,,,,,,,,,,0.08,,2016-02-11 11:14:16.981,,58
91275,91369,Accelerometer,,,,-0.099,-0.098,-1.019,,,,,,,,,,0.1,,2016-02-11 11:14:16.981,,58
91276,91370,Accelerometer,,,,-0.102,-0.096,-1.015,,,,,,,,,,0.12,,2016-02-11 11:14:16.982,,58
91277,91371,Accelerometer,,,,-0.101,-0.098,-1.016,,,,,,,,,,0.14,,2016-02-11 11:14:16.982,,58
91278,91372,Accelerometer,,,,-0.102,-0.096,-1.021,,,,,,,,,,0.16,,2016-02-11 11:14:16.982,,58
91279,91373,Accelerometer,,,,-0.105,-0.095,-1.022,,,,,,,,,,0.18,,2016-02-11 11:14:16.982,,58
91280,91374,Accelerometer,,,,-0.114,-0.101,-1.023,,,,,,,,,,0.2,,2016-02-11 11:14:16.982,,58
91281,91375,Accelerometer,,,,-0.12,-0.104,-1.021,,,,,,,,,,0.22,,2016-02-11 11:14:16.983,,58
91282,91376,Accelerometer,,,,-0.112,-0.106,-1.022,,,,,,,,,,0.24,,2016-02-11 11:14:16.983,,58
