,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
27081,27175,Accel_Log,,,,-0.279,-0.914,0.309,,,,,,,,,,40463094099,,2016-01-09 17:07:55.387,,32
27082,27176,Gyro_Log,,,,-0.732,0.793,-0.732,,,,,,,,,,40271779567,,2016-01-09 17:07:55.387,,32
27083,27177,Accel_Log,,,,-0.280,-0.913,0.310,,,,,,,,,,40467158369,,2016-01-09 17:07:55.427,,32
27084,27178,Gyro_Log,,,,-0.671,0.366,-0.854,,,,,,,,,,40317264203,,2016-01-09 17:07:55.427,,32
27085,27179,Accel_Log,,,,-0.279,-0.91,0.312,,,,,,,,,,40514512432,,2016-01-09 17:07:55.466,,32
27086,27180,Gyro_Log,,,,-0.244,0.854,-0.549,,,,,,,,,,40322222015,,2016-01-09 17:07:55.466,,32
27087,27181,Accel_Log,,,,-0.274,-0.912,0.313,,,,,,,,,,40518075869,,2016-01-09 17:07:55.506,,32
27088,27182,Gyro_Log,,,,-0.488,0.549,-0.610,,,,,,,,,,40365782327,,2016-01-09 17:07:55.506,,32
27089,27183,Accel_Log,,,,-0.279,-0.91,0.304,,,,,,,,,,40562189620,,2016-01-09 17:07:55.545,,32
27090,27184,Gyro_Log,,,,-0.488,0.427,-0.732,,,,,,,,,,40370071546,,2016-01-09 17:07:55.545,,32
27091,27185,Accel_Log,,,,-0.279,-0.91,0.316,,,,,,,,,,40566171026,,2016-01-09 17:07:55.585,,32
27092,27186,Gyro_Log,,,,-0.427,0.976,-0.610,,,,,,,,,,40414393369,,2016-01-09 17:07:55.586,,32
27093,27187,Accel_Log,,,,-0.276,-0.916,0.314,,,,,,,,,,40610706182,,2016-01-09 17:07:55.626,,32
