,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
22913,23007,Accel_Log,,,,0.607,-0.531,0.508,,,,,,,,,,36700602852,,2016-01-09 16:58:39.822,,28
22914,23008,Gyro_Log,,,,-1.280,0.549,-0.061,,,,,,,,,,36505282538,,2016-01-09 16:58:39.822,,28
22915,23009,Accel_Log,,,,0.608,-0.528,0.507,,,,,,,,,,36705984153,,2016-01-09 16:58:39.861,,28
22916,23010,Gyro_Log,,,,-1.280,0.549,0.061,,,,,,,,,,36649936289,,2016-01-09 16:58:39.861,,28
22917,23011,Accel_Log,,,,0.607,-0.53,0.509,,,,,,,,,,36853127747,,2016-01-09 16:58:39.901,,28
22918,23012,Gyro_Log,,,,-0.976,0.854,0.244,,,,,,,,,,36657889153,,2016-01-09 16:58:39.901,,28
22919,23013,Accel_Log,,,,0.606,-0.533,0.510,,,,,,,,,,36858482487,,2016-01-09 16:58:39.940,,28
22920,23014,Gyro_Log,,,,-0.671,1.341,0.366,,,,,,,,,,36699903164,,2016-01-09 16:58:39.940,,28
22921,23015,Accel_Log,,,,0.606,-0.531,0.511,,,,,,,,,,36903314518,,2016-01-09 16:58:39.980,,28
22922,23016,Gyro_Log,,,,-0.610,1.341,0.122,,,,,,,,,,36704928997,,2016-01-09 16:58:39.980,,28
22923,23017,Accel_Log,,,,0.610,-0.527,0.511,,,,,,,,,,36905268580,,2016-01-09 16:58:40.020,,28
22924,23018,Gyro_Log,,,,0.122,1.341,0.183,,,,,,,,,,36750221809,,2016-01-09 16:58:40.021,,28
22925,23019,Accel_Log,,,,0.610,-0.529,0.513,,,,,,,,,,36950689779,,2016-01-09 16:58:40.061,,28
22926,23020,Gyro_Log,,,,1.646,0.793,0.549,,,,,,,,,,36752340611,,2016-01-09 16:58:40.061,,28
22927,23021,Accel_Log,,,,0.610,-0.527,0.509,,,,,,,,,,36952948737,,2016-01-09 16:58:40.100,,28
22928,23022,Gyro_Log,,,,2.927,0.854,1.037,,,,,,,,,,36801621705,,2016-01-09 16:58:40.100,,28
22929,23023,Accel_Log,,,,0.612,-0.523,0.515,,,,,,,,,,37003179778,,2016-01-09 16:58:40.140,,28
22930,23024,Gyro_Log,,,,3.780,1.402,2.073,,,,,,,,,,36807778945,,2016-01-09 16:58:40.140,,28
22931,23025,Accel_Log,,,,0.615,-0.52,0.521,,,,,,,,,,37009239206,,2016-01-09 16:58:40.179,,28
22932,23026,Gyro_Log,,,,4.756,1.28,2.500,,,,,,,,,,36849858372,,2016-01-09 16:58:40.179,,28
