,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
4905,4999,Accel_Log,,,,-0.087,-0.292,-0.958,,,,,,,,,,26300573532,,2016-01-09 16:08:54.547,,13
4906,5000,Accel_Log,,,,-0.083,-0.304,-0.958,,,,,,,,,,26302980876,,2016-01-09 16:08:54.586,,13
4907,5001,Gyro_Log,,,,0.244,0.915,-0.183,,,,,,,,,,26149082959,,2016-01-09 16:08:54.588,,13
4908,5002,Accel_Log,,,,-0.086,-0.296,-0.954,,,,,,,,,,26352778063,,2016-01-09 16:08:54.627,,13
4909,5003,Gyro_Log,,,,-0.061,1.402,-0.610,,,,,,,,,,26153816657,,2016-01-09 16:08:54.627,,13
4910,5004,Accel_Log,,,,-0.093,-0.302,-0.957,,,,,,,,,,26354992594,,2016-01-09 16:08:54.667,,13
4911,5005,Gyro_Log,,,,0.122,1.768,-1.463,,,,,,,,,,26198982594,,2016-01-09 16:08:54.667,,13
4912,5006,Accel_Log,,,,-0.087,-0.304,-0.959,,,,,,,,,,26400848688,,2016-01-09 16:08:54.706,,13
4913,5007,Gyro_Log,,,,0.427,0.61,-1.890,,,,,,,,,,26202043324,,2016-01-09 16:08:54.706,,13
4914,5008,Accel_Log,,,,-0.085,-0.304,-0.958,,,,,,,,,,26403276344,,2016-01-09 16:08:54.746,,13
4915,5009,Gyro_Log,,,,0.183,1.28,-2.073,,,,,,,,,,26248971813,,2016-01-09 16:08:54.746,,13
4916,5010,Accel_Log,,,,-0.084,-0.304,-0.959,,,,,,,,,,26450765719,,2016-01-09 16:08:54.785,,13
4917,5011,Gyro_Log,,,,-0.427,0.671,-2.317,,,,,,,,,,26252398636,,2016-01-09 16:08:54.785,,13
4918,5012,Accel_Log,,,,-0.083,-0.308,-0.953,,,,,,,,,,26454685407,,2016-01-09 16:08:54.825,,13
4919,5013,Gyro_Log,,,,-0.183,0.427,-1.768,,,,,,,,,,26299695198,,2016-01-09 16:08:54.826,,13
4920,5014,Accel_Log,,,,-0.088,-0.301,-0.962,,,,,,,,,,26502319886,,2016-01-09 16:08:54.866,,13
