,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
5711,5805,Accel_Log,,,,-0.115,0.341,-1.017,,,,,,,,,,20184186346,,2016-01-09 16:15:13.463,,14
5712,5806,Accel_Log,,,,-0.115,0.426,-1.077,,,,,,,,,,20186655721,,2016-01-09 16:15:13.503,,14
5713,5807,Gyro_Log,,,,-0.061,-4.939,3.232,,,,,,,,,,19994030202,,2016-01-09 16:15:13.503,,14
5714,5808,Accel_Log,,,,-0.117,0.353,-0.998,,,,,,,,,,20230470149,,2016-01-09 16:15:13.542,,14
5715,5809,Accel_Log,,,,-0.086,0.325,-0.956,,,,,,,,,,20233294003,,2016-01-09 16:15:13.582,,14
5716,5810,Accel_Log,,,,-0.156,0.345,-0.909,,,,,,,,,,20279278482,,2016-01-09 16:15:13.621,,14
5717,5811,Accel_Log,,,,-0.134,0.366,-0.877,,,,,,,,,,20280650044,,2016-01-09 16:15:13.662,,14
5718,5812,Accel_Log,,,,-0.073,0.387,-0.889,,,,,,,,,,20327898742,,2016-01-09 16:15:13.702,,14
5719,5813,Accel_Log,,,,-0.094,0.415,-0.919,,,,,,,,,,20330183795,,2016-01-09 16:15:13.741,,14
5720,5814,Accel_Log,,,,-0.040,0.404,-0.945,,,,,,,,,,20376691398,,2016-01-09 16:15:13.781,,14
5721,5815,Accel_Log,,,,-0.020,0.385,-0.983,,,,,,,,,,20379213534,,2016-01-09 16:15:13.821,,14
5722,5816,Accel_Log,,,,0.004,0.396,-0.988,,,,,,,,,,20425452961,,2016-01-09 16:15:13.860,,14
5723,5817,Accel_Log,,,,0.034,0.302,-0.956,,,,,,,,,,20427864679,,2016-01-09 16:15:13.900,,14
5724,5818,Accel_Log,,,,0.042,0.301,-0.955,,,,,,,,,,20474130513,,2016-01-09 16:15:13.941,,14
5725,5819,Accel_Log,,,,0.065,0.328,-0.946,,,,,,,,,,20476450617,,2016-01-09 16:15:13.980,,14
5726,5820,Accel_Log,,,,0.051,0.305,-0.958,,,,,,,,,,20522924003,,2016-01-09 16:15:14.020,,14
