,SENSOR_TYPE_x,X_AXIS_x,Y_AXIS_x,Z_AXIS_x,Time_since_start_x,timestamp,ACCEL_X,ACCEL_Y,ACCEL_Z,SENSOR_TYPE_y,X_AXIS_y,Y_AXIS_y,Z_AXIS_y,Time_since_start_y,GYRO_X,GYRO_Y,GYRO_Z
0,Accel_Log,-0.367,-0.652,-0.669,23349501450,2016-01-09 15:59:57.463,-0.367,-0.652,-0.669,,,,,,,,
1,Accel_Log,-0.372,-0.66,-0.683,23353105304,2016-01-09 15:59:57.503,-0.372,-0.66,-0.683,,,,,,,,
2,Accel_Log,-0.371,-0.656,-0.674,23354653064,2016-01-09 15:59:57.544,-0.371,-0.656,-0.674,,,,,,,,
3,Accel_Log,-0.374,-0.659,-0.673,23448839002,2016-01-09 15:59:57.583,-0.374,-0.659,-0.673,Gyro_Log,-1.402,-0.183,-2.195,23252454679.0,-1.402,-0.183,-2.195
4,Accel_Log,-0.376,-0.648,-0.679,23453462491,2016-01-09 15:59:57.623,-0.376,-0.648,-0.679,Gyro_Log,-1.463,-0.549,-1.829,23255960408.0,-1.463,-0.549,-1.829
5,Accel_Log,-0.372,-0.647,-0.678,23498977231,2016-01-09 15:59:57.662,-0.372,-0.647,-0.678,Gyro_Log,-1.402,-1.159,-1.463,23302015148.0,-1.402,-1.159,-1.463
6,Accel_Log,-0.377,-0.648,-0.676,23548855148,2016-01-09 15:59:57.702,-0.377,-0.648,-0.676,Gyro_Log,-1.037,-0.366,-0.793,23352313273.0,-1.037,-0.366,-0.793
7,Accel_Log,-0.383,-0.636,-0.697,23553184939,2016-01-09 15:59:57.741,-0.383,-0.636,-0.697,Gyro_Log,-0.732,-0.305,-0.366,23355250668.0,-0.732,-0.305,-0.366
8,Accel_Log,-0.382,-0.641,-0.682,23598971971,2016-01-09 15:59:57.781,-0.382,-0.641,-0.682,,,,,,,,
9,Accel_Log,-0.387,-0.645,-0.683,23602238793,2016-01-09 15:59:57.822,-0.387,-0.645,-0.683,Gyro_Log,-1.341,0.366,0.488,23404132960.0,-1.341,0.366,0.488
10,Accel_Log,-0.384,-0.645,-0.696,23649336971,2016-01-09 15:59:57.861,-0.384,-0.645,-0.696,Gyro_Log,-2.683,0.0,0.854,23451231502.0,-2.683,0.0,0.854
11,Accel_Log,-0.392,-0.639,-0.687,23651423741,2016-01-09 15:59:57.901,-0.392,-0.639,-0.687,Gyro_Log,-4.085,-0.305,-0.305,23453215929.0,-4.085,-0.305,-0.305
12,Accel_Log,-0.394,-0.641,-0.689,23698855356,2016-01-09 15:59:57.941,-0.394,-0.641,-0.689,Gyro_Log,-1.524,0.244,-1.463,23501502127.0,-1.524,0.244,-1.463
13,Accel_Log,-0.398,-0.647,-0.682,23702367856,2016-01-09 15:59:57.980,-0.398,-0.647,-0.682,Gyro_Log,-0.183,0.976,-2.439,23504847179.0,-0.183,0.976,-2.439
14,Accel_Log,-0.406,-0.643,-0.688,23748833846,2016-01-09 15:59:58.020,-0.406,-0.643,-0.688,Gyro_Log,-2.134,-0.488,-3.354,23551401137.0,-2.134,-0.488,-3.354
15,Accel_Log,-0.403,-0.638,-0.687,23752288325,2016-01-09 15:59:58.059,-0.403,-0.638,-0.687,,,,,,,,
16,Accel_Log,-0.389,-0.646,-0.679,23798847596,2016-01-09 15:59:58.100,-0.389,-0.646,-0.679,Gyro_Log,-0.488,-0.244,-7.744,23601450200.0,-0.488,-0.244,-7.744
17,Accel_Log,-0.397,-0.652,-0.679,23802328220,2016-01-09 15:59:58.140,-0.397,-0.652,-0.679,Gyro_Log,1.28,-0.244,-8.598,23604248793.0,1.28,-0.244,-8.598
18,Accel_Log,-0.385,-0.645,-0.675,23848858533,2016-01-09 15:59:58.179,-0.385,-0.645,-0.675,Gyro_Log,0.793,-0.305,-10.244,23651448689.0,0.793,-0.305,-10.244
19,Accel_Log,-0.385,-0.65,-0.671,23852313429,2016-01-09 15:59:58.219,-0.385,-0.65,-0.671,Gyro_Log,-0.305,0.0,-13.415,23654775199.0,-0.305,0.0,-13.415
20,Accel_Log,-0.38,-0.641,-0.667,23898856294,2016-01-09 15:59:58.258,-0.38,-0.641,-0.667,Gyro_Log,0.183,0.671,-18.171,23799668377.0,0.183,0.671,-18.171
21,Accel_Log,-0.361,-0.646,-0.67,24000880616,2016-01-09 15:59:58.298,-0.361,-0.646,-0.67,,,,,,,,
22,Accel_Log,-0.344,-0.649,-0.66,24004477752,2016-01-09 15:59:58.339,-0.344,-0.649,-0.66,Gyro_Log,0.061,3.293,-26.829,23849636346.0,0.061,3.293,-26.829
23,Accel_Log,-0.362,-0.652,-0.667,24051702700,2016-01-09 15:59:58.379,-0.362,-0.652,-0.667,Gyro_Log,-1.28,2.683,-30.366,23853653533.0,-1.28,2.683,-30.366
24,Accel_Log,-0.349,-0.656,-0.675,24054052491,2016-01-09 15:59:58.418,-0.349,-0.656,-0.675,Gyro_Log,-3.171,5.366,-32.927,23901017908.0,-3.171,5.366,-32.927
25,Accel_Log,-0.362,-0.674,-0.672,24102117179,2016-01-09 15:59:58.458,-0.362,-0.674,-0.672,Gyro_Log,-5.305,9.207,-33.963,23904451658.0,-5.305,9.207,-33.963
26,Accel_Log,-0.335,-0.68,-0.69,24104902856,2016-01-09 15:59:58.497,-0.335,-0.68,-0.69,Gyro_Log,-5.61,8.476,-36.159,23949736085.0,-5.61,8.476,-36.159
27,Accel_Log,-0.287,-0.679,-0.689,24151006710,2016-01-09 15:59:58.537,-0.287,-0.679,-0.689,Gyro_Log,-5.122,8.415,-40.244,23953112387.0,-5.122,8.415,-40.244
28,Accel_Log,-0.255,-0.688,-0.716,24153456918,2016-01-09 15:59:58.576,-0.255,-0.688,-0.716,,,,,,,,
29,Accel_Log,-0.199,-0.67,-0.72,24201847075,2016-01-09 15:59:58.617,-0.199,-0.67,-0.72,Gyro_Log,-3.537,2.866,-46.159,24004497804.0,-3.537,2.866,-46.159
30,Accel_Log,-0.183,-0.683,-0.712,24248840564,2016-01-09 15:59:58.657,-0.183,-0.683,-0.712,Gyro_Log,-6.646,4.878,-45.244,24051536710.0,-6.646,4.878,-45.244
31,Accel_Log,-0.127,-0.675,-0.717,24252512075,2016-01-09 15:59:58.696,-0.127,-0.675,-0.717,Gyro_Log,-6.159,3.476,-41.524,24055168897.0,-6.159,3.476,-41.524
32,Accel_Log,-0.115,-0.659,-0.725,24298838846,2016-01-09 15:59:58.736,-0.115,-0.659,-0.725,Gyro_Log,-9.634,2.866,-42.439,24101605356.0,-9.634,2.866,-42.439
33,Accel_Log,-0.076,-0.672,-0.757,24302944887,2016-01-09 15:59:58.776,-0.076,-0.672,-0.757,Gyro_Log,-11.22,-1.768,-43.72,24105441866.0,-11.22,-1.768,-43.72
34,Accel_Log,-0.041,-0.686,-0.759,24348811294,2016-01-09 15:59:58.815,-0.041,-0.686,-0.759,Gyro_Log,-7.622,0.122,-41.098,24152567387.0,-7.622,0.122,-41.098
35,Accel_Log,-0.026,-0.668,-0.743,24352969054,2016-01-09 15:59:58.856,-0.026,-0.668,-0.743,Gyro_Log,-5.061,-2.134,-37.622,24155203481.0,-5.061,-2.134,-37.622
36,Accel_Log,0.003,-0.644,-0.747,24400245460,2016-01-09 15:59:58.896,0.003,-0.644,-0.747,Gyro_Log,-3.293,-2.5,-33.049,24202928272.0,-3.293,-2.5,-33.049
37,Accel_Log,0.023,-0.658,-0.747,24403872074,2016-01-09 15:59:58.935,0.023,-0.658,-0.747,Gyro_Log,-1.28,-2.927,-29.329,24205654366.0,-1.28,-2.927,-29.329
38,Accel_Log,0.027,-0.648,-0.727,24450176710,2016-01-09 15:59:58.975,0.027,-0.648,-0.727,Gyro_Log,3.171,-4.878,-25.732,24252796554.0,3.171,-4.878,-25.732
39,Accel_Log,0.031,-0.656,-0.738,24453341710,2016-01-09 15:59:59.014,0.031,-0.656,-0.738,Gyro_Log,5.488,-2.622,-24.634,24255244001.0,5.488,-2.622,-24.634
40,Accel_Log,0.048,-0.69,-0.724,24500286866,2016-01-09 15:59:59.054,0.048,-0.69,-0.724,Gyro_Log,5.915,-2.012,-24.085,24302990147.0,5.915,-2.012,-24.085
41,Accel_Log,0.045,-0.684,-0.657,24503668481,2016-01-09 15:59:59.134,0.045,-0.684,-0.657,Gyro_Log,7.866,-0.976,-18.72,24305619106.0,7.866,-0.976,-18.72
