,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
10556,10650,Accel_Log,,,,0.113,0.044,-0.989,,,,,,,,,,28804201030,,2016-01-09 16:24:55.533,,18
10557,10651,Accel_Log,,,,0.103,0.015,-0.997,,,,,,,,,,28808383322,,2016-01-09 16:24:55.572,,18
10558,10652,Gyro_Log,,,,0.244,0.488,-0.061,,,,,,,,,,28617892071,,2016-01-09 16:24:55.572,,18
10559,10653,Accel_Log,,,,0.074,0.042,-1.014,,,,,,,,,,28819850457,,2016-01-09 16:24:55.612,,18
10560,10654,Gyro_Log,,,,-0.244,-1.098,-0.732,,,,,,,,,,28649798998,,2016-01-09 16:24:55.613,,18
10561,10655,Accel_Log,,,,0.103,0.03,-1.020,,,,,,,,,,28851291655,,2016-01-09 16:24:55.653,,18
10562,10656,Gyro_Log,,,,-1.341,-0.427,-1.037,,,,,,,,,,28654236342,,2016-01-09 16:24:55.653,,18
10563,10657,Accel_Log,,,,0.084,0.01,-1.020,,,,,,,,,,28855549832,,2016-01-09 16:24:55.693,,18
10564,10658,Gyro_Log,,,,0.671,0.488,-1.402,,,,,,,,,,28699935248,,2016-01-09 16:24:55.693,,18
10565,10659,Accel_Log,,,,0.091,-0.008,-1.019,,,,,,,,,,28901746707,,2016-01-09 16:24:55.732,,18
10566,10660,Gyro_Log,,,,1.768,0.244,-1.707,,,,,,,,,,28703462072,,2016-01-09 16:24:55.732,,18
10567,10661,Accel_Log,,,,0.182,0.005,-1.015,,,,,,,,,,28903950353,,2016-01-09 16:24:55.772,,18
10568,10662,Gyro_Log,,,,0.671,0.61,1.098,,,,,,,,,,28749767228,,2016-01-09 16:24:55.772,,18
10569,10663,Accel_Log,,,,0.146,0.045,-1.019,,,,,,,,,,28951222644,,2016-01-09 16:24:55.811,,18
10570,10664,Gyro_Log,,,,2.866,1.402,10.122,,,,,,,,,,28754230509,,2016-01-09 16:24:55.811,,18
10571,10665,Accel_Log,,,,0.028,0.05,-1.002,,,,,,,,,,28955458634,,2016-01-09 16:24:55.851,,18
10572,10666,Gyro_Log,,,,8.049,1.22,15.732,,,,,,,,,,28799751030,,2016-01-09 16:24:55.852,,18
10573,10667,Accel_Log,,,,0.088,0.018,-0.925,,,,,,,,,,29001550040,,2016-01-09 16:24:55.931,,18
10574,10668,Gyro_Log,,,,14.146,10.0,15.976,,,,,,,,,,28803298895,,2016-01-09 16:24:55.931,,18
10575,10669,Accel_Log,,,,0.104,0.009,-0.887,,,,,,,,,,29049078842,,2016-01-09 16:24:55.971,,18
10576,10670,Gyro_Log,,,,11.524,16.341,12.195,,,,,,,,,,28851016498,,2016-01-09 16:24:55.971,,18
10577,10671,Accel_Log,,,,0.155,0.027,-0.931,,,,,,,,,,29051351759,,2016-01-09 16:24:56.010,,18
10578,10672,Gyro_Log,,,,4.878,11.098,9.207,,,,,,,,,,28853035821,,2016-01-09 16:24:56.010,,18
10579,10673,Accel_Log,,,,0.177,0.038,-0.954,,,,,,,,,,29099071238,,2016-01-09 16:24:56.050,,18
10580,10674,Gyro_Log,,,,-5.183,-8.293,6.159,,,,,,,,,,28901941550,,2016-01-09 16:24:56.050,,18
10581,10675,Accel_Log,,,,0.126,0.013,-0.982,,,,,,,,,,29103555301,,2016-01-09 16:24:56.091,,18
10582,10676,Gyro_Log,,,,-3.963,-9.39,5.305,,,,,,,,,,28906153634,,2016-01-09 16:24:56.091,,18
10583,10677,Accel_Log,,,,0.085,0.002,-1.056,,,,,,,,,,29149107488,,2016-01-09 16:24:56.129,,18
10584,10678,Gyro_Log,,,,-4.268,-11.098,2.622,,,,,,,,,,28952346915,,2016-01-09 16:24:56.131,,18
10585,10679,Accel_Log,,,,0.057,-0.033,-1.077,,,,,,,,,,29153686864,,2016-01-09 16:24:56.170,,18
10586,10680,Gyro_Log,,,,-8.780,-7.317,4.878,,,,,,,,,,28955541446,,2016-01-09 16:24:56.170,,18
10587,10681,Accel_Log,,,,0.064,0.027,-1.068,,,,,,,,,,29199089728,,2016-01-09 16:24:56.210,,18
10588,10682,Gyro_Log,,,,-12.012,-1.341,-1.829,,,,,,,,,,29002088113,,2016-01-09 16:24:56.210,,18
10589,10683,Accel_Log,,,,0.065,0.027,-1.040,,,,,,,,,,29202408842,,2016-01-09 16:24:56.249,,18
10590,10684,Gyro_Log,,,,-4.329,-3.415,2.012,,,,,,,,,,29004438478,,2016-01-09 16:24:56.249,,18
10591,10685,Accel_Log,,,,0.085,0.008,-0.982,,,,,,,,,,29249082176,,2016-01-09 16:24:56.328,,18
10592,10686,Gyro_Log,,,,-5.793,-1.098,-0.061,,,,,,,,,,29052048946,,2016-01-09 16:24:56.328,,18
10593,10687,Accel_Log,,,,0.088,0.009,-0.978,,,,,,,,,,29253650822,,2016-01-09 16:24:56.368,,18
10594,10688,Gyro_Log,,,,-7.744,0.427,-0.183,,,,,,,,,,29099809623,,2016-01-09 16:24:56.369,,18
10595,10689,Accel_Log,,,,0.097,0.032,-0.995,,,,,,,,,,29301340040,,2016-01-09 16:24:56.409,,18
10596,10690,Gyro_Log,,,,-2.500,0.366,-0.793,,,,,,,,,,29103035613,,2016-01-09 16:24:56.409,,18
10597,10691,Accel_Log,,,,0.100,0.028,-0.995,,,,,,,,,,29303530770,,2016-01-09 16:24:56.448,,18
10598,10692,Gyro_Log,,,,-3.963,1.037,-1.280,,,,,,,,,,29149748530,,2016-01-09 16:24:56.448,,18
10599,10693,Accel_Log,,,,0.097,0.029,-1.006,,,,,,,,,,29351245874,,2016-01-09 16:24:56.488,,18
10600,10694,Gyro_Log,,,,0.427,0.549,-1.341,,,,,,,,,,29154196499,,2016-01-09 16:24:56.488,,18
10601,10695,Accel_Log,,,,0.096,0.028,-1.006,,,,,,,,,,29355483218,,2016-01-09 16:24:56.528,,18
10602,10696,Gyro_Log,,,,-1.463,0.976,-0.976,,,,,,,,,,29200288477,,2016-01-09 16:24:56.528,,18
10603,10697,Accel_Log,,,,0.080,0.032,-0.999,,,,,,,,,,29401581655,,2016-01-09 16:24:56.567,,18
10604,10698,Gyro_Log,,,,-1.402,-0.549,-1.707,,,,,,,,,,29204154311,,2016-01-09 16:24:56.567,,18
10605,10699,Accel_Log,,,,0.076,0.022,-0.991,,,,,,,,,,29404459624,,2016-01-09 16:24:56.607,,18
10606,10700,Gyro_Log,,,,-1.585,-0.366,-1.707,,,,,,,,,,29249980977,,2016-01-09 16:24:56.607,,18
10607,10701,Accel_Log,,,,0.063,0.027,-0.990,,,,,,,,,,29453748374,,2016-01-09 16:24:56.646,,18
10608,10702,Gyro_Log,,,,-1.037,-0.366,-3.841,,,,,,,,,,29255499728,,2016-01-09 16:24:56.648,,18
10609,10703,Accel_Log,,,,0.067,0.051,-0.978,,,,,,,,,,29456176707,,2016-01-09 16:24:56.687,,18
10610,10704,Gyro_Log,,,,-1.280,-0.305,-6.524,,,,,,,,,,29299777175,,2016-01-09 16:24:56.687,,18
10611,10705,Accel_Log,,,,0.056,0.061,-0.981,,,,,,,,,,29501477019,,2016-01-09 16:24:56.727,,18
10612,10706,Gyro_Log,,,,-1.707,-1.707,-6.341,,,,,,,,,,29304310509,,2016-01-09 16:24:56.727,,18
10613,10707,Accel_Log,,,,0.082,0.052,-1.010,,,,,,,,,,29549255301,,2016-01-09 16:24:56.766,,18
10614,10708,Gyro_Log,,,,-1.829,-4.146,-2.439,,,,,,,,,,29352492748,,2016-01-09 16:24:56.766,,18
10615,10709,Accel_Log,,,,0.063,0.031,-1.026,,,,,,,,,,29553169364,,2016-01-09 16:24:56.806,,18
10616,10710,Gyro_Log,,,,-5.366,-10.854,1.280,,,,,,,,,,29355114988,,2016-01-09 16:24:56.806,,18
10617,10711,Accel_Log,,,,0.021,0.035,-1.041,,,,,,,,,,29599089936,,2016-01-09 16:24:56.845,,18
10618,10712,Gyro_Log,,,,-10.122,-17.561,-1.707,,,,,,,,,,29401983686,,2016-01-09 16:24:56.845,,18
10619,10713,Accel_Log,,,,-0.013,0.052,-1.031,,,,,,,,,,29698966082,,2016-01-09 16:24:56.886,,18
10620,10714,Gyro_Log,,,,-12.195,-19.939,-6.829,,,,,,,,,,29501983477,,2016-01-09 16:24:56.886,,18
10621,10715,Accel_Log,,,,0.008,0.063,-1.030,,,,,,,,,,29703666968,,2016-01-09 16:24:56.926,,18
10622,10716,Gyro_Log,,,,-9.512,-15.122,-6.707,,,,,,,,,,29505450040,,2016-01-09 16:24:56.926,,18
10623,10717,Accel_Log,,,,0.031,0.065,-1.009,,,,,,,,,,29750516134,,2016-01-09 16:24:56.966,,18
10624,10718,Gyro_Log,,,,-6.524,-6.524,-4.695,,,,,,,,,,29553742644,,2016-01-09 16:24:56.966,,18
10625,10719,Accel_Log,,,,0.035,0.063,-0.998,,,,,,,,,,29754427176,,2016-01-09 16:24:57.005,,18
10626,10720,Gyro_Log,,,,-6.341,-3.415,-2.561,,,,,,,,,,29556490196,,2016-01-09 16:24:57.005,,18
10627,10721,Accel_Log,,,,0.034,0.066,-0.994,,,,,,,,,,29799085197,,2016-01-09 16:24:57.045,,18
10628,10722,Gyro_Log,,,,-4.878,-2.439,-2.927,,,,,,,,,,29602073477,,2016-01-09 16:24:57.045,,18
10629,10723,Accel_Log,,,,0.018,0.075,-0.992,,,,,,,,,,29802509884,,2016-01-09 16:24:57.084,,18
10630,10724,Gyro_Log,,,,-3.659,-1.829,-4.146,,,,,,,,,,29649692592,,2016-01-09 16:24:57.084,,18
10631,10725,Accel_Log,,,,0.016,0.074,-0.988,,,,,,,,,,29852007748,,2016-01-09 16:24:57.124,,18
10632,10726,Gyro_Log,,,,-4.024,-1.159,-5.671,,,,,,,,,,29654256655,,2016-01-09 16:24:57.124,,18
10633,10727,Accel_Log,,,,0.027,0.081,-1.004,,,,,,,,,,29854577020,,2016-01-09 16:24:57.163,,18
10634,10728,Gyro_Log,,,,-3.720,-3.11,-5.793,,,,,,,,,,29699952332,,2016-01-09 16:24:57.165,,18
10635,10729,Accel_Log,,,,0.021,0.105,-1.026,,,,,,,,,,29900814571,,2016-01-09 16:24:57.204,,18
10636,10730,Gyro_Log,,,,-4.512,-5.183,-3.171,,,,,,,,,,29702584675,,2016-01-09 16:24:57.204,,18
10637,10731,Accel_Log,,,,0.014,0.104,-1.021,,,,,,,,,,29904013999,,2016-01-09 16:24:57.244,,18
10638,10732,Gyro_Log,,,,-5.366,-8.354,0.671,,,,,,,,,,29749741498,,2016-01-09 16:24:57.244,,18
10639,10733,Accel_Log,,,,-0.007,0.106,-1.013,,,,,,,,,,29952227488,,2016-01-09 16:24:57.283,,18
10640,10734,Gyro_Log,,,,-5.854,-7.073,3.110,,,,,,,,,,29755760092,,2016-01-09 16:24:57.283,,18
10641,10735,Accel_Log,,,,-0.004,0.108,-0.989,,,,,,,,,,29956077697,,2016-01-09 16:24:57.323,,18
10642,10736,Gyro_Log,,,,-7.073,-4.817,3.841,,,,,,,,,,29799807227,,2016-01-09 16:24:57.323,,18
10643,10737,Accel_Log,,,,-0.017,0.123,-0.987,,,,,,,,,,30000609988,,2016-01-09 16:24:57.362,,18
10644,10738,Gyro_Log,,,,-7.439,-4.329,4.634,,,,,,,,,,29802518529,,2016-01-09 16:24:57.362,,18
10645,10739,Accel_Log,,,,-0.042,0.109,-0.984,,,,,,,,,,30003315718,,2016-01-09 16:24:57.402,,18
10646,10740,Gyro_Log,,,,-6.951,-5.854,4.573,,,,,,,,,,29849802852,,2016-01-09 16:24:57.402,,18
10647,10741,Accel_Log,,,,-0.047,0.111,-0.980,,,,,,,,,,30050461707,,2016-01-09 16:24:57.443,,18
10648,10742,Gyro_Log,,,,-7.683,-8.049,3.963,,,,,,,,,,29852631186,,2016-01-09 16:24:57.443,,18
10649,10743,Accel_Log,,,,-0.044,0.137,-1.003,,,,,,,,,,30098928217,,2016-01-09 16:24:57.483,,18
10650,10744,Gyro_Log,,,,-11.159,-11.037,3.841,,,,,,,,,,29901117175,,2016-01-09 16:24:57.483,,18
10651,10745,Accel_Log,,,,-0.053,0.154,-1.029,,,,,,,,,,30101536342,,2016-01-09 16:24:57.522,,18
10652,10746,Gyro_Log,,,,-14.573,-15.122,5.183,,,,,,,,,,29903292280,,2016-01-09 16:24:57.522,,18
10653,10747,Accel_Log,,,,-0.074,0.171,-1.021,,,,,,,,,,30199052644,,2016-01-09 16:24:57.562,,18
10654,10748,Gyro_Log,,,,-18.049,-18.72,4.939,,,,,,,,,,30002528790,,2016-01-09 16:24:57.562,,18
