,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
32976,33070,Accel_Log,,,,0.511,-0.752,-0.210,,,,,,,,,,24375626086,,2016-01-09 17:22:45.043,,37
32977,33071,Gyro_Log,,,,-4.146,-2.439,0.183,,,,,,,,,,24178977283,,2016-01-09 17:22:45.043,,37
32978,33072,Accel_Log,,,,0.509,-0.755,-0.215,,,,,,,,,,24379890565,,2016-01-09 17:22:45.083,,37
32979,33073,Gyro_Log,,,,-4.878,-1.402,0.549,,,,,,,,,,24224036448,,2016-01-09 17:22:45.083,,37
32980,33074,Accel_Log,,,,0.507,-0.756,-0.212,,,,,,,,,,24425031658,,2016-01-09 17:22:45.122,,37
32981,33075,Gyro_Log,,,,-5.061,-0.915,0.793,,,,,,,,,,24227897803,,2016-01-09 17:22:45.122,,37
32982,33076,Accel_Log,,,,0.508,-0.753,-0.214,,,,,,,,,,24427915616,,2016-01-09 17:22:45.162,,37
32983,33077,Gyro_Log,,,,-5.610,0.488,0.671,,,,,,,,,,24276596606,,2016-01-09 17:22:45.162,,37
32984,33078,Accel_Log,,,,0.506,-0.748,-0.223,,,,,,,,,,24478634992,,2016-01-09 17:22:45.201,,37
32985,33079,Gyro_Log,,,,-5.732,0.976,0.488,,,,,,,,,,24282104366,,2016-01-09 17:22:45.201,,37
32986,33080,Accel_Log,,,,0.508,-0.752,-0.219,,,,,,,,,,24482911554,,2016-01-09 17:22:45.241,,37
32987,33081,Gyro_Log,,,,-5.183,1.22,0.000,,,,,,,,,,24321988064,,2016-01-09 17:22:45.241,,37
32988,33082,Accel_Log,,,,0.513,-0.755,-0.222,,,,,,,,,,24524219471,,2016-01-09 17:22:45.280,,37
32989,33083,Gyro_Log,,,,-4.756,1.463,0.305,,,,,,,,,,24327454835,,2016-01-09 17:22:45.282,,37
32990,33084,Accel_Log,,,,0.504,-0.753,-0.230,,,,,,,,,,24527477023,,2016-01-09 17:22:45.321,,37
32991,33085,Gyro_Log,,,,-3.841,1.524,-0.244,,,,,,,,,,24371430668,,2016-01-09 17:22:45.321,,37
32992,33086,Accel_Log,,,,0.511,-0.747,-0.224,,,,,,,,,,24572129106,,2016-01-09 17:22:45.361,,37
32993,33087,Gyro_Log,,,,-3.171,2.5,-0.671,,,,,,,,,,24374216033,,2016-01-09 17:22:45.361,,37
32994,33088,Accel_Log,,,,0.514,-0.754,-0.215,,,,,,,,,,24574299210,,2016-01-09 17:22:45.400,,37
32995,33089,Gyro_Log,,,,-1.951,1.707,-0.976,,,,,,,,,,24420009105,,2016-01-09 17:22:45.400,,37
32996,33090,Accel_Log,,,,0.513,-0.748,-0.226,,,,,,,,,,24620741918,,2016-01-09 17:22:45.440,,37
32997,33091,Gyro_Log,,,,-4.268,-0.854,-0.183,,,,,,,,,,24422768480,,2016-01-09 17:22:45.440,,37
32998,33092,Accel_Log,,,,0.512,-0.742,-0.227,,,,,,,,,,24622785877,,2016-01-09 17:22:45.480,,37
32999,33093,Gyro_Log,,,,0.366,-0.183,-1.220,,,,,,,,,,24468272908,,2016-01-09 17:22:45.480,,37
33000,33094,Accel_Log,,,,0.508,-0.76,-0.223,,,,,,,,,,24669721554,,2016-01-09 17:22:45.519,,37
33001,33095,Gyro_Log,,,,4.573,1.524,-1.280,,,,,,,,,,24472685459,,2016-01-09 17:22:45.519,,37
33002,33096,Accel_Log,,,,0.514,-0.741,-0.225,,,,,,,,,,24674339940,,2016-01-09 17:22:45.560,,37
33003,33097,Gyro_Log,,,,1.524,-0.915,0.122,,,,,,,,,,24516603376,,2016-01-09 17:22:45.560,,37
33004,33098,Accel_Log,,,,0.526,-0.745,-0.226,,,,,,,,,,24717938377,,2016-01-09 17:22:45.600,,37
33005,33099,Gyro_Log,,,,2.378,-2.988,0.488,,,,,,,,,,24520037022,,2016-01-09 17:22:45.600,,37
33006,33100,Accel_Log,,,,0.542,-0.74,-0.213,,,,,,,,,,24764761815,,2016-01-09 17:22:45.639,,37
33007,33101,Gyro_Log,,,,1.098,-3.659,2.012,,,,,,,,,,24568475668,,2016-01-09 17:22:45.639,,37
33008,33102,Accel_Log,,,,0.515,-0.729,-0.229,,,,,,,,,,24769571346,,2016-01-09 17:22:45.679,,37
33009,33103,Gyro_Log,,,,-1.037,-4.695,3.110,,,,,,,,,,24572566553,,2016-01-09 17:22:45.679,,37
33010,33104,Accel_Log,,,,0.499,-0.723,-0.248,,,,,,,,,,24813771763,,2016-01-09 17:22:45.718,,37
33011,33105,Gyro_Log,,,,-9.634,-4.024,3.232,,,,,,,,,,24617426293,,2016-01-09 17:22:45.718,,37
