(0.291, 0.171, 0.944),
(0.268, 0.165, 0.954),
(0.265, 0.155, 0.960),
(0.254, 0.145, 0.960),
(0.222, 0.133, 0.968),
(0.197, 0.110, 0.966),
(0.223, 0.094, 0.975),
(0.255, 0.084, 0.977),
(0.251, 0.084, 0.970),
(0.238, 0.098, 0.971),
(0.237, 0.102, 0.973),
(0.241, 0.113, 0.997),
(0.233, 0.098, 1.004),
(0.223, 0.074, 1.030),
(0.249, 0.061, 1.036),
(0.297, 0.048, 1.033),
(0.343, 0.054, 1.007),
(0.425, -0.152, 1.005),
(0.597, -0.039, 1.164),
(0.593, -0.067, 1.159),
(0.508, -0.129, 1.065),
(0.520, -0.112, 1.019),
(0.521, -0.127, 0.996),
(0.514, -0.130, 0.981),
(0.465, -0.146, 0.949),
(0.410, -0.141, 0.951),
(0.387, -0.140, 0.904),
(0.370, -0.117, 0.882),
(0.369, -0.087, 0.891),
(0.346, -0.082, 0.875),
(0.281, -0.095, 0.812),
(0.247, -0.064, 0.790),
(0.293, 0.041, 0.812),
(0.298, 0.150, 0.864),
(0.310, 0.150, 0.869),
(0.314, 0.116, 0.894),
(0.353, 0.081, 0.909),
(0.385, 0.044, 0.926),
(0.408, 0.018, 0.920),
(0.412, 0.009, 0.926),
(0.410, 0.010, 0.912),
(0.431, 0.031, 0.920),
(0.502, -0.017, 0.948),
(0.458, -0.097, 0.926),
(0.416, -0.102, 0.939),
(0.459, -0.035, 0.964),
(0.434, 0.005, 0.927),
(0.442, 0.048, 0.870),
(0.446, 0.063, 0.860),
(0.458, 0.052, 0.852),
(0.474, 0.056, 0.833),
(0.473, 0.060, 0.841),
(0.477, 0.035, 0.830),
(0.473, -0.020, 0.843),
(0.482, -0.073, 0.828),
(0.498, -0.116, 0.831),
(0.500, -0.135, 0.821),
(0.528, -0.144, 0.833),
(0.525, -0.166, 0.835),
(0.519, -0.177, 0.826),
(0.534, -0.184, 0.827),
(0.543, -0.203, 0.818),
(0.535, -0.242, 0.797),
(0.498, -0.257, 0.817),
(0.423, -0.220, 0.804),
(0.397, -0.220, 0.794),
(0.375, -0.219, 0.807),
(0.387, -0.217, 0.834),
(0.416, -0.235, 0.844),
(0.394, -0.266, 0.887),
(0.377, -0.269, 0.931),
(0.427, -0.261, 0.926),
(0.429, -0.234, 0.897),
(0.400, -0.251, 0.877),
(0.372, -0.283, 0.862),
(0.375, -0.274, 0.860),
(0.386, -0.247, 0.863),
(0.383, -0.235, 0.875),
(0.353, -0.252, 0.882),
(0.278, -0.232, 0.913),
(0.220, -0.257, 0.906),
(0.221, -0.259, 0.956),
(0.219, -0.292, 1.011),
(0.179, -0.251, 0.985),
(0.173, -0.253, 1.000),
(0.178, -0.261, 1.010),
(0.187, -0.263, 0.989),
(0.174, -0.244, 0.969),
(0.148, -0.221, 0.962),
(0.131, -0.203, 0.966),
(0.118, -0.187, 0.944),
(0.098, -0.173, 0.950),
(0.079, -0.163, 0.978),
(0.080, -0.154, 0.994),
(0.083, -0.139, 0.999),
(0.079, -0.129, 1.006),
(0.054, -0.116, 1.015),
(0.071, -0.101, 1.013),
(0.055, -0.053, 0.994),
(-0.006, -0.048, 1.041),
(0.020, -0.054, 1.074),
(0.022, -0.081, 1.086),
(0.024, -0.073, 1.089),
(0.067, -0.052, 1.097),
(0.096, -0.052, 1.100),
(0.082, -0.047, 1.104),
(0.083, -0.044, 1.102),
(0.110, -0.017, 1.083),
(0.149, -0.000, 1.079),
(0.134, -0.008, 1.096),
(0.125, -0.004, 1.092),
(0.131, 0.013, 1.098),
(0.139, 0.018, 1.104),
(0.157, 0.020, 1.106),
(0.163, 0.029, 1.097),
(0.173, 0.040, 1.096),
(0.177, 0.049, 1.092),
(0.192, 0.062, 1.072),
(0.181, 0.090, 1.064),
(0.191, 0.106, 1.081),
(0.190, 0.131, 1.049),
(0.187, 0.168, 1.013),
(0.197, 0.196, 0.987),
(0.181, 0.233, 1.012),
(0.196, 0.294, 0.959),
(0.203, 0.339, 0.922),
(0.225, 0.389, 0.914),
(0.237, 0.435, 0.894),
(0.230, 0.489, 0.862),
(0.240, 0.534, 0.847),
(0.254, 0.557, 0.797),
(0.236, 0.578, 0.760),
(0.243, 0.628, 0.731),
(0.261, 0.670, 0.704),
(0.341, 0.903, 0.444),
(0.331, 0.907, 0.416),
(0.316, 0.915, 0.387),
(0.309, 0.919, 0.365),
(0.323, 0.920, 0.337),
(0.332, 0.912, 0.297),
(0.326, 0.900, 0.261),
(0.314, 0.863, 0.158),
(0.305, 0.855, 0.103),
(0.291, 0.866, 0.055),
(0.274, 0.875, -0.004),
(0.266, 0.863, -0.060),
(0.237, 0.856, -0.101),
(0.221, 0.853, -0.153),
(0.198, 0.843, -0.185),
(0.161, 0.827, -0.227),
(0.156, 0.826, -0.334),
(0.153, 0.827, -0.369),
(0.122, 0.815, -0.404),
(0.103, 0.809, -0.458),
(0.101, 0.807, -0.490),
(0.091, 0.791, -0.540),
(0.083, 0.806, -0.580),
(0.062, 0.811, -0.583),
(0.022, 0.791, -0.566),
(0.003, 0.764, -0.592),
(0.011, 0.748, -0.634),
(-0.002, 0.734, -0.661),
(-0.015, 0.698, -0.689),
(-0.034, 0.681, -0.692),
(-0.073, 0.677, -0.704),
(-0.093, 0.699, -0.711),
(-0.102, 0.702, -0.721),
(-0.109, 0.698, -0.722),
(-0.127, 0.719, -0.697),
(-0.131, 0.705, -0.716),
(-0.128, 0.710, -0.742),
(-0.174, 0.713, -0.758),
(-0.173, 0.689, -0.771),
(-0.162, 0.670, -0.775),
(-0.182, 0.656, -0.794),
(-0.207, 0.634, -0.791),
(-0.181, 0.638, -0.792),
(-0.172, 0.636, -0.799),
(-0.181, 0.631, -0.823),
(-0.212, 0.631, -0.859),
(-0.230, 0.507, -0.843),
(-0.259, 0.490, -0.855),
(-0.243, 0.509, -0.818),
(-0.260, 0.518, -0.800),
(-0.269, 0.499, -0.799),
(-0.278, 0.503, -0.814),
(-0.288, 0.521, -0.823),
(-0.295, 0.510, -0.843),
