(-0.403, 0.397, 0.870),
(-0.406, 0.402, 0.879),
(-0.404, 0.405, 0.881),
(-0.402, 0.403, 0.883),
(-0.398, 0.409, 0.879),
(-0.399, 0.414, 0.869),
(-0.407, 0.432, 0.867),
(-0.415, 0.443, 0.873),
(-0.406, 0.446, 0.875),
(-0.386, 0.466, 0.877),
(-0.382, 0.483, 0.882),
(-0.381, 0.496, 0.886),
(-0.336, 0.536, 0.907),
(-0.314, 0.585, 0.910),
(-0.332, 0.637, 0.924),
(-0.326, 0.691, 0.904),
(-0.290, 0.752, 0.896),
(-0.251, 0.809, 0.886),
(-0.232, 0.830, 0.877),
(-0.229, 0.847, 0.882),
(-0.272, 0.881, 0.872),
(-0.287, 0.985, 1.000),
(-0.344, 0.985, 1.071),
(-0.416, 0.786, 1.041),
(-0.510, 0.756, 1.030),
(-0.451, 0.700, 1.216),
(-0.429, 0.539, 1.185),
(-0.417, 0.237, 1.059),
(-0.403, 0.145, 1.111),
(-0.338, 0.108, 1.165),
(-0.309, 0.193, 1.134),
(-0.299, 0.150, 1.153),
(-0.056, -0.036, 1.096),
(0.049, -0.219, 1.068),
(-0.140, -0.361, 0.927),
(-0.150, -0.444, 0.768),
(0.479, -0.149, 0.462),
(0.434, -0.108, 0.458),
(0.350, -0.054, 0.467),
(0.209, -0.022, 0.607),
(0.108, -0.015, 0.826),
(0.247, 0.028, 0.910),
(0.342, 0.044, 0.934),
(0.351, 0.008, 0.848),
(0.288, -0.015, 0.834),
(0.444, 0.025, 0.843),
(0.434, -0.016, 0.821),
(0.373, -0.048, 0.812),
(0.349, -0.082, 0.781),
(0.393, -0.133, 0.759),
(0.302, -0.097, 0.822),
(0.215, -0.140, 0.748),
(0.208, -0.245, 0.733),
(0.080, -0.245, 0.852),
(0.027, -0.094, 0.956),
(-0.012, -0.115, 0.937),
(-0.044, -0.296, 0.859),
(-0.082, -0.291, 0.916),
(-0.232, -0.198, 0.945),
(-0.387, -0.101, 1.013),
(-0.335, -0.042, 1.014),
(-0.337, 0.041, 1.043),
(-0.412, 0.166, 1.052),
(-0.438, 0.124, 1.064),
(-0.447, 0.040, 1.014),
(-0.511, 0.061, 0.977),
(-0.600, 0.132, 0.995),
(-0.688, 0.333, 0.994),
(-0.636, 0.395, 0.999),
(-0.541, 0.536, 1.048),
(-0.612, 0.690, 1.006),
(-0.708, 0.961, 1.065),
(-0.582, 1.218, 1.054),
(-0.274, 1.250, 0.993),
(-0.205, 1.326, 0.967),
(-0.302, 1.481, 1.038),
(-0.442, 1.321, 0.865),
(-0.443, 1.113, 0.749),
(-0.440, 0.813, 0.710),
(-0.517, 0.578, 0.715),
(-0.553, 0.454, 0.707),
(-0.503, 0.418, 0.698),
(-0.460, 0.419, 0.699),
(-0.434, 0.413, 0.706),
(-0.429, 0.421, 0.740),
(-0.414, 0.447, 0.795),
(-0.385, 0.502, 0.833),
(-0.381, 0.676, 0.879),
(-0.374, 0.793, 0.898),
(-0.323, 0.952, 0.917),
(-0.313, 1.007, 0.957),
(-0.350, 0.991, 0.976),
(-0.380, 0.958, 0.994),
