(-0.044, 0.102, 1.018),
(-0.039, 0.098, 1.029),
(-0.042, 0.094, 1.018),
(-0.044, 0.096, 1.017),
(-0.045, 0.098, 1.025),
(-0.042, 0.099, 1.024),
(-0.044, 0.101, 1.020),
(-0.045, 0.104, 1.019),
(-0.042, 0.102, 1.021),
(-0.045, 0.099, 1.020),
(-0.045, 0.102, 1.022),
(-0.044, 0.099, 1.023),
(-0.046, 0.098, 1.021),
(-0.047, 0.100, 1.020),
(-0.047, 0.100, 1.024),
(-0.045, 0.099, 1.020),
(-0.042, 0.101, 1.021),
(-0.041, 0.098, 1.022),
(-0.046, 0.097, 1.022),
(-0.048, 0.099, 1.018),
(-0.045, 0.097, 1.021),
(-0.043, 0.097, 1.022),
(-0.045, 0.098, 1.023),
(-0.044, 0.100, 1.024),
(-0.046, 0.098, 1.022),
(-0.049, 0.096, 1.019),
(-0.042, 0.099, 1.022),
(-0.046, 0.101, 1.019),
(-0.045, 0.102, 1.021),
(-0.045, 0.098, 1.017),
(-0.047, 0.099, 1.020),
(-0.045, 0.097, 1.022),
(-0.043, 0.098, 1.025),
(-0.045, 0.101, 1.022),
(-0.043, 0.098, 1.024),
(-0.048, 0.099, 1.024),
(-0.047, 0.099, 1.023),
(-0.045, 0.098, 1.020),
(-0.044, 0.096, 1.021),
(-0.045, 0.100, 1.022),
(-0.046, 0.102, 1.023),
(-0.043, 0.097, 1.023),
(-0.047, 0.100, 1.020),
(-0.047, 0.101, 1.021),
(-0.046, 0.097, 1.022),
(-0.046, 0.098, 1.018),
(-0.048, 0.100, 1.021),
(-0.047, 0.097, 1.023),
(-0.044, 0.098, 1.020),
(-0.048, 0.102, 1.022),
(-0.041, 0.096, 1.019),
(-0.045, 0.095, 1.016),
(-0.048, 0.100, 1.020),
(-0.045, 0.099, 1.018),
(-0.046, 0.102, 1.022),
(-0.045, 0.101, 1.022),
(-0.047, 0.098, 1.022),
(-0.048, 0.100, 1.025),
(-0.045, 0.100, 1.023),
(-0.044, 0.097, 1.019),
(-0.043, 0.096, 1.016),
(-0.048, 0.097, 1.021),
(-0.047, 0.100, 1.021),
(-0.044, 0.101, 1.019),
(-0.045, 0.103, 1.023),
(-0.045, 0.100, 1.021),
(-0.047, 0.098, 1.024),
(-0.045, 0.098, 1.021),
(-0.046, 0.098, 1.020),
(-0.044, 0.103, 1.020),
(-0.045, 0.101, 1.017),
(-0.049, 0.100, 1.019),
(-0.048, 0.099, 1.025),
(-0.045, 0.099, 1.025),
(-0.047, 0.094, 1.025),
(-0.045, 0.096, 1.024),
(-0.043, 0.097, 1.020),
(-0.044, 0.100, 1.024),
(-0.047, 0.099, 1.020),
(-0.048, 0.100, 1.019),
(-0.048, 0.099, 1.022),
(-0.044, 0.099, 1.020),
(-0.043, 0.099, 1.021),
(-0.047, 0.099, 1.018),
(-0.050, 0.099, 1.023),
(-0.049, 0.100, 1.022),
(-0.047, 0.099, 1.023),
(-0.049, 0.099, 1.020),
(-0.043, 0.100, 1.022),
(-0.045, 0.097, 1.021),
(-0.047, 0.097, 1.023),
(-0.049, 0.097, 1.020),
(-0.048, 0.100, 1.020),
(-0.045, 0.100, 1.020),
(-0.046, 0.100, 1.021),
(-0.048, 0.099, 1.020),
(-0.048, 0.097, 1.019),
(-0.046, 0.097, 1.024),
(-0.045, 0.098, 1.021),
(-0.047, 0.100, 1.020),
(-0.044, 0.099, 1.020),
(-0.048, 0.098, 1.017),
(-0.047, 0.098, 1.019),
(-0.047, 0.098, 1.021),
(-0.046, 0.100, 1.023),
(-0.046, 0.097, 1.027),
(-0.045, 0.097, 1.024),
(-0.049, 0.099, 1.021),
(-0.048, 0.099, 1.019),
(-0.045, 0.100, 1.016),
(-0.046, 0.099, 1.016),
(-0.048, 0.101, 1.021),
(-0.046, 0.098, 1.019),
(-0.043, 0.096, 1.025),
(-0.042, 0.103, 1.018),
(-0.044, 0.100, 1.019),
(-0.049, 0.096, 1.021),
(-0.051, 0.098, 1.020),
(-0.050, 0.098, 1.020),
(-0.047, 0.100, 1.023),
(-0.046, 0.101, 1.022),
(-0.051, 0.099, 1.021),
(-0.052, 0.100, 1.020),
(-0.045, 0.099, 1.021),
(-0.044, 0.097, 1.021),
(-0.046, 0.096, 1.021),
(-0.047, 0.100, 1.020),
(-0.047, 0.101, 1.021),
(-0.046, 0.100, 1.021),
(-0.048, 0.100, 1.020),
(-0.050, 0.099, 1.023),
(-0.048, 0.099, 1.021),
(-0.050, 0.101, 1.022),
(-0.046, 0.099, 1.022),
(-0.044, 0.099, 1.023),
(-0.045, 0.100, 1.022),
(-0.050, 0.098, 1.020),
(-0.048, 0.099, 1.022),
(-0.045, 0.099, 1.021),
(-0.046, 0.098, 1.021),
(-0.050, 0.101, 1.022),
(-0.048, 0.101, 1.022),
(-0.047, 0.098, 1.020),
(-0.047, 0.099, 1.021),
(-0.046, 0.098, 1.019),
(-0.047, 0.098, 1.023),
(-0.046, 0.097, 1.022),
(-0.048, 0.097, 1.018),
(-0.050, 0.100, 1.025),
(-0.047, 0.099, 1.023),
(-0.048, 0.099, 1.023),
(-0.047, 0.101, 1.024),
(-0.042, 0.099, 1.022),
(-0.042, 0.097, 1.021),
(-0.046, 0.099, 1.019),
(-0.049, 0.097, 1.015),
(-0.047, 0.098, 1.019),
(-0.052, 0.101, 1.023),
(-0.050, 0.099, 1.027),
(-0.046, 0.096, 1.025),
(-0.047, 0.097, 1.023),
(-0.048, 0.097, 1.022),
(-0.047, 0.098, 1.020),
(-0.046, 0.100, 1.022),
(-0.049, 0.099, 1.023),
(-0.047, 0.099, 1.020),
(-0.048, 0.099, 1.021),
(-0.047, 0.097, 1.021),
(-0.046, 0.097, 1.019),
(-0.048, 0.100, 1.020),
(-0.047, 0.101, 1.021),
(-0.045, 0.099, 1.019),
(-0.045, 0.100, 1.022),
