(-0.137, -0.490, 0.866),
(-0.134, -0.494, 0.875),
(-0.134, -0.490, 0.874),
(-0.134, -0.488, 0.874),
(-0.136, -0.488, 0.875),
(-0.140, -0.491, 0.875),
(-0.138, -0.494, 0.874),
(-0.131, -0.495, 0.874),
(-0.127, -0.494, 0.871),
(-0.125, -0.493, 0.872),
(-0.125, -0.495, 0.875),
(-0.128, -0.498, 0.874),
(-0.128, -0.500, 0.872),
(-0.123, -0.492, 0.872),
(-0.122, -0.488, 0.874),
(-0.119, -0.488, 0.874),
(-0.120, -0.492, 0.874),
(-0.125, -0.493, 0.873),
(-0.123, -0.490, 0.873),
(-0.121, -0.489, 0.875),
(-0.126, -0.491, 0.875),
(-0.132, -0.494, 0.873),
(-0.130, -0.494, 0.871),
(-0.127, -0.493, 0.874),
(-0.130, -0.492, 0.872),
(-0.137, -0.495, 0.874),
(-0.138, -0.496, 0.874),
(-0.137, -0.498, 0.873),
(-0.138, -0.494, 0.872),
(-0.138, -0.493, 0.873),
(-0.142, -0.491, 0.875),
(-0.144, -0.492, 0.874),
(-0.143, -0.493, 0.871),
(-0.141, -0.492, 0.873),
(-0.142, -0.493, 0.875),
(-0.146, -0.493, 0.874),
(-0.145, -0.493, 0.875),
(-0.141, -0.490, 0.875),
(-0.141, -0.491, 0.875),
(-0.138, -0.493, 0.874),
(-0.134, -0.496, 0.873),
(-0.134, -0.498, 0.873),
(-0.138, -0.497, 0.873),
(-0.140, -0.496, 0.874),
(-0.138, -0.497, 0.874),
(-0.134, -0.494, 0.874),
(-0.132, -0.492, 0.873),
(-0.132, -0.488, 0.873),
(-0.131, -0.488, 0.875),
(-0.125, -0.496, 0.870),
(-0.127, -0.502, 0.871),
(-0.121, -0.500, 0.874),
(-0.114, -0.503, 0.869),
(-0.107, -0.517, 0.862),
(-0.110, -0.523, 0.862),
(-0.100, -0.513, 0.869),
(-0.097, -0.517, 0.865),
(-0.086, -0.501, 0.860),
(-0.082, -0.471, 0.876),
(-0.169, -0.467, 0.909),
(-0.171, -0.454, 0.860),
(-0.227, -0.446, 0.863),
(-0.307, -0.461, 0.868),
(-0.422, -0.535, 0.814),
(-0.371, -0.555, 0.768),
(-0.217, -0.530, 0.824),
(-0.181, -0.571, 0.917),
(-0.222, -0.655, 0.942),
(-0.164, -0.652, 0.939),
(-0.125, -0.673, 0.990),
(-0.166, -0.742, 0.977),
(-0.147, -0.823, 0.901),
(-0.037, -0.901, 0.830),
(0.087, -0.932, 0.787),
(0.455, -0.963, 0.822),
(0.411, -0.946, 0.824),
(-0.019, -0.899, 0.658),
(-0.042, -0.888, 0.665),
(0.052, -0.950, 0.634),
(0.093, -0.933, 0.598),
(0.152, -0.829, 0.730),
(-0.042, -0.841, 0.709),
(-0.072, -0.822, 0.579),
(0.003, -0.643, 0.627),
(-0.031, -0.582, 0.605),
(-0.076, -0.549, 0.577),
(0.122, -0.542, 0.513),
(0.067, -0.515, 0.534),
(-0.259, -0.681, 0.331),
(0.049, -0.791, 0.387),
(-0.126, -0.653, 0.302),
(-0.020, -0.565, 0.164),
(0.162, -0.445, -0.085),
(-0.076, -0.616, -0.054),
(-0.408, -0.826, -0.021),
(0.030, -1.017, 0.051),
(-0.031, -1.537, -0.055),
(-0.041, -1.465, -0.098),
(0.154, -0.801, 0.161),
(-0.426, -0.746, 0.112),
(-0.391, -0.907, 0.047),
(-0.064, -0.982, -0.020),
(-0.142, -0.962, -0.168),
(-0.288, -0.914, -0.178),
(-0.269, -0.905, -0.172),
(-0.191, -0.870, -0.246),
(-0.527, -0.926, -0.248),
(-0.441, -0.942, -0.257),
(-0.351, -0.868, -0.366),
(-0.486, -0.822, -0.411),
(-0.518, -0.889, -0.396),
(-0.433, -0.889, -0.332),
(-0.375, -0.812, -0.321),
(-0.381, -0.814, -0.364),
(-0.373, -0.794, -0.449),
(-0.385, -0.820, -0.433),
(-0.370, -0.864, -0.468),
(-0.376, -0.830, -0.503),
(-0.346, -0.821, -0.571),
(-0.339, -0.827, -0.609),
(-0.359, -0.830, -0.591),
(-0.314, -0.895, -0.569),
(0.069, -0.609, -0.371),
(-0.384, -0.487, -0.582),
(-0.854, -0.677, -0.834),
(-0.511, -0.854, -0.964),
(-0.508, -0.131, -0.888),
(-0.967, -0.468, -0.519),
(-0.572, -0.540, -0.465),
(-0.225, -0.695, -0.897),
(-0.012, -0.750, -1.051),
(0.208, -0.683, -0.852),
(-0.066, -0.599, -0.789),
(-0.425, -0.506, -0.770),
(-0.511, -0.378, -0.723),
(-0.542, -0.347, -0.690),
(-0.534, -0.377, -0.622),
(-0.337, -0.364, -0.538),
(-0.253, -0.330, -0.539),
(-0.384, -0.378, -0.593),
(-0.415, -0.471, -0.652),
(-0.523, -0.566, -0.839),
(-0.822, -1.088, -1.574),
(-0.046, -0.120, -0.919),
(-0.159, -0.300, -0.656),
(-0.548, -0.526, -0.921),
(-0.299, -0.481, -1.012),
(-0.322, -0.454, -0.831),
(-0.778, -0.358, -0.841),
(-0.816, -0.275, -0.863),
(-0.397, -0.191, -0.589),
(-0.550, -0.477, -1.006),
(0.164, -0.545, -1.026),
(-0.179, -0.352, -0.781),
(-0.167, -0.466, -0.665),
(-0.281, -0.478, -0.713),
(-0.486, -0.539, -0.793),
(-0.433, -0.532, -0.738),
(-0.611, -0.538, -0.785),
(-0.495, -0.478, -0.623),
(-0.420, -0.467, -0.718),
(-0.317, -0.560, -0.900),
(-0.051, -0.690, -0.832),
(-0.076, -0.810, -0.832),
(-0.272, -0.746, -0.875),
(-0.457, -0.599, -0.737),
(-0.500, -0.495, -0.650),
(-0.545, -0.452, -0.736),
(-0.559, -0.478, -0.761),
(-0.433, -0.502, -0.681),
(-0.348, -0.527, -0.687),
(-0.365, -0.550, -0.741),
(-0.461, -0.553, -0.711),
(-0.424, -0.525, -0.665),
(-0.462, -0.381, -0.695),
(-0.594, -0.111, -0.718),
(-0.527, -0.465, -0.693),
(-0.375, -0.903, -0.683),
(-0.216, -0.872, -0.678),
(-0.176, -0.733, -0.759),
(-0.180, -0.856, -0.900),
(-0.130, -0.795, -0.910),
(-0.238, -0.720, -1.062),
(-0.278, -0.854, -1.232),
(-0.089, -0.876, -1.050),
(-0.147, -0.928, -0.956),
(-0.022, -0.948, -0.897),
(-0.125, -1.021, -1.057),
(-0.261, -1.019, -0.985),
(-0.240, -1.034, -0.911),
(-0.169, -1.026, -0.796),
(-0.156, -0.995, -0.650),
(-0.122, -0.975, -0.539),
(-0.049, -0.932, -0.436),
(-0.004, -0.888, -0.346),
