ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,state
1.3982,0.9194,11.9902,1.4265,1.2375,9.6231,0.0077,-0.4504,2.2891,-0.5135,-0.4389,0.1854,-13.75,17.25,-43.5,16.68,-9.87,-6.01,54,2015-10-07 16:26:13:037,0
1.8387,1.5323,9.6726,1.6696,1.111,9.5994,0.1912,0.4869,0.1779,-0.1875,0.2599,-0.0383,-15,19.5,-43,17.58,-6.52,-9.23,154,2015-10-07 16:26:13:137,0
2.1835,1.6855,9.481,1.4569,1.2527,9.6166,0.7266,0.4328,-0.1355,0.2003,0.115,-0.3302,-16.25,20.5,-42.25,20.34,-6.34,-8.6,254,2015-10-07 16:26:13:237,0
0.6129,1.9728,9.7683,1.3678,1.6091,9.5765,-0.7549,0.3637,0.1918,0.5198,-0.2322,0.179,-14.75,20,-42.75,20.7,-7.84,-8.33,355,2015-10-07 16:26:13:338,0
1.4557,2.0877,9.7875,1.4379,1.9439,9.5039,0.0178,0.1439,0.2836,0.2003,-0.115,0.2919,-15.5,18,-42,17.95,-11.37,-8.65,455,2015-10-07 16:26:13:438,0
1.6089,2.375,8.5808,1.5784,2.2196,9.4208,0.0462,0.1863,-1.1428,-0.1449,0.5092,0.1768,-15.75,18.5,-43.25,17.33,-12.45,-9.33,555,2015-10-07 16:26:13:538,0
1.0343,2.2601,9.232,1.0461,2.1927,9.501,-0.0118,0.0674,-0.2689,0.1619,0.3111,0.2961,-15.5,16.25,-43.75,20.14,-12.85,-7.12,655,2015-10-07 16:26:13:638,0
0.9768,2.8922,8.5617,0.8732,2.3927,9.4701,0.1563,0.5053,-1.1588,-0.0575,0.6242,0.1641,-14.75,16.5,-44.25,21.17,-13.78,-5.68,755,2015-10-07 16:26:13:738,0
1.1301,2.8347,9.6534,0.645,2.2069,9.5333,0.4507,0.614,-0.2351,-0.3451,0.441,0.3941,-12.75,16,-45.5,20.35,-13.78,-4.02,855,2015-10-07 16:26:13:838,0
0.5938,2.4134,10.1514,0.402,2.1358,9.5628,0.1918,0.2775,0.5886,0.2429,-0.0213,0.5603,-10.5,16,-44.75,17.09,-12.24,-2.83,955,2015-10-07 16:26:13:938,0
1.5897,2.3367,10.0556,0.6019,2.3336,9.5059,0.9879,0.0032,0.5497,0.1172,-0.0788,0.1321,-7.75,16.25,-45.5,11.44,-13.5,-3.43,1055,2015-10-07 16:26:14:038,0
0.2107,1.9345,9.1363,0.6492,2.6758,9.4122,-0.0192,-0.3581,-0.6597,0.5348,-0.5561,0.3324,-7,16.75,-46,8.74,-15.14,-3.25,1154,2015-10-07 16:26:14:137,0
0.9002,2.6049,8.5808,0.9539,3.0869,9.2591,-0.0537,-0.482,-0.6783,0.1278,0.2919,0.277,-6,14.75,-46.75,3.48,-17.02,-5.26,1254,2015-10-07 16:26:14:237,0
