ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-5.2289,3.3519,7.1443,-4.7049,2.3435,8.279,-0.524,1.0084,-1.1347,-0.5369,-0.2706,-0.2642,24.25,8.25,-36.5,358.19,-16.17,32.86,129,2015-10-08 15:05:08:635
-5.2289,3.3519,7.1443,-4.7049,2.3435,8.279,-0.524,1.0084,-1.1347,-0.5369,-0.2706,-0.2642,24.25,8.25,-36.5,358.19,-16.17,32.86,221,2015-10-08 15:05:08:727
-5.2289,3.3519,7.1443,-4.7049,2.3435,8.279,-0.524,1.0084,-1.1347,-0.5369,-0.2706,-0.2642,24.25,8.25,-36.5,358.19,-16.17,32.86,322,2015-10-08 15:05:08:828
-2.2601,0.7661,9.7109,-2.8861,-0.0782,9.372,0.626,0.8443,0.3389,0.6072,-1.3167,-1.078,15.75,22.25,-37.0,10.3,-12.89,29.79,421,2015-10-08 15:05:08:927
-2.4517,1.0726,9.3087,-2.5164,0.0664,9.4781,0.0647,1.0062,-0.1694,0.9886,-1.3273,-0.637,12.5,22.0,-39.0,353.45,-0.39,14.87,521,2015-10-08 15:05:09:027
-2.7773,0.9194,9.1363,-0.9729,0.4879,9.7461,-1.8044,0.4315,-0.6098,-0.3899,-1.0887,-0.4645,3.5,22.5,-41.75,359.41,-3.47,7.79,621,2015-10-08 15:05:09:127
-0.6704,-0.1532,10.7069,-0.5007,0.1187,9.7931,-0.1696,-0.272,0.9137,0.2578,-0.1747,-0.2961,-1.5,23.5,-41.25,7.2,-0.69,2.93,722,2015-10-08 15:05:09:228
-0.0958,0.1915,9.4044,-0.5972,0.7029,9.7632,0.5014,-0.5113,-0.3588,0.6349,0.3345,-0.3558,-2.75,21.5,-41.5,12.47,-4.11,3.5,821,2015-10-08 15:05:09:327
-0.1341,0.1724,9.3278,-0.7584,0.8776,9.7378,0.6243,-0.7052,-0.41,0.2748,0.3537,-0.4261,-1.5,21.5,-42.5,8.86,-4.78,4.05,922,2015-10-08 15:05:09:428
-0.7278,1.2067,7.8913,-0.9179,1.0858,9.703,0.19,0.1208,-1.8117,-0.0447,-0.2322,0.2621,-1.5,20.0,-43.25,11.59,-6.36,5.4,1021,2015-10-08 15:05:09:527
-0.8236,0.6321,9.596,-0.4528,0.7729,9.7657,-0.3708,-0.1408,-0.1697,-0.4538,-0.4048,0.4453,-2.25,20.0,-43.0,10.91,-6.17,4.71,1121,2015-10-08 15:05:09:627
-0.4597,0.4214,9.6151,-0.5245,0.2468,9.7895,0.0648,0.1745,-0.1744,-0.8543,0.5241,0.8735,-3.25,22.75,-42.5,13.45,-3.71,2.24,1221,2015-10-08 15:05:09:727
0.0,0.3256,10.343,-0.6252,0.1067,9.7861,0.6252,0.219,0.5568,0.3814,-0.1065,0.9566,-1.0,25.25,-40.5,7.94,-0.62,3.66,1321,2015-10-08 15:05:09:827
