ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,state
-0.3831,4.9799,7.9679,0.5772,5.1387,8.3325,-0.7028,0.0293,0.1751,0.5625,-0.2131,0.2173,-7,-33.25,-29.25,174.31,-31.35,0.65,5,2015-10-07 16:20:19:541,1
1.2833,5.7844,8.9064,1.0126,5.8583,7.7991,0.2707,-0.0739,1.1073,1.3124,-0.9928,-0.3707,-12,-31.75,-27,139.09,-34.13,-5.58,105,2015-10-07 16:20:19:641,1
1.0343,6.9528,6.0525,1.6233,6.9293,6.7468,-0.589,0.0234,-0.6943,0.9055,-0.4346,-0.9779,-15,-33,-23.5,125.96,-42.58,-12.97,205,2015-10-07 16:20:19:741,1
2.0303,6.5122,4.4819,2.2676,7.5621,5.8175,-0.2373,-1.0499,-1.3355,0.3345,-1.4552,-0.0256,-15.5,-37,-14.75,135.17,-50.45,-21.3,305,2015-10-07 16:20:19:841,1
1.7047,7.3933,3.1795,2.4306,7.9556,5.1933,-0.2662,-1.1753,-0.3474,1.1185,-0.9417,-0.6072,-15.5,-38.75,-11.75,139.89,-51.73,-22.75,405,2015-10-07 16:20:19:941,1
2.1452,8.0637,4.1563,2.3615,8.2666,4.7178,-0.2354,-0.3753,-0.2167,0.0107,-0.2471,0.0618,-15,-40.5,-4.25,137.86,-57.45,-26.59,505,2015-10-07 16:20:20:041,1
2.4708,7.7381,4.8267,2.5481,8.1774,4.7757,0.4207,-0.4585,-0.3129,0.0405,-0.3814,-0.0959,-13.75,-41.5,-1.75,143.85,-56.56,-27.94,605,2015-10-07 16:20:20:141,1
2.3559,7.6614,4.7118,2.463,8.1468,4.8716,-0.1922,-0.3645,-0.0092,0.1172,-0.1598,-0.1427,-13,-40.75,-0.75,147.1,-56.14,-27.14,704,2015-10-07 16:20:20:240,1
2.3367,7.6231,5.0182,2.343,8.1739,4.8855,-0.0289,-0.5391,0.1242,0.0831,0.0703,-0.147,-12.5,-42.5,-1.5,150.34,-56.32,-26.09,804,2015-10-07 16:20:20:340,1
2.2793,7.6806,4.7501,2.2722,8.2266,4.8301,0.0071,-0.5461,-0.08,0.0724,0.1534,-0.032,-13.25,-40.5,-1,145.43,-56.89,-25.35,904,2015-10-07 16:20:20:440,1
1.8579,7.7764,4.4245,2.2134,8.2681,4.7865,-0.0299,-0.4917,-0.5918,0.0746,-0.0021,-0.2216,-12,-41.75,-0.25,149.42,-57.32,-24.97,1004,2015-10-07 16:20:20:540,1
2.1069,7.9679,4.2521,2.1706,8.2966,4.7565,-0.0637,-0.3287,-0.5044,-0.2003,0.1023,-0.0469,-11.75,-43,0.25,149.79,-57.74,-24.18,1105,2015-10-07 16:20:20:641,1
2.1261,8.102,4.5203,2.1586,8.2878,4.7774,-0.1666,-0.1475,-0.1039,-0.0362,0.049,-0.0767,-12.75,-42.25,0.25,146.71,-57.53,-24.08,1204,2015-10-07 16:20:20:740,1
1.8387,7.9104,4.6735,2.1586,8.2724,4.804,-0.3199,-0.2662,0.0419,-0.1193,-0.0852,0.0724,-11.5,-42,0,151.61,-57.8,-24,1305,2015-10-07 16:20:20:841,1
1.9728,8.0254,4.4436,2.1884,8.3209,4.7056,-0.2922,-0.3339,-0.0705,0.115,-0.1662,-0.2109,-11.25,-42,0,149.26,-57.52,-24.2,1405,2015-10-07 16:20:20:941,1
1.5131,8.2552,4.2138,2.0565,8.4569,4.5191,-0.5433,-0.2017,-0.3053,0.1811,0.0703,-0.0618,-11.75,-42.75,-0.75,151.89,-58.26,-24.77,1505,2015-10-07 16:20:21:041,1
2.3559,8.2169,4.5777,1.9932,8.4607,4.5403,0.526,-0.1481,0.0139,-0.0149,-0.0362,-0.1172,-10.75,-42.25,0,149.89,-59.7,-23.96,1605,2015-10-07 16:20:21:141,1
2.5283,8.0254,4.1755,1.8527,8.5716,4.3893,0.6843,-0.3147,-0.2991,0.1577,0.0511,-0.2216,-10.75,-42.25,0.25,150.52,-59.79,-23.57,1705,2015-10-07 16:20:21:241,1
2.241,7.4891,4.3479,1.7492,8.6282,4.3203,0.4918,-1.1391,0.0275,-0.1342,0.0682,-0.2642,-11,-43,0.5,149.2,-61.41,-22.56,1805,2015-10-07 16:20:21:341,1
0.8619,8.0062,3.8499,1.2453,8.8493,4.0386,-0.3834,-0.8431,-0.1887,0.4176,-0.1342,-0.8288,-9.5,-44,1,152.05,-61.58,-21.13,1905,2015-10-07 16:20:21:441,1
0.0766,8.3127,3.3136,0.8211,9.0535,3.6783,-0.4706,-0.8844,-0.4234,0.1917,-0.4176,-0.5135,-7.75,-43.75,2.25,154.75,-66.55,-14.2,2005,2015-10-07 16:20:21:541,1
0.0383,7.7572,2.9113,0.5604,9.1524,3.477,-0.7999,-1.403,-0.4951,0.1662,-0.6903,-0.5752,-3.5,-46.5,4,163.87,-67.4,-12.58,2105,2015-10-07 16:20:21:641,1
-0.6129,8.351,2.0686,0.4602,9.2513,3.2205,-0.677,-1.1203,-0.9303,0.1641,-1.1718,-0.392,-2.25,-46.5,4.75,172.52,-69.99,-7.61,2205,2015-10-07 16:20:21:741,1
-1.3791,9.4236,3.2178,0.5577,9.2871,3.0998,-1.9367,0.1365,0.118,0.0383,-1.3294,0.1236,0.75,-47.75,6.5,179.34,-71.27,-10.2,2305,2015-10-07 16:20:21:841,1
-2.0877,9.8641,2.7198,0.8376,9.313,2.9559,-3.0785,0.5511,-0.1978,0.13,-0.8266,0.2791,1,-49,6.75,178.3,-71.33,-13.52,2405,2015-10-07 16:20:21:941,1
-3.7158,11.8178,3.5434,0.791,9.3911,2.7114,-4.3152,2.1394,0.9661,0.4794,-0.13,0.2812,0.25,-47,6.75,174.29,-72.49,-17.06,2505,2015-10-07 16:20:22:041,1
-3.3327,12.4307,3.237,0.1411,9.5685,2.1433,-3.4739,2.8622,1.0937,1.4338,1.2847,-0.7052,-0.25,-47,7.5,178.34,-77.35,-3.77,2605,2015-10-07 16:20:22:141,1
-4.0797,11.6837,1.7621,-1.5654,9.6685,0.4909,-2.5144,2.0152,1.2713,2.3628,1.9558,-1.2932,-1.75,-47,10.25,187.5,-79.68,14.4,2705,2015-10-07 16:20:22:241,1
-4.6352,10.1323,-1.8004,-3.0902,9.2019,-1.3948,-2.2345,0.8729,0.7435,0.3089,0.6285,-0.4645,1,-47.5,16.5,235.99,-77.39,94.45,2804,2015-10-07 16:20:22:340,1
2.5474,8.2552,0.2298,-2.7102,9.2807,-1.6414,5.6024,-1.5809,1.3732,0.5902,-1.1484,0.8501,3.5,-43.25,24,273.44,-71.15,121.2,2904,2015-10-07 16:20:22:440,1
8.0828,3.8116,-2.1261,-0.9007,9.5586,-1.9979,9.4049,-5.8237,0.9253,0.9758,-1.6959,2.35,3.5,-38,27.75,336.4,-77.09,155.73,3004,2015-10-07 16:20:22:540,1
7.4508,8.4467,-1.4174,1.6085,9.4312,-2.1531,6.685,-1.5782,0.2952,-0.4581,0.7137,0.1427,2.5,-35.25,30.25,9.03,-76.73,178.4,3105,2015-10-07 16:20:22:641,1
2.7198,6.6846,-3.9265,2.1369,9.3659,-1.9707,0.4488,-2.9878,-1.8026,0.6626,0.5518,0.3707,-2.75,-34.5,30.75,59.76,-72.76,-132.68,3205,2015-10-07 16:20:22:741,1
4.6543,8.4276,-4.5394,2.57,9.1059,-2.5784,2.0843,-0.6783,-1.961,0.1768,0.3047,-0.2727,-7,-34.5,30.25,54.21,-68.21,-135.09,3305,2015-10-07 16:20:22:841,1
4.2713,7.4508,-3.6966,2.3253,9.1632,-2.6073,1.9459,-1.7125,-1.0893,-0.1342,0.3856,-0.7222,-8.75,-33.5,31,41.99,-69.13,-138.27,3405,2015-10-07 16:20:22:941,1
4.4628,7.7764,-2.988,1.9172,9.3822,-2.1138,2.5456,-1.6059,-0.8741,-0.7968,0.6839,-0.9928,-7.75,-34.75,30,41.26,-73.08,-137.79,3504,2015-10-07 16:20:23:040,1
2.5857,7.1635,-1.4174,1.2212,9.6467,-1.2727,1.3645,-2.4833,-0.1447,-1.1484,0.522,-1.1462,-6.5,-38.5,27.5,40.38,-78.08,-136.05,3605,2015-10-07 16:20:23:141,1
