(-0.311, -0.003, 0.966),
(-0.314, -0.003, 0.980),
(-0.317, -0.003, 0.979),
(-0.323, -0.011, 0.980),
(-0.309, -0.013, 0.988),
(-0.307, -0.008, 0.972),
(-0.303, -0.005, 0.975),
(-0.309, 0.000, 0.976),
(-0.281, 0.004, 0.981),
(-0.289, 0.009, 0.985),
(-0.280, 0.003, 0.992),
(-0.282, 0.001, 0.999),
(-0.288, 0.002, 1.004),
(-0.285, -0.004, 1.011),
(-0.272, -0.012, 1.021),
(-0.259, -0.011, 1.037),
(-0.205, 0.052, 1.072),
(-0.187, 0.083, 1.096),
(-0.144, 0.105, 1.122),
(-0.131, 0.134, 1.144),
(-0.134, 0.184, 1.161),
(-0.151, 0.236, 1.171),
(-0.164, 0.277, 1.198),
(-0.216, 0.318, 1.189),
(-0.186, 0.375, 1.209),
(-0.248, 0.389, 1.189),
(-0.271, 0.410, 1.174),
(-0.311, 0.440, 1.147),
(-0.354, 0.464, 1.114),
(-0.369, 0.487, 1.081),
(-0.376, 0.512, 1.061),
(-0.371, 0.519, 1.044),
(-0.343, 0.519, 1.031),
(-0.310, 0.543, 1.040),
(-0.309, 0.558, 1.055),
(-0.306, 0.554, 1.088),
(-0.288, 0.556, 1.114),
(-0.267, 0.540, 1.132),
(-0.261, 0.521, 1.119),
(-0.269, 0.482, 1.092),
(-0.252, 0.460, 1.046),
(-0.224, 0.448, 1.007),
(-0.231, 0.434, 0.981),
(-0.216, 0.388, 0.952),
(-0.179, 0.342, 0.922),
(-0.126, 0.322, 0.900),
(-0.077, 0.315, 0.923),
(0.022, 0.263, 0.927),
(0.065, 0.225, 0.990),
(0.110, 0.115, 0.947),
(0.156, 0.031, 0.862),
(0.240, -0.052, 0.783),
(0.403, -0.276, 0.703),
(0.548, -0.405, 0.660),
(0.758, -0.499, 0.648),
(0.899, -0.597, 0.606),
(0.906, -0.543, 0.583),
(0.927, -0.388, 0.645),
(0.930, -0.271, 0.710),
(0.910, -0.178, 0.762),
(0.857, -0.123, 0.791),
(0.797, -0.099, 0.807),
(0.765, -0.090, 0.830),
(0.753, -0.053, 0.886),
(0.740, -0.041, 0.913),
(0.707, -0.043, 0.905),
(0.651, -0.055, 0.901),
(0.556, -0.103, 0.870),
(0.498, -0.129, 0.850),
(0.496, -0.153, 0.875),
(0.474, -0.155, 0.839),
(0.396, -0.163, 0.849),
(0.250, -0.107, 0.838),
(0.136, -0.026, 0.800),
(0.075, 0.008, 0.835),
(0.013, 0.025, 0.781),
(-0.108, 0.074, 0.734),
(-0.137, 0.146, 0.745),
(-0.235, 0.208, 0.802),
(-0.349, 0.257, 0.824),
(-0.375, 0.319, 0.833),
(-0.336, 0.388, 0.833),
(-0.279, 0.548, 0.924),
(-0.312, 0.644, 1.051),
(-0.448, 0.564, 1.079),
(-0.534, 0.447, 1.095),
(-0.556, 0.324, 1.109),
(-0.634, 0.302, 1.098),
(-0.661, 0.398, 1.164),
(-0.737, 0.475, 1.159),
(-0.754, 0.593, 1.109),
(-0.720, 0.940, 1.126),
(-0.596, 1.005, 1.171),
(-0.525, 0.920, 1.172),
(-0.471, 0.819, 1.171),
(-0.500, 0.699, 1.140),
(-0.544, 0.547, 1.099),
(-0.538, 0.387, 1.067),
(-0.514, 0.260, 1.042),
(-0.483, 0.154, 1.020),
(-0.477, 0.082, 0.987),
(-0.458, 0.057, 0.935),
(-0.451, 0.058, 0.898),
(-0.456, 0.052, 0.878),
(-0.449, 0.076, 0.869),
(-0.444, 0.125, 0.886),
(-0.460, 0.167, 0.909),
(-0.463, 0.199, 0.917),
(-0.474, 0.235, 0.951),
(-0.508, 0.237, 0.944),
(-0.470, 0.259, 0.949),
(-0.463, 0.316, 0.996),
(-0.476, 0.365, 1.022),
(-0.449, 0.458, 1.060),
(-0.419, 0.531, 1.115),
(-0.468, 0.558, 1.165),
(-0.471, 0.600, 1.200),
(-0.425, 0.634, 1.233),
(-0.415, 0.685, 1.286),
(0.237, -0.486, 0.652),
(0.354, -0.479, 0.530),
(0.506, -0.510, 0.395),
(0.748, -0.460, 0.341),
(0.886, -0.287, 0.310),
(0.920, -0.131, 0.307),
(0.953, -0.038, 0.305),
(0.943, 0.038, 0.356),
(0.898, 0.106, 0.402),
(0.843, 0.131, 0.495),
(0.825, 0.144, 0.553),
(0.790, 0.110, 0.581),
(0.766, 0.075, 0.618),
(0.703, 0.050, 0.658),
(0.639, -0.003, 0.635),
(0.568, -0.067, 0.608),
(0.487, -0.198, 0.514),
(0.381, -0.214, 0.507),
(0.207, -0.288, 0.582),
(0.144, -0.267, 0.709),
(0.209, -0.123, 0.774),
(0.127, -0.076, 0.818),
(-0.469, 0.013, 0.826),
(-0.480, 0.095, 0.888),
(-0.450, 0.163, 0.967),
(-0.454, 0.207, 1.028),
(-0.448, 0.303, 1.121),
(-0.434, 0.408, 1.221),
(-0.398, 0.504, 1.345),
(-0.388, 0.507, 1.344),
(-0.400, 0.521, 1.368),
(-0.452, 0.536, 1.411),
(-0.459, 0.565, 1.427),
(-0.422, 0.599, 1.424),
(-0.467, 0.608, 1.422),
