(-0.405, 0.489, 0.767),
(-0.415, 0.499, 0.777),
(-0.414, 0.492, 0.771),
(-0.419, 0.489, 0.776),
(-0.436, 0.490, 0.790),
(-0.459, 0.493, 0.818),
(-0.473, 0.491, 0.859),
(-0.356, 0.404, 0.910),
(-0.329, 0.376, 0.894),
(-0.352, 0.341, 0.829),
(-0.371, 0.342, 0.826),
(-0.394, 0.334, 0.808),
(-0.440, 0.280, 0.919),
(-0.435, 0.258, 0.931),
(-0.427, 0.257, 0.938),
(-0.397, 0.237, 0.930),
(-0.401, 0.222, 0.938),
(-0.410, 0.224, 0.928),
(-0.415, 0.214, 0.928),
(-0.419, 0.197, 0.945),
(-0.444, 0.140, 0.941),
(-0.508, 0.062, 0.983),
(-0.504, 0.041, 0.982),
(-0.503, 0.032, 1.034),
(-0.403, -0.001, 1.083),
(-0.356, -0.066, 1.098),
(-0.321, -0.076, 1.155),
(-0.231, -0.014, 1.225),
(-0.225, 0.008, 1.273),
(-0.219, 0.054, 1.329),
(-0.234, 0.080, 1.333),
(-0.230, 0.089, 1.350),
(-0.251, 0.100, 1.373),
(-0.215, 0.101, 1.366),
(-0.239, 0.085, 1.330),
(-0.277, 0.062, 1.309),
(-0.292, 0.052, 1.316),
(-0.274, 0.090, 1.298),
(-0.276, 0.100, 1.279),
(-0.249, 0.112, 1.261),
(-0.229, 0.121, 1.213),
(-0.236, 0.124, 1.129),
(-0.261, 0.125, 1.116),
(-0.283, 0.146, 1.094),
(-0.268, 0.161, 1.050),
(-0.202, 0.198, 1.030),
(-0.118, 0.357, 0.995),
(-0.102, 0.383, 0.966),
(-0.115, 0.399, 0.959),
(-0.155, 0.415, 0.979),
(-0.131, 0.422, 1.029),
(-0.073, 0.414, 1.029),
(-0.003, 0.412, 0.980),
(-0.032, 0.394, 0.961),
(0.001, 0.331, 0.944),
(0.036, 0.335, 0.952),
(0.042, 0.324, 0.981),
(0.092, 0.298, 0.955),
(0.134, 0.314, 0.936),
(0.153, 0.326, 0.943),
(0.163, 0.337, 0.940),
(0.174, 0.347, 0.939),
(0.184, 0.354, 0.954),
(0.200, 0.360, 0.966),
(0.229, 0.363, 0.941),
(0.164, 0.334, 0.883),
(0.170, 0.354, 0.903),
(0.198, 0.368, 0.915),
(0.252, 0.378, 0.920),
(0.322, 0.386, 0.849),
(0.343, 0.401, 0.837),
(0.340, 0.364, 0.818),
(0.318, 0.308, 0.822),
(0.334, 0.215, 0.802),
(0.350, 0.197, 0.787),
(0.408, 0.186, 0.780),
(0.457, 0.148, 0.752),
(0.547, 0.089, 0.668),
(0.612, 0.077, 0.622),
(0.657, 0.056, 0.603),
(0.637, 0.010, 0.580),
(0.599, -0.060, 0.573),
(0.612, -0.122, 0.586),
(0.891, -0.157, 0.504),
(0.941, -0.165, 0.497),
(0.949, -0.201, 0.469),
(1.043, -0.218, 0.451),
(1.078, -0.203, 0.446),
(1.067, -0.156, 0.484),
(1.046, -0.117, 0.509),
(1.026, -0.026, 0.498),
(0.989, 0.021, 0.529),
(0.940, 0.069, 0.565),
(0.914, 0.101, 0.594),
(0.814, 0.165, 0.600),
(0.757, 0.214, 0.642),
(0.735, 0.233, 0.668),
(0.641, 0.221, 0.667),
(0.618, 0.214, 0.674),
(0.592, 0.193, 0.682),
(0.458, 0.100, 0.596),
(0.477, 0.045, 0.599),
(0.516, 0.004, 0.621),
(0.548, -0.061, 0.629),
(0.458, -0.073, 0.590),
(0.425, -0.119, 0.619),
(0.399, -0.101, 0.607),
(0.417, -0.059, 0.572),
(0.423, -0.083, 0.602),
(0.306, -0.120, 0.567),
(0.183, -0.154, 0.531),
(0.116, -0.183, 0.544),
(0.177, -0.113, 0.602),
(0.176, -0.101, 0.627),
(0.095, -0.142, 0.621),
(-0.073, -0.141, 0.608),
(-0.241, -0.100, 0.595),
(-0.321, -0.047, 0.667),
(-0.312, 0.034, 0.769),
(-0.282, 0.061, 0.808),
(-0.522, 0.072, 0.934),
(-0.600, 0.096, 0.918),
(-0.647, 0.044, 0.973),
(-0.664, 0.115, 1.084),
(-0.739, 0.174, 1.232),
(-0.844, 0.211, 1.299),
(-0.947, 0.258, 1.361),
(-0.958, 0.320, 1.428),
(-0.851, 0.484, 1.556),
(-0.712, 0.623, 1.556),
(-0.381, 1.117, 1.953),
(-0.369, 1.094, 1.988),
(-0.552, 0.943, 1.977),
(-0.759, 0.552, 1.717),
(-0.649, 0.302, 1.123),
(-0.709, 0.282, 1.069),
(-0.689, 0.276, 1.052),
(-0.597, 0.226, 1.005),
(-0.617, 0.026, 0.918),
(-0.592, -0.004, 0.900),
(-0.589, -0.024, 0.908),
(-0.586, -0.070, 0.892),
(-0.549, -0.129, 0.893),
(-0.547, -0.148, 0.943),
(-0.493, -0.157, 0.957),
(-0.419, -0.165, 0.962),
(-0.312, -0.138, 1.145),
(-0.290, -0.123, 1.175),
(-0.247, -0.125, 1.176),
(-0.249, -0.066, 1.286),
(-0.292, -0.050, 1.323),
(-0.304, -0.049, 1.308),
(-0.314, 0.052, 1.324),
(-0.327, 0.089, 1.296),
(-0.363, 0.145, 1.294),
(-0.382, 0.182, 1.298),
(-0.390, 0.262, 1.312),
(-0.365, 0.292, 1.264),
(-0.264, 0.387, 1.184),
(-0.235, 0.417, 1.193),
(-0.195, 0.420, 1.183),
(-0.179, 0.482, 1.155),
(-0.176, 0.510, 1.148),
(-0.193, 0.552, 1.177),
(-0.179, 0.560, 1.175),
(-0.296, 0.445, 1.071),
(-0.323, 0.414, 1.037),
(-0.333, 0.413, 1.005),
(-0.355, 0.440, 1.024),
(-0.333, 0.456, 1.052),
(-0.275, 0.458, 0.977),
(-0.255, 0.450, 0.933),
(-0.217, 0.524, 0.992),
(-0.164, 0.562, 1.036),
(-0.094, 0.523, 1.030),
(-0.009, 0.455, 1.045),
(0.040, 0.423, 1.126),
(0.092, 0.395, 1.157),
(0.134, 0.346, 1.096),
(0.042, 0.259, 1.094),
(0.124, 0.201, 0.990),
(0.169, 0.136, 1.032),
(0.114, -0.031, 0.941),
(0.970, -0.314, 0.565),
(1.054, -0.294, 0.521),
(1.102, -0.277, 0.507),
(1.121, -0.242, 0.515),
(1.086, -0.156, 0.531),
(1.079, -0.099, 0.553),
(1.086, -0.033, 0.564),
(1.085, 0.039, 0.608),
(1.049, 0.115, 0.597),
(1.028, 0.146, 0.612),
(0.988, 0.155, 0.613),
(0.938, 0.151, 0.613),
(0.907, 0.181, 0.631),
(0.889, 0.194, 0.631),
(0.860, 0.197, 0.627),
(0.833, 0.194, 0.613),
(0.787, 0.158, 0.636),
(0.778, 0.124, 0.617),
(0.745, 0.100, 0.610),
(0.724, 0.091, 0.585),
(0.723, 0.071, 0.568),
(0.702, 0.061, 0.588),
(0.698, 0.063, 0.621),
(0.665, 0.054, 0.654),
(0.643, 0.008, 0.681),
(0.595, -0.005, 0.717),
(0.559, 0.018, 0.679),
(0.454, 0.025, 0.646),
(0.188, -0.013, 0.547),
(-0.186, 0.140, 0.515),
(-0.203, 0.141, 0.528),
(-0.257, 0.138, 0.508),
(-0.401, 0.202, 0.555),
(-0.406, 0.218, 0.583),
(-0.390, 0.213, 0.611),
(-0.421, 0.154, 0.651),
(-0.641, 0.126, 0.891),
(-0.719, 0.139, 0.955),
(-0.742, 0.121, 0.997),
(-0.755, 0.145, 1.062),
(-0.668, 0.269, 1.239),
(-0.746, 0.356, 1.337),
(-0.812, 0.323, 1.361),
(-0.798, 0.457, 1.475),
(-0.626, 0.816, 1.656),
(-0.483, 0.964, 1.711),
(-0.271, 1.288, 1.851),
(0.203, 1.633, 2.142),
(0.340, 1.537, 2.276),
(-0.597, 0.472, 0.930),
(-0.573, 0.417, 0.888),
(-0.549, 0.375, 0.853),
(-0.390, 0.268, 0.753),
(-0.378, 0.256, 0.714),
(-0.371, 0.245, 0.692),
(-0.360, 0.273, 0.721),
(-0.355, 0.221, 0.684),
(-0.369, 0.233, 0.731),
(-0.361, 0.229, 0.760),
(-0.343, 0.217, 0.770),
(-0.214, 0.214, 1.045),
(-0.115, 0.285, 1.244),
(-0.140, 0.307, 1.300),
(-0.157, 0.310, 1.352),
(-0.146, 0.309, 1.451),
(-0.149, 0.316, 1.458),
(-0.169, 0.299, 1.468),
(-0.211, 0.294, 1.484),
(-0.256, 0.359, 1.512),
(-0.257, 0.373, 1.503),
(-0.266, 0.384, 1.510),
(-0.283, 0.388, 1.501),
(-0.329, 0.383, 1.506),
(-0.388, 0.396, 1.529),
(-0.397, 0.378, 1.482),
(-0.441, 0.363, 1.325),
(-0.498, 0.366, 1.330),
(-0.540, 0.365, 1.318),
(-0.412, 0.361, 1.233),
(-0.268, 0.282, 1.158),
(-0.268, 0.253, 1.145),
(-0.295, 0.252, 1.248),
(-0.213, 0.167, 1.102),
(-0.192, 0.133, 1.104),
(-0.225, 0.123, 1.157),
(-0.244, 0.097, 1.082),
(-0.206, 0.016, 1.051),
(-0.200, 0.036, 1.062),
(-0.209, 0.064, 1.026),
(-0.142, 0.088, 0.981),
(-0.110, 0.126, 0.961),
(0.067, -0.066, 0.754),
(0.131, -0.095, 0.736),
(0.202, -0.127, 0.707),
(0.462, -0.219, 0.609),
(0.770, -0.183, 0.480),
(0.932, -0.106, 0.360),
(0.970, -0.051, 0.363),
(0.926, 0.071, 0.462),
(0.888, 0.076, 0.486),
(0.895, 0.096, 0.517),
(0.936, 0.113, 0.531),
(0.923, 0.124, 0.541),
(0.878, 0.125, 0.552),
(0.807, 0.100, 0.560),
(0.793, 0.092, 0.562),
(0.805, 0.082, 0.562),
(0.789, 0.043, 0.536),
(0.761, 0.022, 0.522),
(0.760, 0.017, 0.523),
(0.812, -0.040, 0.570),
(0.781, -0.031, 0.577),
(0.770, -0.047, 0.587),
(0.726, -0.109, 0.615),
(0.704, -0.137, 0.617),
(0.677, -0.152, 0.639),
(0.610, -0.153, 0.661),
(0.567, -0.161, 0.641),
(0.508, -0.176, 0.650),
(0.246, -0.109, 0.704),
(0.219, -0.079, 0.699),
(0.209, -0.058, 0.698),
(0.038, -0.013, 0.683),
(-0.044, -0.012, 0.700),
(-0.122, 0.032, 0.737),
(-0.173, 0.027, 0.732),
(-0.197, 0.042, 0.800),
(-0.220, 0.050, 0.821),
(-0.295, 0.042, 0.846),
(-0.396, 0.083, 0.857),
(-0.550, 0.139, 0.928),
(-0.597, 0.188, 0.936),
(-0.658, 0.183, 0.862),
(-0.713, 0.195, 0.898),
(-0.742, 0.313, 0.956),
(-0.792, 0.258, 1.017),
(-0.945, 0.266, 1.122),
(-1.028, 0.326, 1.210),
(-1.007, 0.378, 1.300),
(-0.969, 0.381, 1.354),
(0.072, 0.746, 2.451),
(-0.156, 0.545, 2.146),
(-0.341, 0.436, 1.873),
(-0.382, 0.355, 1.505),
(-0.567, 0.051, 1.091),
(-0.572, 0.022, 1.066),
(-0.542, 0.006, 1.050),
(-0.512, 0.034, 1.091),
(-0.508, 0.037, 1.110),
(-0.451, 0.041, 1.135),
(-0.373, 0.049, 1.180),
(-0.308, 0.038, 1.201),
(-0.245, 0.070, 1.232),
(-0.163, 0.113, 1.283),
(-0.075, 0.274, 1.381),
(-0.062, 0.332, 1.419),
(-0.063, 0.368, 1.419),
(-0.088, 0.397, 1.406),
(-0.124, 0.448, 1.421),
(-0.199, 0.500, 1.385),
(-0.208, 0.508, 1.350),
(-0.211, 0.522, 1.317),
(-0.212, 0.540, 1.310),
(-0.184, 0.530, 1.311),
(-0.148, 0.510, 1.306),
(-0.120, 0.491, 1.281),
(-0.108, 0.446, 1.188),
(-0.099, 0.445, 1.160),
(-0.103, 0.444, 1.140),
(-0.115, 0.433, 1.113),
(-0.117, 0.375, 1.009),
(-0.112, 0.347, 0.989),
(-0.092, 0.313, 0.947),
(-0.070, 0.303, 0.886),
(0.002, 0.309, 0.740),
(0.031, 0.323, 0.695),
(0.049, 0.349, 0.679),
(0.073, 0.371, 0.690),
(0.206, 0.324, 0.635),
(0.270, 0.275, 0.634),
(0.371, 0.122, 0.630),
(0.389, 0.098, 0.682),
(0.403, 0.070, 0.694),
(0.537, 0.036, 0.626),
(0.517, -0.043, 0.509),
(0.461, -0.136, 0.477),
(0.437, -0.195, 0.448),
(0.484, -0.247, 0.429),
(0.493, -0.245, 0.396),
(0.503, -0.227, 0.347),
(0.475, -0.215, 0.295),
(0.383, -0.256, 0.199),
(0.401, -0.271, 0.169),
(0.490, -0.271, 0.162),
(0.637, -0.262, 0.164),
(0.843, -0.249, 0.178),
(0.864, -0.230, 0.161),
(0.848, -0.199, 0.165),
(0.815, -0.203, 0.176),
(0.833, -0.260, 0.212),
(0.933, -0.281, 0.207),
(1.021, -0.273, 0.193),
(1.108, -0.295, 0.155),
(1.155, -0.313, 0.091),
(1.186, -0.342, 0.057),
(1.173, -0.287, -0.072),
(1.231, -0.328, -0.083),
(1.315, -0.350, -0.047),
(1.258, -0.242, -0.037),
(1.181, -0.196, -0.075),
(1.124, -0.130, -0.104),
(1.093, -0.099, -0.095),
(1.125, -0.081, 0.009),
(1.168, -0.116, 0.010),
(1.166, -0.130, -0.002),
(1.131, -0.133, -0.015),
(1.026, -0.128, -0.021),
(1.051, -0.205, -0.024),
(1.050, -0.195, -0.017),
(1.035, -0.188, -0.003),
(1.016, -0.247, 0.053),
(0.934, -0.295, 0.065),
(0.877, -0.322, 0.106),
(0.839, -0.317, 0.142),
(0.754, -0.353, 0.222),
(0.720, -0.264, 0.494),
(0.687, -0.278, 0.437),
(0.576, -0.290, 0.424),
(0.395, -0.164, 0.623),
(0.389, -0.156, 0.702),
(0.462, -0.156, 0.684),
(0.536, -0.124, 0.714),
(0.562, -0.063, 0.736),
(0.465, -0.081, 0.705),
(0.327, -0.090, 0.710),
(0.050, 0.083, 0.836),
(0.255, 0.193, 0.865),
