(-0.305, 0.517, 0.843),
(-0.309, 0.521, 0.845),
(-0.306, 0.525, 0.844),
(-0.302, 0.536, 0.847),
(-0.297, 0.534, 0.844),
(-0.301, 0.539, 0.848),
(-0.301, 0.553, 0.852),
(-0.301, 0.552, 0.844),
(-0.300, 0.565, 0.850),
(-0.296, 0.563, 0.848),
(-0.293, 0.552, 0.834),
(-0.308, 0.547, 0.849),
(-0.281, 0.533, 0.857),
(-0.279, 0.545, 0.852),
(-0.283, 0.562, 0.856),
(-0.290, 0.706, 0.878),
(-0.290, 0.759, 0.876),
(-0.282, 0.795, 0.864),
(-0.256, 0.819, 0.851),
(-0.198, 0.908, 0.852),
(-0.198, 0.975, 0.858),
(-0.220, 1.042, 0.908),
(-0.232, 1.064, 0.890),
(-0.243, 1.064, 0.834),
(-0.242, 1.054, 0.844),
(-0.230, 1.030, 0.830),
(-0.205, 1.037, 0.799),
(-0.198, 0.922, 0.842),
(-0.250, 0.902, 0.837),
(-0.285, 0.901, 0.881),
(-0.264, 0.803, 0.887),
(-0.283, 0.740, 0.946),
(-0.281, 0.752, 0.991),
(-0.267, 0.766, 1.070),
(-0.205, 0.689, 0.977),
(-0.250, 0.410, 1.019),
(-0.218, 0.421, 1.044),
(-0.187, 0.420, 1.069),
(-0.065, 0.379, 0.997),
(-0.071, 0.256, 0.975),
(0.028, 0.042, 1.082),
(0.027, 0.006, 1.053),
(0.008, 0.009, 1.038),
(-0.035, -0.025, 0.904),
(-0.017, -0.076, 0.864),
(0.039, -0.105, 0.850),
(0.133, -0.129, 0.850),
(0.215, -0.173, 0.797),
(0.334, -0.129, 0.626),
(0.396, -0.122, 0.570),
(0.457, -0.083, 0.553),
(0.301, -0.075, 0.886),
(0.375, -0.052, 0.922),
(0.444, 0.024, 0.862),
(0.481, 0.099, 0.801),
(0.676, 0.139, 0.795),
(0.709, 0.132, 0.774),
(0.604, 0.073, 0.770),
(0.477, 0.032, 0.729),
(0.460, 0.010, 0.717),
(0.458, 0.013, 0.726),
(0.475, 0.022, 0.727),
(0.512, 0.043, 0.742),
(0.548, 0.081, 0.767),
(0.538, 0.068, 0.770),
(0.540, 0.065, 0.719),
(0.560, 0.057, 0.664),
(0.532, -0.006, 0.637),
(0.396, 0.015, 0.717),
(0.426, -0.003, 0.703),
(0.404, 0.007, 0.748),
(0.234, 0.088, 0.812),
(0.190, 0.070, 0.817),
(0.138, 0.103, 0.871),
(0.062, 0.208, 0.944),
(0.007, 0.330, 0.944),
(-0.001, 0.381, 0.931),
(-0.014, 0.346, 0.951),
(-0.024, 0.335, 0.935),
(-0.110, 0.375, 0.844),
(-0.160, 0.348, 0.865),
(-0.156, 0.400, 0.910),
(-0.103, 0.520, 0.929),
(-0.015, 0.753, 1.051),
(-0.039, 0.682, 1.069),
