,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
16344,16438,Accel_Log,,,,0.259,-0.584,-0.738,,,,,,,,,,46166827847,,2016-01-09 16:46:18.473,,24
16345,16439,Gyro_Log,,,,3.598,-2.5,-3.110,,,,,,,,,,45976565815,,2016-01-09 16:46:18.473,,24
16346,16440,Accel_Log,,,,0.271,-0.658,-0.779,,,,,,,,,,46172503421,,2016-01-09 16:46:18.512,,24
16347,16441,Accel_Log,,,,0.246,-0.666,-0.705,,,,,,,,,,46214796597,,2016-01-09 16:46:18.552,,24
16348,16442,Accel_Log,,,,0.282,-0.626,-0.661,,,,,,,,,,46217665764,,2016-01-09 16:46:18.591,,24
16349,16443,Accel_Log,,,,0.251,-0.605,-0.653,,,,,,,,,,46263438316,,2016-01-09 16:46:18.632,,24
16350,16444,Accel_Log,,,,0.195,-0.621,-0.614,,,,,,,,,,46266296858,,2016-01-09 16:46:18.672,,24
16351,16445,Accel_Log,,,,0.240,-0.577,-0.688,,,,,,,,,,46312374879,,2016-01-09 16:46:18.711,,24
16352,16446,Accel_Log,,,,0.249,-0.56,-0.758,,,,,,,,,,46315084410,,2016-01-09 16:46:18.751,,24
16353,16447,Accel_Log,,,,0.296,-0.571,-0.748,,,,,,,,,,46361376284,,2016-01-09 16:46:18.791,,24
16354,16448,Accel_Log,,,,0.352,-0.566,-0.698,,,,,,,,,,46363970035,,2016-01-09 16:46:18.830,,24
16355,16449,Accel_Log,,,,0.337,-0.513,-0.696,,,,,,,,,,46409634514,,2016-01-09 16:46:18.870,,24
16356,16450,Accel_Log,,,,0.284,-0.603,-0.727,,,,,,,,,,46412260139,,2016-01-09 16:46:18.911,,24
16357,16451,Accel_Log,,,,0.247,-0.73,-0.788,,,,,,,,,,46458524878,,2016-01-09 16:46:18.950,,24
16358,16452,Accel_Log,,,,0.235,-0.702,-0.748,,,,,,,,,,46461677534,,2016-01-09 16:46:18.990,,24
16359,16453,Accel_Log,,,,0.282,-0.581,-0.717,,,,,,,,,,46507351753,,2016-01-09 16:46:19.029,,24
16360,16454,Accel_Log,,,,0.237,-0.588,-0.702,,,,,,,,,,46509983264,,2016-01-09 16:46:19.069,,24
16361,16455,Accel_Log,,,,0.179,-0.59,-0.746,,,,,,,,,,46555990451,,2016-01-09 16:46:19.108,,24
