,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
168693,168787,Accelerometer,,,,-0.097,-0.993,-0.025,,,,,,,,,,0.0,,2016-02-11 12:42:41.103,,73
168694,168788,Accelerometer,,,,-0.095,-0.989,-0.027,,,,,,,,,,0.02,,2016-02-11 12:42:41.103,,73
168695,168789,Accelerometer,,,,-0.092,-0.996,-0.028,,,,,,,,,,0.04,,2016-02-11 12:42:41.103,,73
168696,168790,Accelerometer,,,,-0.093,-0.993,-0.027,,,,,,,,,,0.06,,2016-02-11 12:42:41.103,,73
168697,168791,Accelerometer,,,,-0.091,-0.994,-0.029,,,,,,,,,,0.08,,2016-02-11 12:42:41.104,,73
168698,168792,Accelerometer,,,,-0.093,-0.995,-0.03,,,,,,,,,,0.1,,2016-02-11 12:42:41.104,,73
168699,168793,Accelerometer,,,,-0.089,-0.994,-0.032,,,,,,,,,,0.12,,2016-02-11 12:42:41.104,,73
168700,168794,Accelerometer,,,,-0.089,-0.993,-0.031,,,,,,,,,,0.14,,2016-02-11 12:42:41.104,,73
168701,168795,Accelerometer,,,,-0.094,-0.994,-0.029,,,,,,,,,,0.16,,2016-02-11 12:42:41.104,,73
168702,168796,Accelerometer,,,,-0.094,-0.997,-0.027,,,,,,,,,,0.18,,2016-02-11 12:42:41.105,,73
168703,168797,Accelerometer,,,,-0.094,-0.995,-0.028,,,,,,,,,,0.2,,2016-02-11 12:42:41.105,,73
168704,168798,Accelerometer,,,,-0.093,-0.995,-0.029,,,,,,,,,,0.22,,2016-02-11 12:42:41.105,,73
168705,168799,Accelerometer,,,,-0.093,-0.995,-0.029,,,,,,,,,,0.24,,2016-02-11 12:42:41.105,,73
168706,168800,Accelerometer,,,,-0.09,-0.995,-0.032,,,,,,,,,,0.26,,2016-02-11 12:42:41.105,,73
168707,168801,Accelerometer,,,,-0.093,-0.994,-0.032,,,,,,,,,,0.28,,2016-02-11 12:42:41.106,,73
168708,168802,Accelerometer,,,,-0.095,-0.993,-0.03,,,,,,,,,,0.3,,2016-02-11 12:42:41.106,,73
168709,168803,Accelerometer,,,,-0.092,-0.993,-0.03,,,,,,,,,,0.32,,2016-02-11 12:42:41.106,,73
168710,168804,Accelerometer,,,,-0.094,-0.996,-0.034,,,,,,,,,,0.34,,2016-02-11 12:42:41.106,,73
168711,168805,Accelerometer,,,,-0.092,-0.996,-0.033,,,,,,,,,,0.36,,2016-02-11 12:42:41.106,,73
168712,168806,Accelerometer,,,,-0.096,-0.994,-0.03,,,,,,,,,,0.38,,2016-02-11 12:42:41.107,,73
168713,168807,Accelerometer,,,,-0.097,-0.994,-0.033,,,,,,,,,,0.4,,2016-02-11 12:42:41.107,,73
168714,168808,Accelerometer,,,,-0.091,-0.994,-0.035,,,,,,,,,,0.42,,2016-02-11 12:42:41.107,,73
168715,168809,Accelerometer,,,,-0.09,-0.994,-0.033,,,,,,,,,,0.44,,2016-02-11 12:42:41.107,,73
168716,168810,Accelerometer,,,,-0.092,-0.995,-0.033,,,,,,,,,,0.46,,2016-02-11 12:42:41.108,,73
168717,168811,Accelerometer,,,,-0.092,-0.994,-0.035,,,,,,,,,,0.48,,2016-02-11 12:42:41.108,,73
168718,168812,Accelerometer,,,,-0.094,-0.993,-0.036,,,,,,,,,,0.5,,2016-02-11 12:42:41.108,,73
168719,168813,Accelerometer,,,,-0.094,-0.998,-0.035,,,,,,,,,,0.52,,2016-02-11 12:42:41.108,,73
168720,168814,Accelerometer,,,,-0.093,-0.996,-0.03,,,,,,,,,,0.54,,2016-02-11 12:42:41.109,,73
168721,168815,Accelerometer,,,,-0.091,-0.994,-0.034,,,,,,,,,,0.56,,2016-02-11 12:42:41.109,,73
168722,168816,Accelerometer,,,,-0.089,-0.987,-0.046,,,,,,,,,,0.58,,2016-02-11 12:42:41.109,,73
168723,168817,Accelerometer,,,,-0.101,-1.001,-0.02,,,,,,,,,,0.6,,2016-02-11 12:42:41.109,,73
168724,168818,Accelerometer,,,,-0.094,-0.994,-0.037,,,,,,,,,,0.62,,2016-02-11 12:42:41.110,,73
168725,168819,Accelerometer,,,,-0.093,-0.992,-0.036,,,,,,,,,,0.64,,2016-02-11 12:42:41.110,,73
168726,168820,Accelerometer,,,,-0.088,-0.998,-0.025,,,,,,,,,,0.66,,2016-02-11 12:42:41.110,,73
168727,168821,Accelerometer,,,,-0.088,-0.999,-0.029,,,,,,,,,,0.68,,2016-02-11 12:42:41.110,,73
168728,168822,Accelerometer,,,,-0.094,-0.998,-0.033,,,,,,,,,,0.7,,2016-02-11 12:42:41.110,,73
168729,168823,Accelerometer,,,,-0.095,-0.997,-0.029,,,,,,,,,,0.72,,2016-02-11 12:42:41.111,,73
168730,168824,Accelerometer,,,,-0.092,-0.996,-0.024,,,,,,,,,,0.74,,2016-02-11 12:42:41.111,,73
168731,168825,Accelerometer,,,,-0.091,-0.993,-0.025,,,,,,,,,,0.76,,2016-02-11 12:42:41.111,,73
168732,168826,Accelerometer,,,,-0.091,-0.993,-0.025,,,,,,,,,,0.78,,2016-02-11 12:42:41.111,,73
168733,168827,Accelerometer,,,,-0.093,-0.994,-0.021,,,,,,,,,,0.8,,2016-02-11 12:42:41.112,,73
168734,168828,Accelerometer,,,,-0.091,-0.997,-0.019,,,,,,,,,,0.82,,2016-02-11 12:42:41.112,,73
168735,168829,Accelerometer,,,,-0.089,-0.997,-0.018,,,,,,,,,,0.84,,2016-02-11 12:42:41.112,,73
168736,168830,Accelerometer,,,,-0.096,-0.991,-0.02,,,,,,,,,,0.86,,2016-02-11 12:42:41.112,,73
168737,168831,Accelerometer,,,,-0.098,-0.993,-0.014,,,,,,,,,,0.88,,2016-02-11 12:42:41.112,,73
168738,168832,Accelerometer,,,,-0.089,-0.993,-0.017,,,,,,,,,,0.9,,2016-02-11 12:42:41.113,,73
168739,168833,Accelerometer,,,,-0.089,-0.996,-0.013,,,,,,,,,,0.92,,2016-02-11 12:42:41.113,,73
168740,168834,Accelerometer,,,,-0.092,-0.996,-0.016,,,,,,,,,,0.94,,2016-02-11 12:42:41.113,,73
168741,168835,Accelerometer,,,,-0.093,-0.997,-0.015,,,,,,,,,,0.96,,2016-02-11 12:42:41.113,,73
168742,168836,Accelerometer,,,,-0.094,-0.995,-0.013,,,,,,,,,,0.98,,2016-02-11 12:42:41.113,,73
