,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
177792,177886,Accelerometer,,,,-0.011,-0.131,1.01,,,,,,,,,,0.0,,2016-02-11 12:48:11.158,,74
177793,177887,Accelerometer,,,,-0.012,-0.136,1.017,,,,,,,,,,0.02,,2016-02-11 12:48:11.158,,74
177794,177888,Accelerometer,,,,-0.011,-0.137,1.016,,,,,,,,,,0.04,,2016-02-11 12:48:11.159,,74
177795,177889,Accelerometer,,,,-0.009,-0.135,1.019,,,,,,,,,,0.06,,2016-02-11 12:48:11.160,,74
177796,177890,Accelerometer,,,,-0.006,-0.138,1.021,,,,,,,,,,0.08,,2016-02-11 12:48:11.160,,74
177797,177891,Accelerometer,,,,-0.014,-0.138,1.019,,,,,,,,,,0.1,,2016-02-11 12:48:11.161,,74
177798,177892,Accelerometer,,,,-0.017,-0.137,1.018,,,,,,,,,,0.12,,2016-02-11 12:48:11.161,,74
177799,177893,Accelerometer,,,,-0.01,-0.136,1.018,,,,,,,,,,0.14,,2016-02-11 12:48:11.161,,74
177800,177894,Accelerometer,,,,-0.009,-0.139,1.019,,,,,,,,,,0.16,,2016-02-11 12:48:11.162,,74
177801,177895,Accelerometer,,,,-0.01,-0.14,1.025,,,,,,,,,,0.18,,2016-02-11 12:48:11.162,,74
177802,177896,Accelerometer,,,,-0.009,-0.128,0.987,,,,,,,,,,0.2,,2016-02-11 12:48:11.163,,74
177803,177897,Accelerometer,,,,-0.016,-0.131,1.028,,,,,,,,,,0.22,,2016-02-11 12:48:11.164,,74
177804,177898,Accelerometer,,,,-0.008,-0.133,1.021,,,,,,,,,,0.24,,2016-02-11 12:48:11.164,,74
177805,177899,Accelerometer,,,,0.001,-0.129,1.017,,,,,,,,,,0.26,,2016-02-11 12:48:11.165,,74
177806,177900,Accelerometer,,,,-0.011,-0.136,1.017,,,,,,,,,,0.28,,2016-02-11 12:48:11.165,,74
177807,177901,Accelerometer,,,,-0.006,-0.143,1.027,,,,,,,,,,0.3,,2016-02-11 12:48:11.165,,74
177808,177902,Accelerometer,,,,-0.002,-0.145,1.026,,,,,,,,,,0.32,,2016-02-11 12:48:11.166,,74
177809,177903,Accelerometer,,,,-0.005,-0.139,1.015,,,,,,,,,,0.34,,2016-02-11 12:48:11.167,,74
177810,177904,Accelerometer,,,,-0.01,-0.132,1.014,,,,,,,,,,0.36,,2016-02-11 12:48:11.167,,74
177811,177905,Accelerometer,,,,-0.009,-0.128,1.013,,,,,,,,,,0.38,,2016-02-11 12:48:11.167,,74
177812,177906,Accelerometer,,,,-0.004,-0.128,1.014,,,,,,,,,,0.4,,2016-02-11 12:48:11.168,,74
177813,177907,Accelerometer,,,,-0.002,-0.129,1.015,,,,,,,,,,0.42,,2016-02-11 12:48:11.168,,74
177814,177908,Accelerometer,,,,-0.004,-0.127,1.018,,,,,,,,,,0.44,,2016-02-11 12:48:11.169,,74
177815,177909,Accelerometer,,,,-0.005,-0.129,1.019,,,,,,,,,,0.46,,2016-02-11 12:48:11.169,,74
177816,177910,Accelerometer,,,,-0.008,-0.132,1.015,,,,,,,,,,0.48,,2016-02-11 12:48:11.169,,74
177817,177911,Accelerometer,,,,-0.004,-0.137,1.021,,,,,,,,,,0.5,,2016-02-11 12:48:11.170,,74
177818,177912,Accelerometer,,,,-0.013,-0.135,1.008,,,,,,,,,,0.52,,2016-02-11 12:48:11.170,,74
177819,177913,Accelerometer,,,,-0.013,-0.135,1.016,,,,,,,,,,0.54,,2016-02-11 12:48:11.170,,74
177820,177914,Accelerometer,,,,-0.007,-0.139,1.02,,,,,,,,,,0.56,,2016-02-11 12:48:11.171,,74
177821,177915,Accelerometer,,,,-0.009,-0.14,1.031,,,,,,,,,,0.58,,2016-02-11 12:48:11.171,,74
177822,177916,Accelerometer,,,,-0.007,-0.133,1.021,,,,,,,,,,0.6,,2016-02-11 12:48:11.171,,74
177823,177917,Accelerometer,,,,-0.004,-0.13,1.016,,,,,,,,,,0.62,,2016-02-11 12:48:11.172,,74
177824,177918,Accelerometer,,,,-0.004,-0.129,1.018,,,,,,,,,,0.64,,2016-02-11 12:48:11.172,,74
177825,177919,Accelerometer,,,,-0.007,-0.127,1.016,,,,,,,,,,0.66,,2016-02-11 12:48:11.172,,74
177826,177920,Accelerometer,,,,-0.014,-0.126,1.013,,,,,,,,,,0.68,,2016-02-11 12:48:11.173,,74
177827,177921,Accelerometer,,,,-0.014,-0.127,1.015,,,,,,,,,,0.7,,2016-02-11 12:48:11.174,,74
177828,177922,Accelerometer,,,,-0.011,-0.133,1.01,,,,,,,,,,0.72,,2016-02-11 12:48:11.174,,74
177829,177923,Accelerometer,,,,-0.008,-0.136,1.016,,,,,,,,,,0.74,,2016-02-11 12:48:11.174,,74
177830,177924,Accelerometer,,,,-0.005,-0.133,1.018,,,,,,,,,,0.76,,2016-02-11 12:48:11.175,,74
