,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
110272,110366,Accelerometer,,,,-0.024,-0.034,1.032,,,,,,,,,,0.0,,2016-02-11 12:01:23.533,,62
110273,110367,Accelerometer,,,,-0.022,-0.03,1.036,,,,,,,,,,0.02,,2016-02-11 12:01:23.533,,62
110274,110368,Accelerometer,,,,-0.025,-0.023,1.037,,,,,,,,,,0.04,,2016-02-11 12:01:23.533,,62
110275,110369,Accelerometer,,,,-0.025,-0.02,1.036,,,,,,,,,,0.06,,2016-02-11 12:01:23.534,,62
110276,110370,Accelerometer,,,,-0.03,-0.016,1.031,,,,,,,,,,0.08,,2016-02-11 12:01:23.534,,62
110277,110371,Accelerometer,,,,-0.036,-0.008,1.022,,,,,,,,,,0.1,,2016-02-11 12:01:23.534,,62
110278,110372,Accelerometer,,,,-0.038,-0.005,1.008,,,,,,,,,,0.12,,2016-02-11 12:01:23.534,,62
110279,110373,Accelerometer,,,,-0.041,-0.005,1.016,,,,,,,,,,0.14,,2016-02-11 12:01:23.534,,62
110280,110374,Accelerometer,,,,-0.047,-0.005,1.006,,,,,,,,,,0.16,,2016-02-11 12:01:23.535,,62
110281,110375,Accelerometer,,,,-0.043,-0.006,1.021,,,,,,,,,,0.18,,2016-02-11 12:01:23.535,,62
110282,110376,Accelerometer,,,,-0.038,-0.006,1.035,,,,,,,,,,0.2,,2016-02-11 12:01:23.535,,62
110283,110377,Accelerometer,,,,-0.034,-0.01,1.036,,,,,,,,,,0.22,,2016-02-11 12:01:23.535,,62
110284,110378,Accelerometer,,,,-0.036,-0.012,1.035,,,,,,,,,,0.24,,2016-02-11 12:01:23.535,,62
110285,110379,Accelerometer,,,,-0.039,-0.007,1.032,,,,,,,,,,0.26,,2016-02-11 12:01:23.536,,62
110286,110380,Accelerometer,,,,-0.042,-0.008,1.033,,,,,,,,,,0.28,,2016-02-11 12:01:23.536,,62
110287,110381,Accelerometer,,,,-0.038,-0.008,1.025,,,,,,,,,,0.3,,2016-02-11 12:01:23.536,,62
110288,110382,Accelerometer,,,,-0.039,-0.009,1.016,,,,,,,,,,0.32,,2016-02-11 12:01:23.536,,62
110289,110383,Accelerometer,,,,-0.042,-0.015,1.013,,,,,,,,,,0.34,,2016-02-11 12:01:23.537,,62
110290,110384,Accelerometer,,,,-0.041,-0.014,1.024,,,,,,,,,,0.36,,2016-02-11 12:01:23.537,,62
110291,110385,Accelerometer,,,,-0.03,-0.011,1.023,,,,,,,,,,0.38,,2016-02-11 12:01:23.537,,62
110292,110386,Accelerometer,,,,-0.017,-0.008,1.018,,,,,,,,,,0.4,,2016-02-11 12:01:23.537,,62
110293,110387,Accelerometer,,,,-0.015,-0.005,1.031,,,,,,,,,,0.42,,2016-02-11 12:01:23.538,,62
110294,110388,Accelerometer,,,,-0.02,-0.006,1.03,,,,,,,,,,0.44,,2016-02-11 12:01:23.538,,62
110295,110389,Accelerometer,,,,-0.025,-0.01,1.028,,,,,,,,,,0.46,,2016-02-11 12:01:23.538,,62
110296,110390,Accelerometer,,,,-0.025,-0.012,1.024,,,,,,,,,,0.48,,2016-02-11 12:01:23.538,,62
110297,110391,Accelerometer,,,,-0.026,-0.013,1.024,,,,,,,,,,0.5,,2016-02-11 12:01:23.538,,62
110298,110392,Accelerometer,,,,-0.022,-0.013,1.024,,,,,,,,,,0.52,,2016-02-11 12:01:23.540,,62
110299,110393,Accelerometer,,,,-0.023,-0.015,1.026,,,,,,,,,,0.54,,2016-02-11 12:01:23.540,,62
110300,110394,Accelerometer,,,,-0.026,-0.013,1.026,,,,,,,,,,0.56,,2016-02-11 12:01:23.540,,62
110301,110395,Accelerometer,,,,-0.023,-0.016,1.028,,,,,,,,,,0.58,,2016-02-11 12:01:23.540,,62
110302,110396,Accelerometer,,,,-0.025,-0.017,1.026,,,,,,,,,,0.6,,2016-02-11 12:01:23.540,,62
110303,110397,Accelerometer,,,,-0.029,-0.015,1.029,,,,,,,,,,0.62,,2016-02-11 12:01:23.541,,62
110304,110398,Accelerometer,,,,-0.03,-0.015,1.03,,,,,,,,,,0.64,,2016-02-11 12:01:23.541,,62
110305,110399,Accelerometer,,,,-0.03,-0.019,1.026,,,,,,,,,,0.66,,2016-02-11 12:01:23.541,,62
110306,110400,Accelerometer,,,,-0.029,-0.021,1.023,,,,,,,,,,0.68,,2016-02-11 12:01:23.541,,62
110307,110401,Accelerometer,,,,-0.025,-0.022,1.023,,,,,,,,,,0.7,,2016-02-11 12:01:23.542,,62
110308,110402,Accelerometer,,,,-0.023,-0.017,1.009,,,,,,,,,,0.72,,2016-02-11 12:01:23.542,,62
110309,110403,Accelerometer,,,,-0.023,-0.02,1.042,,,,,,,,,,0.74,,2016-02-11 12:01:23.542,,62
110310,110404,Accelerometer,,,,-0.018,-0.018,1.021,,,,,,,,,,0.76,,2016-02-11 12:01:23.542,,62
110311,110405,Accelerometer,,,,-0.02,-0.018,1.018,,,,,,,,,,0.78,,2016-02-11 12:01:23.543,,62
110312,110406,Accelerometer,,,,-0.026,-0.02,1.026,,,,,,,,,,0.8,,2016-02-11 12:01:23.543,,62
110313,110407,Accelerometer,,,,-0.017,-0.022,1.035,,,,,,,,,,0.82,,2016-02-11 12:01:23.543,,62
110314,110408,Accelerometer,,,,-0.015,-0.025,1.034,,,,,,,,,,0.84,,2016-02-11 12:01:23.543,,62
110315,110409,Accelerometer,,,,-0.021,-0.022,1.027,,,,,,,,,,0.86,,2016-02-11 12:01:23.543,,62
110316,110410,Accelerometer,,,,-0.021,-0.021,1.024,,,,,,,,,,0.88,,2016-02-11 12:01:23.544,,62
110317,110411,Accelerometer,,,,-0.026,-0.019,1.022,,,,,,,,,,0.9,,2016-02-11 12:01:23.544,,62
110318,110412,Accelerometer,,,,-0.026,-0.015,1.021,,,,,,,,,,0.92,,2016-02-11 12:01:23.544,,62
110319,110413,Accelerometer,,,,-0.016,-0.016,1.028,,,,,,,,,,0.94,,2016-02-11 12:01:23.544,,62
110320,110414,Accelerometer,,,,-0.012,-0.015,1.031,,,,,,,,,,0.96,,2016-02-11 12:01:23.544,,62
110321,110415,Accelerometer,,,,-0.015,-0.019,1.029,,,,,,,,,,0.98,,2016-02-11 12:01:23.545,,62
110322,110416,Accelerometer,,,,-0.014,-0.023,1.022,,,,,,,,,,1.0,,2016-02-11 12:01:23.545,,62
110323,110417,Accelerometer,,,,-0.014,-0.023,1.023,,,,,,,,,,1.02,,2016-02-11 12:01:23.545,,62
110324,110418,Accelerometer,,,,-0.025,-0.025,1.027,,,,,,,,,,1.04,,2016-02-11 12:01:23.545,,62
110325,110419,Accelerometer,,,,-0.021,-0.028,1.02,,,,,,,,,,1.06,,2016-02-11 12:01:23.546,,62
110326,110420,Accelerometer,,,,-0.021,-0.03,1.026,,,,,,,,,,1.08,,2016-02-11 12:01:23.546,,62
110327,110421,Accelerometer,,,,-0.02,-0.029,1.035,,,,,,,,,,1.1,,2016-02-11 12:01:23.546,,62
110328,110422,Accelerometer,,,,-0.021,-0.025,1.036,,,,,,,,,,1.12,,2016-02-11 12:01:23.546,,62
110329,110423,Accelerometer,,,,-0.023,-0.021,1.025,,,,,,,,,,1.14,,2016-02-11 12:01:23.546,,62
110330,110424,Accelerometer,,,,-0.021,-0.017,1.023,,,,,,,,,,1.16,,2016-02-11 12:01:23.547,,62
110331,110425,Accelerometer,,,,-0.016,-0.014,1.015,,,,,,,,,,1.18,,2016-02-11 12:01:23.547,,62
110332,110426,Accelerometer,,,,-0.019,-0.011,1.013,,,,,,,,,,1.2,,2016-02-11 12:01:23.547,,62
110333,110427,Accelerometer,,,,-0.022,-0.016,1.026,,,,,,,,,,1.22,,2016-02-11 12:01:23.547,,62
110334,110428,Accelerometer,,,,-0.021,-0.02,1.026,,,,,,,,,,1.24,,2016-02-11 12:01:23.548,,62
110335,110429,Accelerometer,,,,-0.018,-0.021,1.028,,,,,,,,,,1.26,,2016-02-11 12:01:23.549,,62
110336,110430,Accelerometer,,,,-0.018,-0.023,1.033,,,,,,,,,,1.28,,2016-02-11 12:01:23.549,,62
110337,110431,Accelerometer,,,,-0.017,-0.022,1.035,,,,,,,,,,1.3,,2016-02-11 12:01:23.549,,62
110338,110432,Accelerometer,,,,-0.017,-0.025,1.033,,,,,,,,,,1.32,,2016-02-11 12:01:23.550,,62
110339,110433,Accelerometer,,,,-0.018,-0.026,1.03,,,,,,,,,,1.34,,2016-02-11 12:01:23.550,,62
110340,110434,Accelerometer,,,,-0.014,-0.024,1.023,,,,,,,,,,1.36,,2016-02-11 12:01:23.550,,62
110341,110435,Accelerometer,,,,-0.006,-0.028,1.015,,,,,,,,,,1.38,,2016-02-11 12:01:23.550,,62
110342,110436,Accelerometer,,,,-0.009,-0.026,1.012,,,,,,,,,,1.4,,2016-02-11 12:01:23.551,,62
110343,110437,Accelerometer,,,,-0.012,-0.023,1.016,,,,,,,,,,1.42,,2016-02-11 12:01:23.551,,62
110344,110438,Accelerometer,,,,-0.022,-0.023,1.025,,,,,,,,,,1.44,,2016-02-11 12:01:23.551,,62
110345,110439,Accelerometer,,,,-0.033,-0.021,1.039,,,,,,,,,,1.46,,2016-02-11 12:01:23.552,,62
110346,110440,Accelerometer,,,,-0.025,-0.022,1.034,,,,,,,,,,1.48,,2016-02-11 12:01:23.552,,62
110347,110441,Accelerometer,,,,-0.014,-0.02,1.027,,,,,,,,,,1.5,,2016-02-11 12:01:23.552,,62
110348,110442,Accelerometer,,,,-0.011,-0.015,1.03,,,,,,,,,,1.52,,2016-02-11 12:01:23.552,,62
110349,110443,Accelerometer,,,,0.0,-0.018,1.015,,,,,,,,,,1.54,,2016-02-11 12:01:23.553,,62
110350,110444,Accelerometer,,,,0.001,-0.024,1.013,,,,,,,,,,1.56,,2016-02-11 12:01:23.553,,62
