,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
131876,131970,Accelerometer,,,,0.009,-0.071,1.01,,,,,,,,,,0.0,,2016-02-11 12:17:05.825,,67
131877,131971,Accelerometer,,,,0.024,-0.05,1.01,,,,,,,,,,0.02,,2016-02-11 12:17:05.825,,67
131878,131972,Accelerometer,,,,0.012,-0.057,1.003,,,,,,,,,,0.04,,2016-02-11 12:17:05.826,,67
131879,131973,Accelerometer,,,,-0.081,-0.119,1.008,,,,,,,,,,0.06,,2016-02-11 12:17:05.826,,67
131880,131974,Accelerometer,,,,-0.063,-0.108,1.022,,,,,,,,,,0.08,,2016-02-11 12:17:05.826,,67
131881,131975,Accelerometer,,,,-0.031,-0.097,1.033,,,,,,,,,,0.1,,2016-02-11 12:17:05.826,,67
131882,131976,Accelerometer,,,,-0.036,-0.119,1.026,,,,,,,,,,0.12,,2016-02-11 12:17:05.827,,67
131883,131977,Accelerometer,,,,-0.046,-0.128,1.016,,,,,,,,,,0.14,,2016-02-11 12:17:05.827,,67
131884,131978,Accelerometer,,,,-0.023,-0.105,1.026,,,,,,,,,,0.16,,2016-02-11 12:17:05.827,,67
131885,131979,Accelerometer,,,,0.037,-0.064,1.035,,,,,,,,,,0.18,,2016-02-11 12:17:05.827,,67
131886,131980,Accelerometer,,,,0.09,-0.028,1.01,,,,,,,,,,0.2,,2016-02-11 12:17:05.827,,67
131887,131981,Accelerometer,,,,0.04,-0.048,0.995,,,,,,,,,,0.22,,2016-02-11 12:17:05.828,,67
131888,131982,Accelerometer,,,,0.002,-0.073,1.006,,,,,,,,,,0.24,,2016-02-11 12:17:05.828,,67
131889,131983,Accelerometer,,,,-0.012,-0.085,1.0,,,,,,,,,,0.26,,2016-02-11 12:17:05.828,,67
131890,131984,Accelerometer,,,,-0.017,-0.086,1.013,,,,,,,,,,0.28,,2016-02-11 12:17:05.828,,67
131891,131985,Accelerometer,,,,-0.035,-0.094,1.019,,,,,,,,,,0.3,,2016-02-11 12:17:05.828,,67
131892,131986,Accelerometer,,,,-0.039,-0.088,1.001,,,,,,,,,,0.32,,2016-02-11 12:17:05.829,,67
131893,131987,Accelerometer,,,,0.025,-0.069,0.979,,,,,,,,,,0.34,,2016-02-11 12:17:05.829,,67
131894,131988,Accelerometer,,,,-0.022,-0.063,1.023,,,,,,,,,,0.36,,2016-02-11 12:17:05.829,,67
131895,131989,Accelerometer,,,,-0.01,-0.104,1.072,,,,,,,,,,0.38,,2016-02-11 12:17:05.829,,67
131896,131990,Accelerometer,,,,0.004,-0.123,1.084,,,,,,,,,,0.4,,2016-02-11 12:17:05.830,,67
131897,131991,Accelerometer,,,,-0.013,-0.127,1.066,,,,,,,,,,0.42,,2016-02-11 12:17:05.830,,67
131898,131992,Accelerometer,,,,-0.035,-0.135,1.05,,,,,,,,,,0.44,,2016-02-11 12:17:05.830,,67
131899,131993,Accelerometer,,,,-0.021,-0.11,1.015,,,,,,,,,,0.46,,2016-02-11 12:17:05.830,,67
131900,131994,Accelerometer,,,,-0.011,-0.095,0.996,,,,,,,,,,0.48,,2016-02-11 12:17:05.830,,67
131901,131995,Accelerometer,,,,-0.005,-0.098,0.987,,,,,,,,,,0.5,,2016-02-11 12:17:05.831,,67
131902,131996,Accelerometer,,,,-0.023,-0.129,1.0,,,,,,,,,,0.52,,2016-02-11 12:17:05.831,,67
131903,131997,Accelerometer,,,,0.006,-0.123,1.0,,,,,,,,,,0.54,,2016-02-11 12:17:05.831,,67
131904,131998,Accelerometer,,,,0.017,-0.11,0.993,,,,,,,,,,0.56,,2016-02-11 12:17:05.831,,67
131905,131999,Accelerometer,,,,0.005,-0.128,1.009,,,,,,,,,,0.58,,2016-02-11 12:17:05.831,,67
131906,132000,Accelerometer,,,,0.021,-0.146,1.015,,,,,,,,,,0.6,,2016-02-11 12:17:05.832,,67
131907,132001,Accelerometer,,,,0.006,-0.162,1.033,,,,,,,,,,0.62,,2016-02-11 12:17:05.832,,67
131908,132002,Accelerometer,,,,0.022,-0.166,1.036,,,,,,,,,,0.64,,2016-02-11 12:17:05.832,,67
131909,132003,Accelerometer,,,,0.054,-0.15,1.038,,,,,,,,,,0.66,,2016-02-11 12:17:05.832,,67
131910,132004,Accelerometer,,,,0.028,-0.125,1.029,,,,,,,,,,0.68,,2016-02-11 12:17:05.833,,67
131911,132005,Accelerometer,,,,0.053,-0.119,1.011,,,,,,,,,,0.7,,2016-02-11 12:17:05.833,,67
131912,132006,Accelerometer,,,,0.045,-0.113,1.016,,,,,,,,,,0.72,,2016-02-11 12:17:05.833,,67
131913,132007,Accelerometer,,,,0.022,-0.105,1.004,,,,,,,,,,0.74,,2016-02-11 12:17:05.833,,67
131914,132008,Accelerometer,,,,0.032,-0.108,1.005,,,,,,,,,,0.76,,2016-02-11 12:17:05.834,,67
131915,132009,Accelerometer,,,,0.01,-0.118,0.981,,,,,,,,,,0.78,,2016-02-11 12:17:05.834,,67
131916,132010,Accelerometer,,,,-0.019,-0.12,0.96,,,,,,,,,,0.8,,2016-02-11 12:17:05.834,,67
131917,132011,Accelerometer,,,,-0.011,-0.116,0.986,,,,,,,,,,0.82,,2016-02-11 12:17:05.834,,67
131918,132012,Accelerometer,,,,0.045,-0.102,1.076,,,,,,,,,,0.84,,2016-02-11 12:17:05.834,,67
131919,132013,Accelerometer,,,,0.037,-0.103,1.094,,,,,,,,,,0.86,,2016-02-11 12:17:05.835,,67
131920,132014,Accelerometer,,,,0.009,-0.11,1.067,,,,,,,,,,0.88,,2016-02-11 12:17:05.835,,67
131921,132015,Accelerometer,,,,-0.032,-0.126,1.008,,,,,,,,,,0.9,,2016-02-11 12:17:05.835,,67
131922,132016,Accelerometer,,,,-0.014,-0.109,0.973,,,,,,,,,,0.92,,2016-02-11 12:17:05.835,,67
131923,132017,Accelerometer,,,,-0.02,-0.097,0.964,,,,,,,,,,0.94,,2016-02-11 12:17:05.835,,67
131924,132018,Accelerometer,,,,-0.017,-0.1,0.989,,,,,,,,,,0.96,,2016-02-11 12:17:05.836,,67
131925,132019,Accelerometer,,,,0.043,-0.106,1.036,,,,,,,,,,0.98,,2016-02-11 12:17:05.836,,67
131926,132020,Accelerometer,,,,0.065,-0.096,1.031,,,,,,,,,,1.0,,2016-02-11 12:17:05.836,,67
131927,132021,Accelerometer,,,,0.066,-0.096,1.021,,,,,,,,,,1.02,,2016-02-11 12:17:05.836,,67
131928,132022,Accelerometer,,,,0.055,-0.104,1.014,,,,,,,,,,1.04,,2016-02-11 12:17:05.837,,67
131929,132023,Accelerometer,,,,0.087,-0.105,0.981,,,,,,,,,,1.06,,2016-02-11 12:17:05.837,,67
131930,132024,Accelerometer,,,,0.085,-0.101,0.987,,,,,,,,,,1.08,,2016-02-11 12:17:05.837,,67
131931,132025,Accelerometer,,,,0.068,-0.133,0.991,,,,,,,,,,1.1,,2016-02-11 12:17:05.837,,67
131932,132026,Accelerometer,,,,0.05,-0.176,1.012,,,,,,,,,,1.12,,2016-02-11 12:17:05.837,,67
131933,132027,Accelerometer,,,,0.043,-0.174,1.04,,,,,,,,,,1.14,,2016-02-11 12:17:05.838,,67
131934,132028,Accelerometer,,,,0.069,-0.142,1.042,,,,,,,,,,1.16,,2016-02-11 12:17:05.838,,67
131935,132029,Accelerometer,,,,0.078,-0.126,1.036,,,,,,,,,,1.18,,2016-02-11 12:17:05.838,,67
131936,132030,Accelerometer,,,,0.061,-0.132,1.023,,,,,,,,,,1.2,,2016-02-11 12:17:05.838,,67
131937,132031,Accelerometer,,,,0.059,-0.139,0.995,,,,,,,,,,1.22,,2016-02-11 12:17:05.839,,67
131938,132032,Accelerometer,,,,0.069,-0.149,0.978,,,,,,,,,,1.24,,2016-02-11 12:17:05.840,,67
131939,132033,Accelerometer,,,,0.079,-0.135,0.981,,,,,,,,,,1.26,,2016-02-11 12:17:05.840,,67
131940,132034,Accelerometer,,,,0.086,-0.124,0.99,,,,,,,,,,1.28,,2016-02-11 12:17:05.840,,67
131941,132035,Accelerometer,,,,0.101,-0.121,1.008,,,,,,,,,,1.3,,2016-02-11 12:17:05.840,,67
131942,132036,Accelerometer,,,,0.101,-0.122,1.035,,,,,,,,,,1.32,,2016-02-11 12:17:05.840,,67
131943,132037,Accelerometer,,,,0.086,-0.128,1.028,,,,,,,,,,1.34,,2016-02-11 12:17:05.841,,67
131944,132038,Accelerometer,,,,0.086,-0.128,1.01,,,,,,,,,,1.36,,2016-02-11 12:17:05.841,,67
131945,132039,Accelerometer,,,,0.088,-0.128,1.002,,,,,,,,,,1.38,,2016-02-11 12:17:05.841,,67
131946,132040,Accelerometer,,,,0.087,-0.131,0.999,,,,,,,,,,1.4,,2016-02-11 12:17:05.841,,67
131947,132041,Accelerometer,,,,0.077,-0.132,0.989,,,,,,,,,,1.42,,2016-02-11 12:17:05.842,,67
131948,132042,Accelerometer,,,,0.072,-0.137,0.993,,,,,,,,,,1.44,,2016-02-11 12:17:05.842,,67
131949,132043,Accelerometer,,,,0.067,-0.137,0.998,,,,,,,,,,1.46,,2016-02-11 12:17:05.842,,67
131950,132044,Accelerometer,,,,0.069,-0.137,1.003,,,,,,,,,,1.48,,2016-02-11 12:17:05.842,,67
131951,132045,Accelerometer,,,,0.075,-0.15,1.007,,,,,,,,,,1.5,,2016-02-11 12:17:05.842,,67
131952,132046,Accelerometer,,,,0.076,-0.156,1.004,,,,,,,,,,1.52,,2016-02-11 12:17:05.843,,67
131953,132047,Accelerometer,,,,0.071,-0.157,1.003,,,,,,,,,,1.54,,2016-02-11 12:17:05.843,,67
131954,132048,Accelerometer,,,,0.064,-0.156,1.004,,,,,,,,,,1.56,,2016-02-11 12:17:05.843,,67
131955,132049,Accelerometer,,,,0.051,-0.15,0.999,,,,,,,,,,1.58,,2016-02-11 12:17:05.843,,67
131956,132050,Accelerometer,,,,0.049,-0.146,1.005,,,,,,,,,,1.6,,2016-02-11 12:17:05.843,,67
131957,132051,Accelerometer,,,,0.047,-0.14,1.006,,,,,,,,,,1.62,,2016-02-11 12:17:05.844,,67
131958,132052,Accelerometer,,,,0.045,-0.134,1.011,,,,,,,,,,1.64,,2016-02-11 12:17:05.844,,67
131959,132053,Accelerometer,,,,0.045,-0.135,1.011,,,,,,,,,,1.66,,2016-02-11 12:17:05.844,,67
131960,132054,Accelerometer,,,,0.049,-0.139,1.008,,,,,,,,,,1.68,,2016-02-11 12:17:05.844,,67
131961,132055,Accelerometer,,,,0.066,-0.137,1.0,,,,,,,,,,1.7,,2016-02-11 12:17:05.845,,67
131962,132056,Accelerometer,,,,0.073,-0.138,1.008,,,,,,,,,,1.72,,2016-02-11 12:17:05.845,,67
131963,132057,Accelerometer,,,,0.072,-0.139,1.018,,,,,,,,,,1.74,,2016-02-11 12:17:05.845,,67
131964,132058,Accelerometer,,,,0.071,-0.135,1.026,,,,,,,,,,1.76,,2016-02-11 12:17:05.845,,67
131965,132059,Accelerometer,,,,0.071,-0.135,1.025,,,,,,,,,,1.78,,2016-02-11 12:17:05.845,,67
