,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
25608,25702,Accel_Log,,,,-0.279,-0.864,0.413,,,,,,,,,,30462815457,,2016-01-09 17:05:37.039,,31
25609,25703,Accel_Log,,,,-0.281,-0.874,0.418,,,,,,,,,,30466828374,,2016-01-09 17:05:37.120,,31
25610,25704,Gyro_Log,,,,-0.854,1.341,-0.061,,,,,,,,,,30270099156,,2016-01-09 17:05:37.120,,31
25611,25705,Accel_Log,,,,-0.284,-0.873,0.417,,,,,,,,,,30499882958,,2016-01-09 17:05:37.160,,31
25612,25706,Gyro_Log,,,,-0.610,1.463,-0.244,,,,,,,,,,30302393478,,2016-01-09 17:05:37.160,,31
25613,25707,Accel_Log,,,,-0.286,-0.876,0.417,,,,,,,,,,30503499989,,2016-01-09 17:05:37.199,,31
25614,25708,Gyro_Log,,,,-0.671,1.707,0.000,,,,,,,,,,30305113426,,2016-01-09 17:05:37.199,,31
25615,25709,Accel_Log,,,,-0.283,-0.873,0.419,,,,,,,,,,30551627541,,2016-01-09 17:05:37.239,,31
25616,25710,Gyro_Log,,,,-0.854,1.829,0.183,,,,,,,,,,30354690666,,2016-01-09 17:05:37.239,,31
25617,25711,Accel_Log,,,,-0.287,-0.873,0.416,,,,,,,,,,30560355874,,2016-01-09 17:05:37.278,,31
25618,25712,Gyro_Log,,,,-0.976,1.585,0.244,,,,,,,,,,30361807749,,2016-01-09 17:05:37.278,,31
25619,25713,Accel_Log,,,,-0.288,-0.869,0.414,,,,,,,,,,30599539728,,2016-01-09 17:05:37.318,,31
25620,25714,Gyro_Log,,,,-0.732,1.098,0.427,,,,,,,,,,30401623947,,2016-01-09 17:05:37.318,,31
25621,25715,Accel_Log,,,,-0.282,-0.875,0.416,,,,,,,,,,30602617228,,2016-01-09 17:05:37.357,,31
25622,25716,Gyro_Log,,,,-1.037,0.671,0.366,,,,,,,,,,30404035562,,2016-01-09 17:05:37.359,,31
25623,25717,Accel_Log,,,,-0.289,-0.874,0.410,,,,,,,,,,30649317228,,2016-01-09 17:05:37.398,,31
25624,25718,Gyro_Log,,,,-1.707,0.671,0.244,,,,,,,,,,30451940249,,2016-01-09 17:05:37.398,,31
25625,25719,Accel_Log,,,,-0.283,-0.879,0.415,,,,,,,,,,30653469572,,2016-01-09 17:05:37.438,,31
25626,25720,Gyro_Log,,,,-1.098,1.28,0.061,,,,,,,,,,30455911551,,2016-01-09 17:05:37.438,,31
25627,25721,Accel_Log,,,,-0.270,-0.87,0.421,,,,,,,,,,30700003374,,2016-01-09 17:05:37.477,,31
25628,25722,Gyro_Log,,,,0.061,1.22,-0.793,,,,,,,,,,30502647645,,2016-01-09 17:05:37.477,,31
25629,25723,Accel_Log,,,,-0.276,-0.887,0.422,,,,,,,,,,30703392957,,2016-01-09 17:05:37.517,,31
25630,25724,Gyro_Log,,,,-0.488,1.22,-2.500,,,,,,,,,,30504900353,,2016-01-09 17:05:37.517,,31
25631,25725,Accel_Log,,,,-0.291,-0.885,0.405,,,,,,,,,,30749374780,,2016-01-09 17:05:37.557,,31
25632,25726,Gyro_Log,,,,-1.220,2.866,-3.110,,,,,,,,,,30551315822,,2016-01-09 17:05:37.557,,31
25633,25727,Accel_Log,,,,-0.303,-0.86,0.400,,,,,,,,,,30752687593,,2016-01-09 17:05:37.596,,31
25634,25728,Gyro_Log,,,,0.671,7.988,-3.598,,,,,,,,,,30554104572,,2016-01-09 17:05:37.596,,31
25635,25729,Accel_Log,,,,-0.298,-0.856,0.409,,,,,,,,,,30799516551,,2016-01-09 17:05:37.636,,31
