,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
29000,29094,Accel_Log,,,,0.824,-0.318,0.267,,,,,,,,,,25109363218,,2016-01-09 17:12:51.603,,33
29001,29095,Accel_Log,,,,0.834,-0.322,0.274,,,,,,,,,,25111645041,,2016-01-09 17:12:51.644,,33
29002,29096,Gyro_Log,,,,-3.049,-0.122,-0.671,,,,,,,,,,24918948219,,2016-01-09 17:12:51.644,,33
29003,29097,Accel_Log,,,,0.835,-0.323,0.269,,,,,,,,,,25155273166,,2016-01-09 17:12:51.684,,33
29004,29098,Accel_Log,,,,0.829,-0.33,0.272,,,,,,,,,,25158659155,,2016-01-09 17:12:51.723,,33
29005,29099,Accel_Log,,,,0.831,-0.322,0.268,,,,,,,,,,25203902749,,2016-01-09 17:12:51.763,,33
29006,29100,Accel_Log,,,,0.834,-0.319,0.269,,,,,,,,,,25207761291,,2016-01-09 17:12:51.802,,33
29007,29101,Accel_Log,,,,0.829,-0.321,0.267,,,,,,,,,,25251706447,,2016-01-09 17:12:51.842,,33
29008,29102,Accel_Log,,,,0.831,-0.323,0.268,,,,,,,,,,25253148010,,2016-01-09 17:12:51.881,,33
29009,29103,Accel_Log,,,,0.840,-0.325,0.275,,,,,,,,,,25300438166,,2016-01-09 17:12:51.922,,33
29010,29104,Accel_Log,,,,0.827,-0.318,0.276,,,,,,,,,,25301815926,,2016-01-09 17:12:51.962,,33
29011,29105,Accel_Log,,,,0.847,-0.322,0.277,,,,,,,,,,25350707385,,2016-01-09 17:12:52.002,,33
29012,29106,Accel_Log,,,,0.847,-0.341,0.268,,,,,,,,,,25352080562,,2016-01-09 17:12:52.041,,33
29013,29107,Accel_Log,,,,0.857,-0.336,0.262,,,,,,,,,,25398021343,,2016-01-09 17:12:52.081,,33
29014,29108,Accel_Log,,,,0.860,-0.328,0.279,,,,,,,,,,25400627697,,2016-01-09 17:12:52.120,,33
29015,29109,Accel_Log,,,,0.820,-0.305,0.294,,,,,,,,,,25446750301,,2016-01-09 17:12:52.161,,33
29016,29110,Accel_Log,,,,0.844,-0.318,0.347,,,,,,,,,,25496108687,,2016-01-09 17:12:52.201,,33
29017,29111,Accel_Log,,,,0.861,-0.322,0.416,,,,,,,,,,25498677957,,2016-01-09 17:12:52.280,,33
29018,29112,Accel_Log,,,,0.781,-0.322,0.441,,,,,,,,,,25545163999,,2016-01-09 17:12:52.319,,33
29019,29113,Accel_Log,,,,0.733,-0.315,0.487,,,,,,,,,,25547131082,,2016-01-09 17:12:52.359,,33
29020,29114,Accel_Log,,,,0.757,-0.305,0.521,,,,,,,,,,25593802906,,2016-01-09 17:12:52.399,,33
29021,29115,Accel_Log,,,,0.749,-0.306,0.541,,,,,,,,,,25596238582,,2016-01-09 17:12:52.440,,33
29022,29116,Accel_Log,,,,0.702,-0.336,0.595,,,,,,,,,,25642546708,,2016-01-09 17:12:52.519,,33
29023,29117,Accel_Log,,,,0.646,-0.37,0.639,,,,,,,,,,25690632801,,2016-01-09 17:12:52.558,,33
29024,29118,Accel_Log,,,,0.583,-0.33,0.656,,,,,,,,,,25692769468,,2016-01-09 17:12:52.598,,33
29025,29119,Accel_Log,,,,0.455,-0.346,0.766,,,,,,,,,,25739223635,,2016-01-09 17:12:52.637,,33
29026,29120,Accel_Log,,,,0.327,-0.306,0.773,,,,,,,,,,25740938687,,2016-01-09 17:12:52.678,,33
29027,29121,Accel_Log,,,,0.295,-0.157,0.833,,,,,,,,,,25787911707,,2016-01-09 17:12:52.718,,33
29028,29122,Accel_Log,,,,0.249,-0.093,0.985,,,,,,,,,,25789637124,,2016-01-09 17:12:52.757,,33
29029,29123,Accel_Log,,,,0.165,-0.159,1.070,,,,,,,,,,25836651655,,2016-01-09 17:12:52.797,,33
29030,29124,Accel_Log,,,,0.006,-0.136,1.047,,,,,,,,,,25839205093,,2016-01-09 17:12:52.837,,33
29031,29125,Accel_Log,,,,0.000,-0.197,1.000,,,,,,,,,,25886030457,,2016-01-09 17:12:52.876,,33
29032,29126,Accel_Log,,,,0.105,-0.166,0.945,,,,,,,,,,25888400457,,2016-01-09 17:12:52.916,,33
29033,29127,Accel_Log,,,,0.046,-0.296,1.044,,,,,,,,,,26032176291,,2016-01-09 17:12:52.957,,33
29034,29128,Accel_Log,,,,0.046,-0.214,1.012,,,,,,,,,,26035096916,,2016-01-09 17:12:52.996,,33
29035,29129,Accel_Log,,,,0.061,-0.109,0.942,,,,,,,,,,26081157281,,2016-01-09 17:12:53.036,,33
29036,29130,Accel_Log,,,,-0.004,-0.134,0.940,,,,,,,,,,26084037697,,2016-01-09 17:12:53.075,,33
29037,29131,Accel_Log,,,,-0.000,-0.241,1.020,,,,,,,,,,26129823635,,2016-01-09 17:12:53.115,,33
29038,29132,Accel_Log,,,,0.080,-0.276,1.085,,,,,,,,,,26132669937,,2016-01-09 17:12:53.154,,33
29039,29133,Accel_Log,,,,0.093,-0.209,1.022,,,,,,,,,,26178541759,,2016-01-09 17:12:53.195,,33
29040,29134,Accel_Log,,,,0.088,-0.177,1.016,,,,,,,,,,26181221864,,2016-01-09 17:12:53.235,,33
29041,29135,Accel_Log,,,,0.111,-0.165,0.994,,,,,,,,,,26227192437,,2016-01-09 17:12:53.275,,33
29042,29136,Accel_Log,,,,0.091,-0.126,0.967,,,,,,,,,,26229624624,,2016-01-09 17:12:53.314,,33
29043,29137,Accel_Log,,,,0.092,-0.074,0.980,,,,,,,,,,26275976499,,2016-01-09 17:12:53.354,,33
29044,29138,Accel_Log,,,,0.105,-0.057,1.007,,,,,,,,,,26278647228,,2016-01-09 17:12:53.393,,33
29045,29139,Accel_Log,,,,0.062,-0.01,1.025,,,,,,,,,,26325232124,,2016-01-09 17:12:53.433,,33
29046,29140,Accel_Log,,,,0.061,-0.001,1.042,,,,,,,,,,26327491395,,2016-01-09 17:12:53.474,,33
29047,29141,Accel_Log,,,,0.115,-0.048,1.056,,,,,,,,,,26373492905,,2016-01-09 17:12:53.513,,33
29048,29142,Accel_Log,,,,0.098,-0.007,1.076,,,,,,,,,,26375953478,,2016-01-09 17:12:53.553,,33
29049,29143,Accel_Log,,,,-0.016,0.031,1.064,,,,,,,,,,26422279937,,2016-01-09 17:12:53.592,,33
29050,29144,Accel_Log,,,,-0.106,0.102,0.990,,,,,,,,,,26424883322,,2016-01-09 17:12:53.632,,33
29051,29145,Accel_Log,,,,-0.204,-0.068,1.035,,,,,,,,,,26471032593,,2016-01-09 17:12:53.671,,33
29052,29146,Accel_Log,,,,-0.277,-0.244,1.117,,,,,,,,,,26473901864,,2016-01-09 17:12:53.713,,33
29053,29147,Accel_Log,,,,-0.130,-0.202,0.856,,,,,,,,,,26520064260,,2016-01-09 17:12:53.792,,33
29054,29148,Accel_Log,,,,-0.188,-0.214,0.867,,,,,,,,,,26522806864,,2016-01-09 17:12:53.831,,33
29055,29149,Accel_Log,,,,-0.417,-0.256,0.989,,,,,,,,,,26568289155,,2016-01-09 17:12:53.871,,33
29056,29150,Accel_Log,,,,-0.468,-0.237,0.989,,,,,,,,,,26571066603,,2016-01-09 17:12:53.910,,33
29057,29151,Accel_Log,,,,-0.466,-0.167,0.936,,,,,,,,,,26617081499,,2016-01-09 17:12:53.950,,33
29058,29152,Accel_Log,,,,-0.442,-0.171,0.918,,,,,,,,,,26619985249,,2016-01-09 17:12:53.991,,33
29059,29153,Accel_Log,,,,-0.451,-0.303,0.989,,,,,,,,,,26665815457,,2016-01-09 17:12:54.030,,33
29060,29154,Accel_Log,,,,-0.496,-0.348,0.968,,,,,,,,,,26668401759,,2016-01-09 17:12:54.070,,33
29061,29155,Accel_Log,,,,-0.544,-0.287,0.923,,,,,,,,,,26715077749,,2016-01-09 17:12:54.109,,33
29062,29156,Accel_Log,,,,-0.525,-0.164,0.838,,,,,,,,,,26763008635,,2016-01-09 17:12:54.149,,33
29063,29157,Accel_Log,,,,-0.603,-0.063,0.705,,,,,,,,,,26765072489,,2016-01-09 17:12:54.190,,33
29064,29158,Accel_Log,,,,-0.795,-0.15,0.728,,,,,,,,,,26811478114,,2016-01-09 17:12:54.230,,33
29065,29159,Accel_Log,,,,-0.774,-0.256,0.751,,,,,,,,,,26909541499,,2016-01-09 17:12:54.269,,33
29066,29160,Accel_Log,,,,-0.783,-0.272,0.688,,,,,,,,,,26912084572,,2016-01-09 17:12:54.309,,33
29067,29161,Accel_Log,,,,-0.811,-0.255,0.619,,,,,,,,,,26958274936,,2016-01-09 17:12:54.348,,33
29068,29162,Accel_Log,,,,-0.880,-0.251,0.660,,,,,,,,,,26960405874,,2016-01-09 17:12:54.388,,33
29069,29163,Accel_Log,,,,-0.922,-0.24,0.587,,,,,,,,,,27006987489,,2016-01-09 17:12:54.427,,33
29070,29164,Accel_Log,,,,-0.839,-0.135,0.452,,,,,,,,,,27009104989,,2016-01-09 17:12:54.467,,33
29071,29165,Accel_Log,,,,-0.921,-0.197,0.401,,,,,,,,,,27055710457,,2016-01-09 17:12:54.508,,33
29072,29166,Accel_Log,,,,-0.971,-0.205,0.354,,,,,,,,,,27057629988,,2016-01-09 17:12:54.547,,33
29073,29167,Accel_Log,,,,-0.943,-0.157,0.323,,,,,,,,,,27104787957,,2016-01-09 17:12:54.587,,33
29074,29168,Accel_Log,,,,-0.999,-0.132,0.365,,,,,,,,,,27106533270,,2016-01-09 17:12:54.627,,33
