,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
30794,30888,Accel_Log,,,,-0.027,-1.008,-0.076,,,,,,,,,,23453261502,,2016-01-09 17:19:06.311,,35
30795,30889,Accel_Log,,,,0.302,-0.891,0.005,,,,,,,,,,23457598117,,2016-01-09 17:19:06.430,,35
30796,30890,Accel_Log,,,,0.304,-0.9,0.009,,,,,,,,,,23459533742,,2016-01-09 17:19:06.469,,35
30797,30891,Accel_Log,,,,0.307,-0.9,0.015,,,,,,,,,,23497306346,,2016-01-09 17:19:06.510,,35
30798,30892,Gyro_Log,,,,2.195,1.463,-0.366,,,,,,,,,,23307056867,,2016-01-09 17:19:06.510,,35
30799,30893,Accel_Log,,,,0.306,-0.901,0.015,,,,,,,,,,23503503325,,2016-01-09 17:19:06.550,,35
30800,30894,Gyro_Log,,,,1.768,0.732,-0.183,,,,,,,,,,23310346138,,2016-01-09 17:19:06.550,,35
30801,30895,Accel_Log,,,,0.307,-0.899,0.014,,,,,,,,,,23553420044,,2016-01-09 17:19:06.589,,35
30802,30896,Gyro_Log,,,,1.585,0.915,-0.488,,,,,,,,,,23360459002,,2016-01-09 17:19:06.589,,35
30803,30897,Accel_Log,,,,0.306,-0.901,0.020,,,,,,,,,,23555484367,,2016-01-09 17:19:06.629,,35
30804,30898,Gyro_Log,,,,1.159,1.402,-0.610,,,,,,,,,,23362330513,,2016-01-09 17:19:06.629,,35
30805,30899,Accel_Log,,,,0.305,-0.9,0.019,,,,,,,,,,23594772856,,2016-01-09 17:19:06.668,,35
30806,30900,Gyro_Log,,,,0.488,1.037,-0.671,,,,,,,,,,23401829419,,2016-01-09 17:19:06.668,,35
30807,30901,Accel_Log,,,,0.304,-0.9,0.019,,,,,,,,,,23643730669,,2016-01-09 17:19:06.708,,35
30808,30902,Gyro_Log,,,,0.549,0.793,-0.976,,,,,,,,,,23546802179,,2016-01-09 17:19:06.709,,35
30809,30903,Accel_Log,,,,0.307,-0.9,0.021,,,,,,,,,,23743117752,,2016-01-09 17:19:06.747,,35
30810,30904,Gyro_Log,,,,0.610,0.793,-0.915,,,,,,,,,,23550089836,,2016-01-09 17:19:06.749,,35
30811,30905,Accel_Log,,,,0.305,-0.899,0.021,,,,,,,,,,23745479992,,2016-01-09 17:19:06.788,,35
30812,30906,Gyro_Log,,,,0.854,0.671,-0.854,,,,,,,,,,23595924263,,2016-01-09 17:19:06.788,,35
30813,30907,Accel_Log,,,,0.306,-0.9,0.025,,,,,,,,,,23792379106,,2016-01-09 17:19:06.828,,35
30814,30908,Gyro_Log,,,,0.793,0.976,-0.976,,,,,,,,,,23600244575,,2016-01-09 17:19:06.828,,35
30815,30909,Accel_Log,,,,0.308,-0.9,0.026,,,,,,,,,,23796150408,,2016-01-09 17:19:06.868,,35
30816,30910,Gyro_Log,,,,0.793,1.22,-0.854,,,,,,,,,,23644342752,,2016-01-09 17:19:06.868,,35
30817,30911,Accel_Log,,,,0.306,-0.897,0.029,,,,,,,,,,23840749263,,2016-01-09 17:19:06.907,,35
30818,30912,Gyro_Log,,,,1.098,0.915,-0.732,,,,,,,,,,23647653586,,2016-01-09 17:19:06.907,,35
30819,30913,Accel_Log,,,,0.305,-0.899,0.029,,,,,,,,,,23842896919,,2016-01-09 17:19:06.947,,35
30820,30914,Gyro_Log,,,,0.854,0.976,-0.915,,,,,,,,,,23693196919,,2016-01-09 17:19:06.947,,35
30821,30915,Accel_Log,,,,0.308,-0.897,0.031,,,,,,,,,,23889353585,,2016-01-09 17:19:06.986,,35
30822,30916,Gyro_Log,,,,0.610,0.793,-0.793,,,,,,,,,,23697180825,,2016-01-09 17:19:06.988,,35
30823,30917,Accel_Log,,,,0.309,-0.895,0.020,,,,,,,,,,23893074419,,2016-01-09 17:19:07.027,,35
30824,30918,Gyro_Log,,,,0.122,0.427,-0.854,,,,,,,,,,23741841867,,2016-01-09 17:19:07.027,,35
30825,30919,Accel_Log,,,,0.305,-0.894,0.021,,,,,,,,,,23938526294,,2016-01-09 17:19:07.067,,35
30826,30920,Gyro_Log,,,,-0.610,0.61,-1.037,,,,,,,,,,23745389210,,2016-01-09 17:19:07.067,,35
30827,30921,Accel_Log,,,,0.309,-0.897,0.037,,,,,,,,,,23940454471,,2016-01-09 17:19:07.106,,35
30828,30922,Gyro_Log,,,,-0.854,0.244,-0.915,,,,,,,,,,23790582179,,2016-01-09 17:19:07.106,,35
30829,30923,Accel_Log,,,,0.313,-0.903,0.030,,,,,,,,,,23986712335,,2016-01-09 17:19:07.146,,35
30830,30924,Gyro_Log,,,,-0.183,-1.098,-0.244,,,,,,,,,,23793776658,,2016-01-09 17:19:07.146,,35
30831,30925,Accel_Log,,,,0.310,-0.897,0.024,,,,,,,,,,23989460252,,2016-01-09 17:19:07.185,,35
30832,30926,Gyro_Log,,,,-2.622,-2.622,0.000,,,,,,,,,,23839311450,,2016-01-09 17:19:07.185,,35
30833,30927,Accel_Log,,,,0.308,-0.895,0.030,,,,,,,,,,24035065877,,2016-01-09 17:19:07.226,,35
30834,30928,Gyro_Log,,,,-0.732,-0.854,-0.366,,,,,,,,,,23841987804,,2016-01-09 17:19:07.226,,35
30835,30929,Accel_Log,,,,0.310,-0.896,0.029,,,,,,,,,,24037110564,,2016-01-09 17:19:07.265,,35
30836,30930,Gyro_Log,,,,-0.854,0.305,-0.366,,,,,,,,,,23888289315,,2016-01-09 17:19:07.266,,35
30837,30931,Accel_Log,,,,0.316,-0.893,0.027,,,,,,,,,,24084744262,,2016-01-09 17:19:07.306,,35
30838,30932,Gyro_Log,,,,-2.195,-0.915,-0.244,,,,,,,,,,23892633690,,2016-01-09 17:19:07.306,,35
30839,30933,Accel_Log,,,,0.311,-0.894,0.022,,,,,,,,,,24088653898,,2016-01-09 17:19:07.345,,35
30840,30934,Gyro_Log,,,,-2.439,-0.366,-0.122,,,,,,,,,,23938240461,,2016-01-09 17:19:07.345,,35
30841,30935,Accel_Log,,,,0.315,-0.897,0.028,,,,,,,,,,24134438169,,2016-01-09 17:19:07.385,,35
30842,30936,Gyro_Log,,,,-3.963,0.427,0.122,,,,,,,,,,23942047075,,2016-01-09 17:19:07.385,,35
30843,30937,Accel_Log,,,,0.325,-0.899,0.022,,,,,,,,,,24137933950,,2016-01-09 17:19:07.424,,35
30844,30938,Gyro_Log,,,,-4.146,0.549,-0.244,,,,,,,,,,23985656867,,2016-01-09 17:19:07.424,,35
30845,30939,Accel_Log,,,,0.317,-0.897,0.017,,,,,,,,,,24180874836,,2016-01-09 17:19:07.464,,35
30846,30940,Gyro_Log,,,,-5.732,-0.061,-0.793,,,,,,,,,,23987763273,,2016-01-09 17:19:07.464,,35
