,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
23995,24089,Accel_Log,,,,-0.011,-0.246,1.001,,,,,,,,,,47800460815,,2016-01-09 17:01:47.799,,30
23996,24090,Gyro_Log,,,,-0.976,0.183,-0.427,,,,,,,,,,47650946856,,2016-01-09 17:01:47.958,,30
23997,24091,Gyro_Log,,,,-0.915,0.183,-0.366,,,,,,,,,,47652661179,,2016-01-09 17:01:47.998,,30
23998,24092,Gyro_Log,,,,-0.732,0.366,-0.366,,,,,,,,,,47700831179,,2016-01-09 17:01:48.037,,30
23999,24093,Gyro_Log,,,,-0.732,0.549,-0.427,,,,,,,,,,47702414044,,2016-01-09 17:01:48.077,,30
24000,24094,Gyro_Log,,,,-0.732,0.915,-0.366,,,,,,,,,,47750998419,,2016-01-09 17:01:48.118,,30
24001,24095,Gyro_Log,,,,-0.549,0.915,0.061,,,,,,,,,,47752710971,,2016-01-09 17:01:48.158,,30
24002,24096,Gyro_Log,,,,-0.305,0.61,-0.244,,,,,,,,,,47800817481,,2016-01-09 17:01:48.197,,30
24003,24097,Gyro_Log,,,,-0.244,0.61,0.000,,,,,,,,,,47802459565,,2016-01-09 17:01:48.237,,30
24004,24098,Gyro_Log,,,,0.061,1.402,-0.061,,,,,,,,,,47851110919,,2016-01-09 17:01:48.276,,30
24005,24099,Gyro_Log,,,,0.610,0.549,-0.183,,,,,,,,,,47853826492,,2016-01-09 17:01:48.316,,30
24006,24100,Gyro_Log,,,,-0.488,0.61,0.000,,,,,,,,,,47901171596,,2016-01-09 17:01:48.357,,30
24007,24101,Gyro_Log,,,,-0.366,0.427,-0.183,,,,,,,,,,47904014617,,2016-01-09 17:01:48.396,,30
24008,24102,Gyro_Log,,,,0.793,0.549,-0.183,,,,,,,,,,47951304877,,2016-01-09 17:01:48.436,,30
24009,24103,Gyro_Log,,,,0.549,0.61,0.305,,,,,,,,,,47953147742,,2016-01-09 17:01:48.475,,30
24010,24104,Gyro_Log,,,,0.549,0.366,1.280,,,,,,,,,,48000718263,,2016-01-09 17:01:48.515,,30
24011,24105,Gyro_Log,,,,0.610,0.854,2.439,,,,,,,,,,48003120502,,2016-01-09 17:01:48.555,,30
24012,24106,Gyro_Log,,,,0.671,1.28,3.171,,,,,,,,,,48051416648,,2016-01-09 17:01:48.594,,30
24013,24107,Gyro_Log,,,,1.402,1.341,3.659,,,,,,,,,,48053930554,,2016-01-09 17:01:48.635,,30
24014,24108,Gyro_Log,,,,2.622,1.037,4.329,,,,,,,,,,48101151440,,2016-01-09 17:01:48.675,,30
24015,24109,Gyro_Log,,,,3.720,0.488,4.878,,,,,,,,,,48103410606,,2016-01-09 17:01:48.714,,30
24016,24110,Gyro_Log,,,,5.244,2.134,4.329,,,,,,,,,,48151183106,,2016-01-09 17:01:48.754,,30
24017,24111,Gyro_Log,,,,6.220,7.439,5.183,,,,,,,,,,48152573835,,2016-01-09 17:01:48.793,,30
24018,24112,Gyro_Log,,,,5.488,12.073,7.012,,,,,,,,,,48201194252,,2016-01-09 17:01:48.833,,30
24019,24113,Gyro_Log,,,,3.841,11.768,8.841,,,,,,,,,,48202597273,,2016-01-09 17:01:48.874,,30
