,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
107352,107446,Accelerometer,,,,0.021,-0.955,-0.148,,,,,,,,,,0.0,,2016-02-11 11:57:14.427,,61
107353,107447,Accelerometer,,,,0.034,-0.957,-0.168,,,,,,,,,,0.02,,2016-02-11 11:57:14.427,,61
107354,107448,Accelerometer,,,,0.03,-0.967,-0.165,,,,,,,,,,0.04,,2016-02-11 11:57:14.427,,61
107355,107449,Accelerometer,,,,0.001,-0.983,-0.151,,,,,,,,,,0.06,,2016-02-11 11:57:14.427,,61
107356,107450,Accelerometer,,,,0.0,-0.983,-0.164,,,,,,,,,,0.08,,2016-02-11 11:57:14.428,,61
107357,107451,Accelerometer,,,,0.001,-0.986,-0.162,,,,,,,,,,0.1,,2016-02-11 11:57:14.428,,61
107358,107452,Accelerometer,,,,0.004,-0.983,-0.151,,,,,,,,,,0.12,,2016-02-11 11:57:14.428,,61
107359,107453,Accelerometer,,,,0.009,-0.983,-0.15,,,,,,,,,,0.14,,2016-02-11 11:57:14.429,,61
107360,107454,Accelerometer,,,,0.01,-0.988,-0.146,,,,,,,,,,0.16,,2016-02-11 11:57:14.429,,61
107361,107455,Accelerometer,,,,0.012,-0.977,-0.151,,,,,,,,,,0.18,,2016-02-11 11:57:14.430,,61
107362,107456,Accelerometer,,,,0.024,-0.973,-0.148,,,,,,,,,,0.2,,2016-02-11 11:57:14.430,,61
107363,107457,Accelerometer,,,,0.021,-0.973,-0.136,,,,,,,,,,0.22,,2016-02-11 11:57:14.430,,61
107364,107458,Accelerometer,,,,0.021,-0.97,-0.139,,,,,,,,,,0.24,,2016-02-11 11:57:14.430,,61
107365,107459,Accelerometer,,,,0.03,-0.96,-0.175,,,,,,,,,,0.26,,2016-02-11 11:57:14.430,,61
107366,107460,Accelerometer,,,,0.023,-0.962,-0.142,,,,,,,,,,0.28,,2016-02-11 11:57:14.431,,61
107367,107461,Accelerometer,,,,0.018,-0.958,-0.152,,,,,,,,,,0.3,,2016-02-11 11:57:14.431,,61
