,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
77877,77971,Accelerometer,,,,-0.079,-0.118,-1.002,,,,,,,,,,0.0,,2016-02-11 10:55:15.608,,56
77878,77972,Accelerometer,,,,-0.084,-0.122,-1.016,,,,,,,,,,0.02,,2016-02-11 10:55:15.609,,56
77879,77973,Accelerometer,,,,-0.077,-0.121,-1.027,,,,,,,,,,0.04,,2016-02-11 10:55:15.609,,56
77880,77974,Accelerometer,,,,-0.07,-0.121,-1.031,,,,,,,,,,0.06,,2016-02-11 10:55:15.609,,56
77881,77975,Accelerometer,,,,-0.076,-0.12,-1.022,,,,,,,,,,0.08,,2016-02-11 10:55:15.609,,56
77882,77976,Accelerometer,,,,-0.079,-0.124,-1.02,,,,,,,,,,0.1,,2016-02-11 10:55:15.610,,56
77883,77977,Accelerometer,,,,-0.077,-0.129,-1.017,,,,,,,,,,0.12,,2016-02-11 10:55:15.610,,56
77884,77978,Accelerometer,,,,-0.081,-0.129,-1.029,,,,,,,,,,0.14,,2016-02-11 10:55:15.610,,56
77885,77979,Accelerometer,,,,-0.087,-0.124,-1.022,,,,,,,,,,0.16,,2016-02-11 10:55:15.610,,56
77886,77980,Accelerometer,,,,-0.087,-0.124,-1.006,,,,,,,,,,0.18,,2016-02-11 10:55:15.611,,56
77887,77981,Accelerometer,,,,-0.093,-0.141,-1.025,,,,,,,,,,0.2,,2016-02-11 10:55:15.611,,56
77888,77982,Accelerometer,,,,-0.096,-0.14,-1.019,,,,,,,,,,0.22,,2016-02-11 10:55:15.611,,56
77889,77983,Accelerometer,,,,-0.087,-0.128,-1.017,,,,,,,,,,0.24,,2016-02-11 10:55:15.611,,56
77890,77984,Accelerometer,,,,-0.074,-0.127,-1.017,,,,,,,,,,0.26,,2016-02-11 10:55:15.612,,56
77891,77985,Accelerometer,,,,-0.082,-0.13,-1.016,,,,,,,,,,0.28,,2016-02-11 10:55:15.612,,56
77892,77986,Accelerometer,,,,-0.077,-0.124,-1.021,,,,,,,,,,0.3,,2016-02-11 10:55:15.612,,56
77893,77987,Accelerometer,,,,-0.083,-0.121,-1.021,,,,,,,,,,0.32,,2016-02-11 10:55:15.612,,56
77894,77988,Accelerometer,,,,-0.083,-0.125,-1.009,,,,,,,,,,0.34,,2016-02-11 10:55:15.612,,56
77895,77989,Accelerometer,,,,-0.077,-0.126,-0.99,,,,,,,,,,0.36,,2016-02-11 10:55:15.613,,56
77896,77990,Accelerometer,,,,-0.079,-0.139,-0.999,,,,,,,,,,0.38,,2016-02-11 10:55:15.613,,56
77897,77991,Accelerometer,,,,-0.081,-0.143,-1.032,,,,,,,,,,0.4,,2016-02-11 10:55:15.613,,56
77898,77992,Accelerometer,,,,-0.08,-0.128,-1.048,,,,,,,,,,0.42,,2016-02-11 10:55:15.614,,56
77899,77993,Accelerometer,,,,-0.083,-0.117,-1.027,,,,,,,,,,0.44,,2016-02-11 10:55:15.614,,56
77900,77994,Accelerometer,,,,-0.073,-0.114,-1.05,,,,,,,,,,0.46,,2016-02-11 10:55:15.615,,56
77901,77995,Accelerometer,,,,-0.087,-0.126,-1.041,,,,,,,,,,0.48,,2016-02-11 10:55:15.615,,56
77902,77996,Accelerometer,,,,-0.087,-0.127,-1.022,,,,,,,,,,0.5,,2016-02-11 10:55:15.615,,56
77903,77997,Accelerometer,,,,-0.066,-0.121,-1.022,,,,,,,,,,0.52,,2016-02-11 10:55:15.615,,56
