,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
99202,99296,Accelerometer,,,,-1.023,-0.329,0.187,,,,,,,,,,0.0,,2016-02-11 11:50:06.556,,59
99203,99297,Accelerometer,,,,-0.18,0.096,-1.022,,,,,,,,,,0.02,,2016-02-11 11:50:06.557,,59
99204,99298,Accelerometer,,,,-0.179,0.094,-1.019,,,,,,,,,,0.04,,2016-02-11 11:50:06.557,,59
99205,99299,Accelerometer,,,,-0.166,0.093,-1.024,,,,,,,,,,0.06,,2016-02-11 11:50:06.557,,59
99206,99300,Accelerometer,,,,-0.171,0.099,-1.03,,,,,,,,,,0.08,,2016-02-11 11:50:06.557,,59
99207,99301,Accelerometer,,,,-0.177,0.093,-1.018,,,,,,,,,,0.1,,2016-02-11 11:50:06.557,,59
99208,99302,Accelerometer,,,,-0.172,0.087,-1.005,,,,,,,,,,0.12,,2016-02-11 11:50:06.558,,59
99209,99303,Accelerometer,,,,-0.158,0.082,-1.006,,,,,,,,,,0.14,,2016-02-11 11:50:06.558,,59
99210,99304,Accelerometer,,,,-0.167,0.081,-1.017,,,,,,,,,,0.16,,2016-02-11 11:50:06.558,,59
99211,99305,Accelerometer,,,,-0.178,0.086,-1.011,,,,,,,,,,0.18,,2016-02-11 11:50:06.559,,59
99212,99306,Accelerometer,,,,-0.17,0.104,-1.02,,,,,,,,,,0.2,,2016-02-11 11:50:06.559,,59
99213,99307,Accelerometer,,,,-0.159,0.098,-1.033,,,,,,,,,,0.22,,2016-02-11 11:50:06.560,,59
99214,99308,Accelerometer,,,,-0.178,0.081,-1.028,,,,,,,,,,0.24,,2016-02-11 11:50:06.560,,59
99215,99309,Accelerometer,,,,-0.169,0.082,-1.027,,,,,,,,,,0.26,,2016-02-11 11:50:06.560,,59
99216,99310,Accelerometer,,,,-0.158,0.073,-1.019,,,,,,,,,,0.28,,2016-02-11 11:50:06.560,,59
99217,99311,Accelerometer,,,,-0.18,0.067,-1.016,,,,,,,,,,0.3,,2016-02-11 11:50:06.561,,59
99218,99312,Accelerometer,,,,-0.19,0.077,-1.003,,,,,,,,,,0.32,,2016-02-11 11:50:06.564,,59
99219,99313,Accelerometer,,,,-0.186,0.095,-1.009,,,,,,,,,,0.34,,2016-02-11 11:50:06.564,,59
99220,99314,Accelerometer,,,,-0.188,0.091,-1.013,,,,,,,,,,0.36,,2016-02-11 11:50:06.565,,59
99221,99315,Accelerometer,,,,-0.179,0.075,-0.997,,,,,,,,,,0.38,,2016-02-11 11:50:06.565,,59
99222,99316,Accelerometer,,,,-0.17,0.075,-1.005,,,,,,,,,,0.4,,2016-02-11 11:50:06.565,,59
99223,99317,Accelerometer,,,,-0.165,0.064,-1.01,,,,,,,,,,0.42,,2016-02-11 11:50:06.566,,59
99224,99318,Accelerometer,,,,-0.182,0.071,-1.008,,,,,,,,,,0.44,,2016-02-11 11:50:06.566,,59
99225,99319,Accelerometer,,,,-0.187,0.087,-1.022,,,,,,,,,,0.46,,2016-02-11 11:50:06.566,,59
99226,99320,Accelerometer,,,,-0.197,0.094,-1.03,,,,,,,,,,0.48,,2016-02-11 11:50:06.566,,59
99227,99321,Accelerometer,,,,-0.2,0.096,-1.024,,,,,,,,,,0.5,,2016-02-11 11:50:06.567,,59
99228,99322,Accelerometer,,,,-0.193,0.097,-1.02,,,,,,,,,,0.52,,2016-02-11 11:50:06.567,,59
99229,99323,Accelerometer,,,,-0.193,0.087,-1.017,,,,,,,,,,0.54,,2016-02-11 11:50:06.567,,59
99230,99324,Accelerometer,,,,-0.183,0.081,-1.016,,,,,,,,,,0.56,,2016-02-11 11:50:06.568,,59
99231,99325,Accelerometer,,,,-0.163,0.076,-1.021,,,,,,,,,,0.58,,2016-02-11 11:50:06.568,,59
99232,99326,Accelerometer,,,,-0.16,0.075,-1.022,,,,,,,,,,0.6,,2016-02-11 11:50:06.568,,59
99233,99327,Accelerometer,,,,-0.176,0.074,-1.015,,,,,,,,,,0.62,,2016-02-11 11:50:06.569,,59
99234,99328,Accelerometer,,,,-0.183,0.073,-1.005,,,,,,,,,,0.64,,2016-02-11 11:50:06.569,,59
99235,99329,Accelerometer,,,,-0.18,0.077,-1.004,,,,,,,,,,0.66,,2016-02-11 11:50:06.570,,59
99236,99330,Accelerometer,,,,-0.182,0.076,-1.0,,,,,,,,,,0.68,,2016-02-11 11:50:06.570,,59
99237,99331,Accelerometer,,,,-0.186,0.066,-0.988,,,,,,,,,,0.7,,2016-02-11 11:50:06.571,,59
99238,99332,Accelerometer,,,,-0.182,0.05,-1.0,,,,,,,,,,0.72,,2016-02-11 11:50:06.571,,59
99239,99333,Accelerometer,,,,-0.17,0.054,-1.004,,,,,,,,,,0.74,,2016-02-11 11:50:06.572,,59
99240,99334,Accelerometer,,,,-0.161,0.076,-1.02,,,,,,,,,,0.76,,2016-02-11 11:50:06.572,,59
99241,99335,Accelerometer,,,,-0.159,0.08,-1.044,,,,,,,,,,0.78,,2016-02-11 11:50:06.573,,59
99242,99336,Accelerometer,,,,-0.18,0.065,-1.038,,,,,,,,,,0.8,,2016-02-11 11:50:06.573,,59
99243,99337,Accelerometer,,,,-0.188,0.061,-1.029,,,,,,,,,,0.82,,2016-02-11 11:50:06.573,,59
99244,99338,Accelerometer,,,,-0.186,0.044,-0.998,,,,,,,,,,0.84,,2016-02-11 11:50:06.574,,59
99245,99339,Accelerometer,,,,-0.182,0.042,-0.982,,,,,,,,,,0.86,,2016-02-11 11:50:06.574,,59
99246,99340,Accelerometer,,,,-0.172,0.044,-0.988,,,,,,,,,,0.88,,2016-02-11 11:50:06.574,,59
99247,99341,Accelerometer,,,,-0.166,0.039,-0.998,,,,,,,,,,0.9,,2016-02-11 11:50:06.574,,59
99248,99342,Accelerometer,,,,-0.181,0.027,-1.025,,,,,,,,,,0.92,,2016-02-11 11:50:06.575,,59
99249,99343,Accelerometer,,,,-0.174,0.036,-1.015,,,,,,,,,,0.94,,2016-02-11 11:50:06.575,,59
99250,99344,Accelerometer,,,,-0.185,0.033,-1.021,,,,,,,,,,0.96,,2016-02-11 11:50:06.575,,59
99251,99345,Accelerometer,,,,-0.2,0.027,-1.019,,,,,,,,,,0.98,,2016-02-11 11:50:06.576,,59
99252,99346,Accelerometer,,,,-0.189,-0.005,-1.005,,,,,,,,,,1.0,,2016-02-11 11:50:06.576,,59
99253,99347,Accelerometer,,,,-0.18,-0.013,-1.008,,,,,,,,,,1.02,,2016-02-11 11:50:06.576,,59
99254,99348,Accelerometer,,,,-0.178,-0.017,-1.019,,,,,,,,,,1.04,,2016-02-11 11:50:06.576,,59
99255,99349,Accelerometer,,,,-0.172,-0.013,-1.042,,,,,,,,,,1.06,,2016-02-11 11:50:06.577,,59
99256,99350,Accelerometer,,,,-0.179,-0.013,-1.055,,,,,,,,,,1.08,,2016-02-11 11:50:06.577,,59
99257,99351,Accelerometer,,,,-0.17,-0.003,-1.065,,,,,,,,,,1.1,,2016-02-11 11:50:06.577,,59
99258,99352,Accelerometer,,,,-0.162,-0.007,-1.075,,,,,,,,,,1.12,,2016-02-11 11:50:06.578,,59
99259,99353,Accelerometer,,,,-0.188,-0.029,-1.103,,,,,,,,,,1.14,,2016-02-11 11:50:06.580,,59
99260,99354,Accelerometer,,,,-0.217,-0.031,-1.117,,,,,,,,,,1.16,,2016-02-11 11:50:06.580,,59
99261,99355,Accelerometer,,,,-0.212,-0.037,-1.057,,,,,,,,,,1.18,,2016-02-11 11:50:06.580,,59
99262,99356,Accelerometer,,,,-0.179,-0.058,-1.034,,,,,,,,,,1.2,,2016-02-11 11:50:06.581,,59
99263,99357,Accelerometer,,,,-0.169,-0.067,-1.016,,,,,,,,,,1.22,,2016-02-11 11:50:06.581,,59
99264,99358,Accelerometer,,,,-0.137,-0.025,-0.969,,,,,,,,,,1.24,,2016-02-11 11:50:06.581,,59
99265,99359,Accelerometer,,,,-0.112,-0.016,-0.952,,,,,,,,,,1.26,,2016-02-11 11:50:06.581,,59
99266,99360,Accelerometer,,,,-0.124,-0.022,-0.952,,,,,,,,,,1.28,,2016-02-11 11:50:06.582,,59
99267,99361,Accelerometer,,,,-0.125,0.022,-0.98,,,,,,,,,,1.3,,2016-02-11 11:50:06.582,,59
99268,99362,Accelerometer,,,,-0.124,0.043,-1.014,,,,,,,,,,1.32,,2016-02-11 11:50:06.582,,59
99269,99363,Accelerometer,,,,-0.104,0.021,-1.016,,,,,,,,,,1.34,,2016-02-11 11:50:06.582,,59
99270,99364,Accelerometer,,,,-0.112,0.021,-1.018,,,,,,,,,,1.36,,2016-02-11 11:50:06.583,,59
99271,99365,Accelerometer,,,,-0.149,0.038,-1.021,,,,,,,,,,1.38,,2016-02-11 11:50:06.583,,59
99272,99366,Accelerometer,,,,-0.1,0.022,-0.964,,,,,,,,,,1.4,,2016-02-11 11:50:06.583,,59
99273,99367,Accelerometer,,,,-0.046,0.008,-0.943,,,,,,,,,,1.42,,2016-02-11 11:50:06.584,,59
99274,99368,Accelerometer,,,,-0.07,0.032,-1.016,,,,,,,,,,1.44,,2016-02-11 11:50:06.584,,59
99275,99369,Accelerometer,,,,-0.103,0.08,-1.026,,,,,,,,,,1.46,,2016-02-11 11:50:06.584,,59
99276,99370,Accelerometer,,,,-0.061,0.108,-1.029,,,,,,,,,,1.48,,2016-02-11 11:50:06.584,,59
99277,99371,Accelerometer,,,,-0.036,0.105,-1.083,,,,,,,,,,1.5,,2016-02-11 11:50:06.585,,59
99278,99372,Accelerometer,,,,-0.07,0.099,-1.118,,,,,,,,,,1.52,,2016-02-11 11:50:06.585,,59
99279,99373,Accelerometer,,,,-0.104,0.109,-1.117,,,,,,,,,,1.54,,2016-02-11 11:50:06.585,,59
99280,99374,Accelerometer,,,,-0.096,0.097,-1.102,,,,,,,,,,1.56,,2016-02-11 11:50:06.585,,59
