,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
9118,9212,Accel_Log,,,,0.365,-0.428,-0.772,,,,,,,,,,29749804155,,2016-01-09 16:22:29.150,,17
9119,9213,Gyro_Log,,,,-0.061,-5.488,0.915,,,,,,,,,,29600097436,,2016-01-09 16:22:29.150,,17
9120,9214,Accel_Log,,,,0.370,-0.42,-0.791,,,,,,,,,,29801638531,,2016-01-09 16:22:29.189,,17
9121,9215,Gyro_Log,,,,0.549,-6.524,-0.366,,,,,,,,,,29603471291,,2016-01-09 16:22:29.189,,17
9122,9216,Accel_Log,,,,0.353,-0.434,-0.783,,,,,,,,,,29805282801,,2016-01-09 16:22:29.229,,17
9123,9217,Gyro_Log,,,,2.256,-8.293,-0.305,,,,,,,,,,29650034780,,2016-01-09 16:22:29.229,,17
9124,9218,Accel_Log,,,,0.346,-0.418,-0.783,,,,,,,,,,29850473790,,2016-01-09 16:22:29.268,,17
9125,9219,Gyro_Log,,,,1.159,-2.439,0.854,,,,,,,,,,29653513634,,2016-01-09 16:22:29.268,,17
9126,9220,Accel_Log,,,,0.347,-0.408,-0.780,,,,,,,,,,29855488322,,2016-01-09 16:22:29.308,,17
9127,9221,Gyro_Log,,,,0.976,2.683,1.159,,,,,,,,,,29700146030,,2016-01-09 16:22:29.309,,17
9128,9222,Accel_Log,,,,0.359,-0.43,-0.777,,,,,,,,,,29900579520,,2016-01-09 16:22:29.349,,17
9129,9223,Gyro_Log,,,,0.122,2.988,1.585,,,,,,,,,,29703654364,,2016-01-09 16:22:29.349,,17
9130,9224,Accel_Log,,,,0.357,-0.429,-0.789,,,,,,,,,,29904327957,,2016-01-09 16:22:29.388,,17
9131,9225,Gyro_Log,,,,-2.317,1.951,1.585,,,,,,,,,,29750356967,,2016-01-09 16:22:29.388,,17
9132,9226,Accel_Log,,,,0.354,-0.408,-0.795,,,,,,,,,,29952294051,,2016-01-09 16:22:29.428,,17
9133,9227,Gyro_Log,,,,-2.988,0.671,1.280,,,,,,,,,,29754755822,,2016-01-09 16:22:29.428,,17
9134,9228,Accel_Log,,,,0.362,-0.43,-0.793,,,,,,,,,,29954768374,,2016-01-09 16:22:29.467,,17
9135,9229,Gyro_Log,,,,-0.854,0.366,-0.732,,,,,,,,,,29799945457,,2016-01-09 16:22:29.467,,17
9136,9230,Accel_Log,,,,0.366,-0.442,-0.791,,,,,,,,,,30000595561,,2016-01-09 16:22:29.507,,17
9137,9231,Gyro_Log,,,,-2.195,-2.5,-2.866,,,,,,,,,,29802671395,,2016-01-09 16:22:29.507,,17
9138,9232,Accel_Log,,,,0.355,-0.387,-0.824,,,,,,,,,,30003218270,,2016-01-09 16:22:29.547,,17
9139,9233,Gyro_Log,,,,-5.915,-9.146,-3.720,,,,,,,,,,29850021811,,2016-01-09 16:22:29.547,,17
9140,9234,Accel_Log,,,,0.342,-0.386,-0.817,,,,,,,,,,30050573322,,2016-01-09 16:22:29.586,,17
9141,9235,Gyro_Log,,,,-3.841,-11.707,-2.012,,,,,,,,,,29854115041,,2016-01-09 16:22:29.588,,17
9142,9236,Accel_Log,,,,0.346,-0.403,-0.815,,,,,,,,,,30056299468,,2016-01-09 16:22:29.627,,17
9143,9237,Gyro_Log,,,,-2.073,-8.232,-0.122,,,,,,,,,,29900051030,,2016-01-09 16:22:29.627,,17
9144,9238,Accel_Log,,,,0.341,-0.399,-0.808,,,,,,,,,,30104394728,,2016-01-09 16:22:29.667,,17
9145,9239,Gyro_Log,,,,-2.622,-5.488,2.317,,,,,,,,,,29907821655,,2016-01-09 16:22:29.667,,17
9146,9240,Accel_Log,,,,0.341,-0.402,-0.806,,,,,,,,,,30109937905,,2016-01-09 16:22:29.706,,17
9147,9241,Gyro_Log,,,,-2.378,-1.402,3.963,,,,,,,,,,29949771342,,2016-01-09 16:22:29.706,,17
9148,9242,Accel_Log,,,,0.328,-0.398,-0.799,,,,,,,,,,30149798634,,2016-01-09 16:22:29.746,,17
9149,9243,Gyro_Log,,,,-1.220,2.317,5.000,,,,,,,,,,29951181967,,2016-01-09 16:22:29.746,,17
9150,9244,Accel_Log,,,,0.326,-0.404,-0.797,,,,,,,,,,30151416499,,2016-01-09 16:22:29.785,,17
9151,9245,Gyro_Log,,,,-0.366,2.683,6.768,,,,,,,,,,30000090665,,2016-01-09 16:22:29.785,,17
9152,9246,Accel_Log,,,,0.306,-0.417,-0.795,,,,,,,,,,30202558270,,2016-01-09 16:22:29.825,,17
9153,9247,Gyro_Log,,,,-1.707,1.463,6.829,,,,,,,,,,30006206395,,2016-01-09 16:22:29.826,,17
9154,9248,Accel_Log,,,,0.311,-0.408,-0.794,,,,,,,,,,30208406551,,2016-01-09 16:22:29.866,,17
9155,9249,Gyro_Log,,,,-2.500,0.915,7.500,,,,,,,,,,30050063374,,2016-01-09 16:22:29.866,,17
9156,9250,Accel_Log,,,,0.284,-0.422,-0.800,,,,,,,,,,30253008114,,2016-01-09 16:22:29.905,,17
9157,9251,Gyro_Log,,,,-2.012,-2.439,7.195,,,,,,,,,,30056611811,,2016-01-09 16:22:29.905,,17
9158,9252,Accel_Log,,,,0.289,-0.431,-0.821,,,,,,,,,,30258764676,,2016-01-09 16:22:29.945,,17
9159,9253,Gyro_Log,,,,-3.659,-5.244,4.878,,,,,,,,,,30100045665,,2016-01-09 16:22:29.945,,17
9160,9254,Accel_Log,,,,0.295,-0.426,-0.843,,,,,,,,,,30303156395,,2016-01-09 16:22:29.984,,17
9161,9255,Gyro_Log,,,,-5.122,-9.451,2.927,,,,,,,,,,30200174051,,2016-01-09 16:22:29.984,,17
9162,9256,Accel_Log,,,,0.284,-0.426,-0.862,,,,,,,,,,30402234051,,2016-01-09 16:22:30.024,,17
9163,9257,Gyro_Log,,,,-6.159,-11.829,-0.122,,,,,,,,,,30205117853,,2016-01-09 16:22:30.024,,17
9164,9258,Accel_Log,,,,0.282,-0.408,-0.849,,,,,,,,,,30406470197,,2016-01-09 16:22:30.064,,17
9165,9259,Gyro_Log,,,,-6.280,-15.549,-3.171,,,,,,,,,,30250576915,,2016-01-09 16:22:30.064,,17
9166,9260,Accel_Log,,,,0.246,-0.411,-0.843,,,,,,,,,,30452642697,,2016-01-09 16:22:30.103,,17
9167,9261,Gyro_Log,,,,-5.671,-20.427,-5.000,,,,,,,,,,30255335509,,2016-01-09 16:22:30.105,,17
9168,9262,Accel_Log,,,,0.260,-0.42,-0.846,,,,,,,,,,30456153999,,2016-01-09 16:22:30.144,,17
9169,9263,Gyro_Log,,,,-4.268,-20.671,-3.598,,,,,,,,,,30300414676,,2016-01-09 16:22:30.144,,17
9170,9264,Accel_Log,,,,0.245,-0.392,-0.868,,,,,,,,,,30502001395,,2016-01-09 16:22:30.184,,17
9171,9265,Gyro_Log,,,,-1.402,-19.024,-4.207,,,,,,,,,,30304492541,,2016-01-09 16:22:30.184,,17
9172,9266,Accel_Log,,,,0.188,-0.373,-0.864,,,,,,,,,,30505106082,,2016-01-09 16:22:30.223,,17
9173,9267,Gyro_Log,,,,4.817,-13.902,-11.037,,,,,,,,,,30350315613,,2016-01-09 16:22:30.223,,17
9174,9268,Accel_Log,,,,0.226,-0.373,-0.883,,,,,,,,,,30553033062,,2016-01-09 16:22:30.263,,17
9175,9269,Gyro_Log,,,,8.110,-11.098,-11.890,,,,,,,,,,30355158739,,2016-01-09 16:22:30.263,,17
9176,9270,Accel_Log,,,,0.244,-0.386,-0.845,,,,,,,,,,30557202905,,2016-01-09 16:22:30.302,,17
9177,9271,Gyro_Log,,,,7.317,-11.037,-2.073,,,,,,,,,,30400567228,,2016-01-09 16:22:30.302,,17
9178,9272,Accel_Log,,,,0.178,-0.423,-0.850,,,,,,,,,,30601828478,,2016-01-09 16:22:30.342,,17
9179,9273,Gyro_Log,,,,5.305,-2.744,-5.244,,,,,,,,,,30403900093,,2016-01-09 16:22:30.342,,17
9180,9274,Accel_Log,,,,0.130,-0.448,-0.879,,,,,,,,,,30604630770,,2016-01-09 16:22:30.383,,17
9181,9275,Gyro_Log,,,,6.463,3.598,-13.354,,,,,,,,,,30450514884,,2016-01-09 16:22:30.383,,17
9182,9276,Accel_Log,,,,0.179,-0.453,-0.879,,,,,,,,,,30653285145,,2016-01-09 16:22:30.422,,17
9183,9277,Gyro_Log,,,,5.549,8.537,-23.293,,,,,,,,,,30457074936,,2016-01-09 16:22:30.422,,17
9184,9278,Accel_Log,,,,0.195,-0.262,-0.875,,,,,,,,,,30659404103,,2016-01-09 16:22:30.462,,17
9185,9279,Gyro_Log,,,,3.902,1.28,-39.512,,,,,,,,,,30499947801,,2016-01-09 16:22:30.462,,17
9186,9280,Accel_Log,,,,0.251,-0.392,-0.791,,,,,,,,,,30702240822,,2016-01-09 16:22:30.502,,17
9187,9281,Gyro_Log,,,,-4.024,-18.78,-67.073,,,,,,,,,,30505782593,,2016-01-09 16:22:30.502,,17
9188,9282,Accel_Log,,,,0.395,-0.409,-0.841,,,,,,,,,,30707626551,,2016-01-09 16:22:30.581,,17
9189,9283,Gyro_Log,,,,-11.524,-16.768,-39.146,,,,,,,,,,30551417019,,2016-01-09 16:22:30.581,,17
9190,9284,Accel_Log,,,,0.250,-0.361,-0.775,,,,,,,,,,30752304103,,2016-01-09 16:22:30.620,,17
9191,9285,Gyro_Log,,,,17.927,13.902,-35.244,,,,,,,,,,30555954832,,2016-01-09 16:22:30.622,,17
9192,9286,Accel_Log,,,,0.356,-0.376,-0.803,,,,,,,,,,30799503530,,2016-01-09 16:22:30.661,,17
9193,9287,Gyro_Log,,,,4.817,4.024,-48.598,,,,,,,,,,30602048843,,2016-01-09 16:22:30.661,,17
9194,9288,Accel_Log,,,,0.455,-0.434,-0.839,,,,,,,,,,30802540562,,2016-01-09 16:22:30.701,,17
9195,9289,Gyro_Log,,,,4.634,-7.256,-48.659,,,,,,,,,,30604468322,,2016-01-09 16:22:30.701,,17
9196,9290,Accel_Log,,,,0.413,-0.367,-0.808,,,,,,,,,,30849478634,,2016-01-09 16:22:30.740,,17
9197,9291,Gyro_Log,,,,5.854,15.427,-36.524,,,,,,,,,,30652022697,,2016-01-09 16:22:30.740,,17
9198,9292,Accel_Log,,,,0.439,-0.397,-0.786,,,,,,,,,,30852503530,,2016-01-09 16:22:30.780,,17
9199,9293,Gyro_Log,,,,9.207,10.122,-38.049,,,,,,,,,,30655517488,,2016-01-09 16:22:30.780,,17
9200,9294,Accel_Log,,,,0.457,-0.351,-0.756,,,,,,,,,,30899478530,,2016-01-09 16:22:30.819,,17
9201,9295,Gyro_Log,,,,7.744,0.0,-35.854,,,,,,,,,,30702635562,,2016-01-09 16:22:30.819,,17
9202,9296,Accel_Log,,,,0.467,-0.318,-0.773,,,,,,,,,,30904288478,,2016-01-09 16:22:30.859,,17
9203,9297,Gyro_Log,,,,6.220,1.707,-28.659,,,,,,,,,,30707228530,,2016-01-09 16:22:30.859,,17
9204,9298,Accel_Log,,,,0.441,-0.341,-0.762,,,,,,,,,,30949536082,,2016-01-09 16:22:30.899,,17
9205,9299,Gyro_Log,,,,3.780,4.512,-30.122,,,,,,,,,,30755830509,,2016-01-09 16:22:30.900,,17
9206,9300,Accel_Log,,,,0.408,-0.309,-0.791,,,,,,,,,,30958031447,,2016-01-09 16:22:30.940,,17
9207,9301,Gyro_Log,,,,0.000,7.378,-35.122,,,,,,,,,,30762204676,,2016-01-09 16:22:30.940,,17
9208,9302,Accel_Log,,,,0.456,-0.302,-0.797,,,,,,,,,,30999772853,,2016-01-09 16:22:30.979,,17
