,id,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,GRAVITY_X,GRAVITY_Y,GRAVITY_Z,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,MAGNETIC_FIELD_X,MAGNETIC_FIELD_Y,MAGNETIC_FIELD_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
0,31537,-0.250,0.208, 0.990,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.233906,punch,36
1,31538,-0.248,0.208, 1.004,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.272409,punch,36
2,31539,-0.241,0.203, 0.999,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.273082,punch,36
3,31540,-0.243,0.206, 1.000,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.273683,punch,36
4,31541,-0.245,0.207, 0.996,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.274266,punch,36
5,31542,-0.251,0.203, 0.987,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.274837,punch,36
6,31543,-0.256,0.204, 0.986,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.275403,punch,36
7,31544,-0.256,0.204, 0.979,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.275986,punch,36
8,31545,-0.258,0.198, 0.974,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.276603,punch,36
9,31546,-0.265,0.199, 0.969,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.277174,punch,36
10,31547,-0.262,0.196, 0.969,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.277750,punch,36
11,31548,-0.263,0.2, 0.964,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.278358,punch,36
12,31549,-0.263,0.2, 0.955,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.278931,punch,36
13,31550,-0.266,0.203, 0.950,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.279499,punch,36
14,31551,-0.272,0.209, 0.952,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.280136,punch,36
15,31552,-0.286,0.222, 0.954,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.280703,punch,36
16,31553,-0.284,0.233, 0.960,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.281273,punch,36
17,31554,-0.288,0.242, 0.964,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.281837,punch,36
18,31555,-0.284,0.26, 0.967,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.282403,punch,36
19,31556,-0.284,0.269, 0.971,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.282975,punch,36
20,31557,-0.280,0.275, 0.971,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.283538,punch,36
21,31558,-0.273,0.282, 0.979,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.284102,punch,36
22,31559,-0.272,0.319, 0.990,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.284713,punch,36
23,31560,-0.279,0.331, 0.982,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.285297,punch,36
24,31561,-0.271,0.351, 0.984,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.285870,punch,36
25,31562,-0.250,0.386, 0.980,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.286437,punch,36
26,31563,-0.224,0.466, 1.003,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.287025,punch,36
27,31564,-0.210,0.499, 1.000,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.287596,punch,36
28,31565,-0.198,0.532, 1.008,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.288168,punch,36
29,31566,-0.201,0.584, 1.024,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.288841,punch,36
30,31567,-0.227,0.717, 1.075,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.289422,punch,36
31,31568,-0.228,0.765, 1.073,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.289998,punch,36
32,31569,-0.229,0.805, 1.058,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.290546,punch,36
33,31570,-0.221,0.858, 1.073,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.291135,punch,36
34,31571,-0.464,1.002, 1.128,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.291704,punch,36
35,31572,-0.465,0.991, 1.121,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.292281,punch,36
36,31573,-0.469,0.999, 1.135,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.292882,punch,36
37,31574,-0.571,0.959, 1.190,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.293426,punch,36
38,31575,-0.584,0.907, 1.201,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.293972,punch,36
39,31576,-0.566,0.831, 1.136,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.294511,punch,36
40,31577,-0.529,0.642, 1.183,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.295045,punch,36
41,31578,-0.386,0.254, 1.159,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.295583,punch,36
42,31579,-0.361,0.261, 1.196,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.296124,punch,36
43,31580,-0.314,0.238, 1.254,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.296733,punch,36
44,31581,-0.222,0.115, 1.285,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.297273,other,36
45,31582,-0.138,0.046, 1.229,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.297816,other,36
46,31583,-0.086,-0.006, 1.214,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.298365,other,36
47,31584,-0.045,-0.124, 1.148,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.298929,other,36
48,31585,0.040,-0.198, 1.123,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.299470,other,36
49,31586,0.041,-0.241, 1.085,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.300004,other,36
50,31587,0.022,-0.365, 1.020,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.300591,other,36
51,31588,0.043,-0.473, 0.896,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.301129,other,36
52,31589,0.221,-0.663, 0.606,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.301677,other,36
53,31590,0.228,-0.699, 0.522,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.302225,other,36
54,31591,0.249,-0.699, 0.413,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.302777,other,36
55,31592,0.340,-0.625, 0.288,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.303317,other,36
56,31593,0.598,-0.512, 0.154,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.303867,punch,36
57,31594,0.679,-0.433, 0.122,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.304453,punch,36
58,31595,0.727,-0.333, 0.099,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.304994,punch,36
59,31596,0.774,-0.259, 0.073,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.305535,punch,36
60,31597,0.808,-0.198, 0.101,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.306079,punch,36
61,31598,0.312,-0.04, 0.690,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.306618,punch,36
62,31599,0.382,-0.059, 0.672,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.307171,punch,36
63,31600,0.509,-0.054, 0.675,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.307716,punch,36
64,31601,0.646,-0.037, 0.725,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.308267,other,36
65,31602,0.567,-0.055, 0.779,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.308885,punch,36
66,31603,0.520,-0.094, 0.754,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.309440,punch,36
67,31604,0.533,-0.126, 0.735,,,,,,,,,,,,,,,,,,2015-10-31 07:48:20.310026,punch,36
